BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in United Arab Emirates"
"Country: United Arab Emirates"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","FI:Finland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","AE:United Arab Emirates",Q:S:FI:4R:F:I:A:U:TO1:A:AE,,,,,,,,,0,-,0,-,1,-,0,-,4,-,1,-,1,-,0,-,0,-,0,-,1,-,1,-,0,-,0,-,0,-,0,-,0,-,47,-,4,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,1,1,0,2,2,1,2,2,1,1,1,1,1,1,1,0,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,76,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","AE:United Arab Emirates",Q:S:GR:4R:U:C:A:A:TO1:B:AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,4,4,3,3,2,3,3,5
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","AE:United Arab Emirates",Q:S:AT:4R:U:C:A:A:TO1:R:AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,192.309,181.574,164.625,141.904,85.09,71.295,56.734,50.491
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","AE:United Arab Emirates",Q:S:GB:4R:F:I:A:U:TO1:A:AE,485,-,505,-,301,-,294,-,202,-,201,-,138,-,182,-,187,-,152,-,271,-,271,-,255,-,262,-,189,-,146,-,189,-,190,-,174,-,290,-,359,-,439,-,532,-,731,-,650,-,736,-,791,-,667,-,598,-,694,-,1007,-,902,-,1079,1003,2256,1361,2358,2087,1840,1586,2038,1846,1878,2106,2588,2848,2959,3479,3400,3770,4025,3773,5084,5165,5817,6184,5917,6695,7764,9860,11337,8643,10357,12980,12280,16715,16942,17691,13545,11567,11109,11085,14276,14378,16062,16045,14243,15613,17790,15146,13997,14794,19426,21268,19560,16233,17867,22333,17087,16643,16651,16189,17275,16752,15616,17022
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4C:Inside-area foreign banks consolidated by their parent","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","AE:United Arab Emirates",Q:S:5A:4C:F:I:A:U:TO1:A:AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-,3,-,4,-,24,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","AE:United Arab Emirates",Q:S:ES:4R:U:C:A:A:TO1:R:AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,556.977,480.19,425.969,452.191
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AE:United Arab Emirates",Q:S:IT:4R:F:C:A:A:TO1:A:AE,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1136.504,1212.452,1321.705,1030.636,1059.895
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","AE:United Arab Emirates",Q:S:IT:4R:F:I:A:U:TO1:A:AE,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,547.388,587.459,730.378,617.415,620.082
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AE:United Arab Emirates",Q:S:JP:4R:U:W:A:A:TO1:A:AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,126,133,84,102,118,112,111,85,48,66,99,82,83,84,35,136,145,158,191,120,168,230,221,288,334,731,609,688,827,642,602,568,578,499,537.2,553,498.1,531,541.6,438.9,478.5,540.1
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AE:United Arab Emirates",Q:S:JP:4R:U:X:A:A:TO1:A:AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,192,245,188,135,133,138,175,324,380,384,1387,1249,1446,1233,1119,910,1208,1080,1206,1013,756,664,1565,1369,1434,1456,1433,1348,1344,1293,1238,2581,1678,1640,1632.1,1374.9,1442.4,1404.3,1986,1944.8,1780.9,1618.6
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","AE:United Arab Emirates",Q:S:5A:4R:F:I:A:U:TO1:A:AE,3254,-,2728,-,3610,-,3480,-,2898,-,2290,-,2601,-,2562,-,2581,-,2286,-,1901,-,2221,-,2316,-,2424,-,1461,-,1077,-,1208,-,1513,-,1432,-,1661,-,1723,-,2463,-,2232,-,2784,-,2354,-,2514,-,2602,-,3223,-,2328,-,2367,-,4511,-,4118,-,3417,2946,4473,3728,4284,3932,3962,3549,4502,4433,4391,4502,5124,5404,5747,6624,7079,8034,9192,9842,13524,12020,11769,16858,18588,14618,18495,24487,26526,24881,27743,30995,40673,50213,50302,44764,39453,42105,36082,38352,42956,43636,45082,49525,47422,51915,54003,48212,46872,47613,54270.355,55871.32,53607.946,49545.129,51436.891,53770.653,48607.953,51405.026,49596.051,50200.944,50094.592,51222.304,59860.106,60936.249
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","AE:United Arab Emirates",Q:S:BE:4R:U:C:A:A:TO1:R:AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,211,215,263,245,459,493,542,584,750,587,711,971,1157,940,718,718,632,571,174,286,277,270,330,353,338,353,368,387,336,205,301,315,321,312,329,358,322,401,274,250,218,176
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","AE:United Arab Emirates",Q:S:AT:4R:F:B:A:A:LC1:A:AE,,,,,,,,,,,,,,,,,,,0,-,0,-,-,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,5,4,6,2,4,5,2,2,1,1,1,\
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","AE:United Arab Emirates",Q:S:IT:4R:U:C:A:A:TO1:O:AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,-,\,-,-,-,-,-,-,-,-,-,\,\,\,\,-,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,187.054,241.561,238.665,223.444,176.463
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AE:United Arab Emirates",Q:S:BE:4R:F:C:A:A:TO1:A:AE,23,-,33,-,60,-,47,-,39,-,42,-,36,-,37,-,64,-,38,-,45,-,40,-,39,-,54,-,26,-,24,-,58,-,39,-,23,-,86,-,28,-,57,-,35,-,39,-,60,-,34,-,30,-,52,-,27,-,29,-,44,-,71,-,43,44,58,52,96,97,101,101,133,137,104,132,76,141,155,182,193,215,221,273,260,329,325,380,438,448,732,737,885,1034,1213,1167,2024,2395,2282,1778,1356,1245,1394,1447,572,610,530,483,472,535,527,496,441,443,434,362,394,408,379,421,464,466,427,509,385,432,437,409
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","AE:United Arab Emirates",Q:S:ES:4R:U:C:V:A:TO1:A:AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,17.813,15.589,13.11,13.144,28.58,307.196,21.607
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","AE:United Arab Emirates",Q:S:FR:4R:U:C:A:A:TO1:F:AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,87
