BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Armenia"
"Country: Armenia"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","AM:Armenia",Q:S:GB:4R:F:I:A:U:TO1:A:AM,,,,,,,,,,,,,,,,,,,,,,,,,3,5,5,-,3,3,6,6,6,6,5,3,3,3,5,6,5,6,7,7,8,9,20,12,21,24,26,32,33,37,40,51,62,72,64,73,76,79,107,83,81,88,88,99,116,131,186,198,158,163,173,192,189,185,191,185,193,200,224,253,184,189,195,209
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AM:Armenia",Q:S:IT:4R:F:C:A:A:TO1:A:AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,\,-,-,\,\,\,\,\,\,\,\,\,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,27.298,26.739,25.746,26.931,26.123,24.653,24.863,41.938
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","AM:Armenia",Q:S:AT:4R:F:I:A:U:TO1:A:AM,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,-,-,-,-,-,-,-,-,\,\,-,-,-,-,-,-,-,-,-,-,-,-,-,-,\,\,\,-,\,\,\,\,\,-,-,\,\,\,\,\,\,\,\,\,-,-,-,\,\,\,\,\,\,\,\,\,\,\,\,5.431,5.452,8.555,1.905,6.035,6.054,5.465
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","AM:Armenia",Q:S:GB:4R:U:C:A:A:TO1:O:AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,41,47,50,49,50,64,70,73,74,73,104,85,78,71,69,63,86,59,60,55,64,82,106,103,88,100,119,131,108,124,136,129,123,144,137,145,147,165,162,169,127,126
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AM:Armenia",Q:S:BE:4R:U:C:A:A:TO1:A:AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,6,6,3,3,3,3,3,6,8,8,9,9,12,12,12,12,14,14,12,10,25,3,1,13,15,13,14,14
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AM:Armenia",Q:S:BE:4R:Q:C:A:A:TO1:A:AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,-6,-6,-6,-6,-5,-5,-5
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AM:Armenia",Q:S:5A:4R:U:W:A:A:TO1:A:AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,3,5,4,3,1,3,7,2,2,5,12,15,16,28,13,16,25,28,30,37,46,36,33,27,36,53,149,150,160,127,123,123,105,92.937,86.419,100.167,75.224,70.187,66.271,70.002,51.583
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","AM:Armenia",Q:S:5A:4O:F:B:A:A:LC1:A:AM,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,8,11,11,12,10,10,18,13,13,16,15,17,18,17,21,22,21,22,22,24,25,26,32,41,43,43,48,62,72,78,86,92,129,133,147,160,161,134,121,107,103,90,106,125,145,144,149,171,180,177,165,186,189,191,188,207,218,202,200,233,219,211,182,179
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","AM:Armenia",Q:S:AT:4R:U:C:A:A:TO1:R:AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,11.367,9.551,9.033
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","AM:Armenia",Q:S:BE:4R:U:C:A:A:TO1:B:AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,5,5,3,3,3,3,3,6,8,8,7,7,10,10,10,10,10,10,8,5,2,2,1,8,15,13,13,13
