BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Angola"
"Country: Angola"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","AO:Angola",Q:S:GB:4R:F:I:A:U:TO1:A:AO,17,-,19,-,20,-,17,-,29,-,29,-,39,-,37,-,38,-,34,-,31,-,20,-,14,-,16,-,19,-,17,-,10,-,26,-,24,-,66,-,42,-,59,-,43,-,24,-,51,-,40,-,298,-,388,-,128,-,155,-,186,-,105,-,61,53,62,72,57,81,60,63,54,36,29,22,16,13,12,58,54,48,44,110,217,285,276,255,421,297,200,276,209,533,255,1033,480,276,247,103,122,239,331,203,123,59,109,150,157,196,271,243,374,340,1438,528,474,531,440,334,483,160,1181,271,240,246,181,535
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AO:Angola",Q:S:IT:4R:F:C:A:A:TO1:A:AO,\,-,\,-,\,-,-,-,\,-,-,-,\,-,\,-,-,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,-,-,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,\,\,\,\,-,-,-,-,63.511,59.017,60.618,50.306,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AO:Angola",Q:S:BE:4R:Q:C:A:A:TO1:A:AO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-49,-49,-89,-5,-,-2,-2,-,-2,-2,-,-,-,-,-,25,1,-23,-2,1,59,-18,-16,-15,-11,-9,-,-,-,3,3,-3,-1,-4,-3,-47,-40,-38,-31,-3,0
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","AO:Angola",Q:S:AT:4R:U:C:A:A:TO1:R:AO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,\,\,\,\,77.43,74.61,71.888,68.928,45.058,43.562,73.187,71.815
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","AO:Angola",Q:S:IT:4R:F:I:A:U:TO1:A:AO,\,-,\,-,\,-,-,-,\,-,-,-,\,-,\,-,-,-,-,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,-,-,-,-,\,\,\,\,\,-,\,\,-,-,\,-,-,-,-,-,-,-,\,\,\,\,-,-,\,\,\,-,-,-,-,0.073,0.092,2.257,0.69,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AO:Angola",Q:S:AT:4R:F:I:A:A:TO1:A:AO,\,-,2,-,\,-,8,-,13,-,16,-,20,-,24,-,23,-,27,-,25,-,22,-,23,-,26,-,43,-,30,-,40,-,58,-,45,-,43,-,39,-,32,-,28,-,27,-,25,-,41,-,37,-,28,-,40,-,101,-,27,-,13,-,37,30,30,24,17,-,23,19,16,13,10,5,1,-,-,-,-,20,19,17,16,16,17,16,71,84,85,85,82,76,52,\,\,\,\,\,\,\,\,-,-,-,-,-,-,-,-,-,-,-,-,-,\,\,\,\,\,\,\,\,\,31.098,61.848,61.848
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4C:Inside-area foreign banks consolidated by their parent","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","AO:Angola",Q:S:5A:4C:F:I:A:U:TO1:A:AO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-,0,-,-,-,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AO:Angola",Q:S:5A:4R:U:C:A:A:TO1:A:AO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1314,1425,1627,3478,3649,3419,3507,3825,4969,4085,4765,5198,5143,5910,6749,6414,6214,5726,6642,6635,6774,6654,7962,6581,6582,7488,6594,6480,7450,8185,7148,6847.327,12880.326,14118.304,15191.614,14395.114,15835.751,17651.396,17302.071,16327.547,15630.504,14886.095,14463.161
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AO:Angola",Q:S:5A:4R:U:X:A:A:TO1:A:AO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,59,172,293,259,249,301,379,379,529,466,587,511,787,931,695,948,955,1419,1623,947,1020,1036,1081,1084,2111,1424,1284,1394,1297,862,682,2986,580,601,519.246,693.355,1386.112,515.197,620.349,1011.652,718.115,758.979
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","AO:Angola",Q:S:5A:4R:U:C:A:A:TO1:B:AO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,184,234,205,216,210,261,289,319,435,637,699,477,693,667,1178,837,863,1001,973,1053,991,956,693,703,1345,615,763,766,961,1022,1130,1215,1223,1172,1547.637,1666.411,1230.179,5097.857,2013.696,2312.64,2178.498,2226.946
