BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Argentina"
"Country: Argentina"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","AR:Argentina",Q:S:GB:4R:F:I:A:U:TO1:A:AR,1195,-,1288,-,1240,-,1372,-,1375,-,862,-,864,-,947,-,1083,-,785,-,511,-,448,-,568,-,314,-,444,-,422,-,734,-,497,-,650,-,572,-,424,-,455,-,560,-,744,-,924,-,896,-,1037,-,1231,-,2634,-,2691,-,3459,-,3833,-,3966,4060,3382,3938,4126,3961,3642,3335,3226,1275,1230,1313,1114,956,802,771,768,678,615,527,430,512,486,660,702,474,642,620,751,598,714,1000,944,1063,1118,1242,1462,1545,1795,1494,1495,1455,1631,1754,1758,1407,1503,1739,1707,1740,1426,1421,1129,1117,1401,1287,1223,1332,1407,1389,1167,1139,1210,1291
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","AR:Argentina",Q:S:IT:4R:F:I:A:U:TO1:A:AR,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,183,\,\,\,\,\,\,\,\,\,\,\,29.578,51.748,20.975,\,17.368,24.412,25.073,39.185
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AR:Argentina",Q:S:IT:4R:Q:C:A:A:TO1:A:AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-114,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","AR:Argentina",Q:S:ES:4R:U:C:V:A:TO1:A:AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,11.243,14.081,14.119,20.387,5.19,7.907,15.682
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","AR:Argentina",Q:S:AT:4R:U:C:A:A:TO1:R:AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,4.53,4.001,3.554,4.2,2.405,2.582,4.416,1.691
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AR:Argentina",Q:S:AT:4R:F:I:A:A:TO1:A:AR,\,-,176,-,\,-,177,-,167,-,170,-,209,-,226,-,268,-,266,-,263,-,232,-,218,-,201,-,213,-,229,-,264,-,200,-,199,-,214,-,186,-,250,-,308,-,310,-,271,-,284,-,337,-,349,-,422,-,454,-,382,-,525,-,353,449,473,479,340,365,105,72,86,89,92,88,36,56,41,43,42,43,36,29,26,32,47,34,31,28,27,27,24,27,23,22,15,28,25,33,26,28,28,27,26,32,31,38,38,36,38,44,45,50,50,\,\,\,\,\,\,42.987,37.338,\,36.461,32.111,32.658,27.815
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AR:Argentina",Q:S:BE:4R:F:C:A:A:TO1:A:AR,224,-,147,-,213,-,217,-,239,-,241,-,260,-,264,-,263,-,215,-,283,-,406,-,406,-,547,-,541,-,445,-,153,-,104,-,100,-,59,-,79,-,91,-,93,-,139,-,139,-,154,-,147,-,162,-,149,-,166,-,287,-,406,-,402,409,362,430,428,381,396,445,417,364,346,322,331,284,282,286,266,244,243,296,290,284,302,286,309,335,331,267,276,323,301,316,708,846,868,834,628,622,626,514,189,139,126,125,112,83,66,66,66,63,39,37,13,10,7,8,7,7,3,2,1,1,2,10
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4C:Inside-area foreign banks consolidated by their parent","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","AR:Argentina",Q:S:5A:4C:F:I:A:U:TO1:A:AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-,59,-,75,-,204,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,-,0,0,0,0,0,0.27,0.283,0.306,0.297,0.561,0.27,9.542,6.344,8.528,4.833,9.44,27.538,42.191,29.816
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","AR:Argentina",Q:S:AU:4R:U:C:A:A:TO1:B:AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,33,24,30,32,24,25,37,13.955,0.094,5.632,-,2.414,21.211,-,-,3.67,3.646,8.713
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","AR:Argentina",Q:S:GB:4R:F:B:A:A:LC1:A:AR,,,,,,,,,1256,-,-,-,-,-,-,-,-,-,206,-,224,-,177,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1359,-,-,-,-,-,-,-,1425,1538,1488,1342,1365,1356,1398,1311,836,1475,1109,1200,1260,1301,1309,1299,1402,1389,1282,1391,1365,1354,1452,1037,1114,1188,1851,2027,2290,2459,2510,2596,2532,2840,3061,2944,2537,2403,2110,2169,2413,2719,2900,3069,3557,3684,4176,4445,4488,4515,5085,5265,5400,5198,5010,4827,4494,3977,4185,4483,4376,4601,4576,4821
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AR:Argentina",Q:S:AU:4R:F:C:A:A:TO1:A:AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,36,29,26,22,16,4,3,3,-,-,-,-,2,-,-,23,56,107,67,75,85,103,107,38,38,61,62,36,64,41,21,32,41,19.306,18.833,17.421,17.082,11.679,15.663,14.831,14.213,13.55,12.72,12.941,11.483,2.93,169.439
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","AR:Argentina",Q:S:GB:4R:U:C:A:A:TO1:R:AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1041,1086,1135,1059,968,1650,1864,1798,1808,1533,2204,2294,2345,2500,2402,2312,2132,2080,2012,2086,2389,2710,2941,3131,3299,3587,3954,3896,3989,3915,4160,4283,4144,4212,4031,3854,3350,3337,3374,3534,3496,3883,3979
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","AR:Argentina",Q:S:5A:4R:U:C:A:A:TO1:B:AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1227,1928,1755,1389,1381,1350,1812,2154,2034,2361,2863,3385,3875,3542,4534,3071,2722,2144,2039,2521,2006,1731,2039,2167,2634,2367,2543,3001,2514,2468.955,2381.094,2000.632,1819,1999.414,2200.211,2043.005,1752.06,1508.845,1533.95,1234.789,1617.043,1599.91,1676.142
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","AR:Argentina",Q:S:ES:4R:U:C:A:A:TO1:R:AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,11929.812,12168.618,12888.585,13672.773
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","AR:Argentina",Q:S:5A:4R:F:I:A:U:TO1:A:AR,10117,-,9895,-,12149,-,12971,-,13577,-,8299,-,8769,-,9638,-,9668,-,8297,-,7403,-,5734,-,5456,-,5900,-,6504,-,7429,-,9034,-,10978,-,13162,-,14989,-,14346,-,15941,-,17305,-,19579,-,19607,-,19394,-,23327,-,22914,-,32751,-,32255,-,31570,-,35321,-,33119,32631,34152,35618,35939,34721,34735,31114,26664,15661,14345,13244,12050,10787,9809,9607,11107,9143,8689,8400,7588,6825,6364,6219,6471,7224,7552,8259,8668,8620,9913,10554,10460,10915,11687,11223,10741,10858,11866,10393,9838,9479,10244,10250,9759,11600,12125,12766,12035,11033,11357.191,10734.626,9466.238,9008.291,9518.153,9740.137,8380.33,7955.565,8795.548,8095.837,8104.367,7987.922,8735.729,8875.379
"Q:Quarterly","S:Amounts outstanding / Stocks","CL:Chile","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AR:Argentina",Q:S:CL:4R:F:I:A:A:TO1:A:AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,44,77,84,75,51,73,132,82,75,59,58,54,53,52,56,65,78,82,86,79,79,78,79,70,67,88,133,78,86,86,95,31,62,44,37,65,51,2,8,13,7,60,61,65,68.872,54.268,20.079,13.729,13.449,9.446,1.459
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AR:Argentina",Q:S:JP:4R:U:X:A:A:TO1:A:AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,192,0,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AR:Argentina",Q:S:5A:4R:U:C:A:A:TO1:A:AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15740,24648,25443,25106,23648,25828,27839,30742,30170,32343,31346,34150,35151,35550,34829,31200,30017,30100,29414,33670,30912,30676,33647,35588,37271,38626,40126,40467,41775,39491.232,39290.962,38768.956,37160.782,37715.912,36886.179,34840.74,31912.613,32110.625,32256.591,33774.241,35313.279,36667.315,37558.06
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AR:Argentina",Q:S:JP:4R:U:W:A:A:TO1:A:AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,8.2,8.2,93.9,121.5,199.3,199.3,274.4,245.3
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AR:Argentina",Q:S:ES:4R:F:I:A:A:TO1:A:AR,,,,,,,,,992,-,1081,-,1016,-,930,-,1033,-,974,-,987,-,879,-,836,-,755,-,907,-,1068,-,1198,-,1266,-,1565,-,1825,-,2108,-,2153,-,1922,-,2005,-,1750,-,1867,-,3914,-,5232,-,12935,-,12727,-,13782,-,16097,-,16866,16290,17744,18318,19019,18497,17675,16365,15363,6576,6294,6863,6708,6203,6461,6512,6143,5115,4856,4617,4707,3723,2598,2506,2474,3145,1796,2566,2707,2299,2501,2706,2694,2786,2804,2994,3604,4099,4519,4335,4298,4120,4269,4244,3796,5188,4716,4944,4312,4137,3327,2890,2554,2401,2174,2627,2456,2173.612,2336.18,2439.793,2527.334,2627.179,2497.343,2740.545
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","AR:Argentina",Q:S:FR:4R:U:C:A:A:TO1:F:AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,24
