BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Austria"
"Country: Austria"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4B:Domestic Banks","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AT:Austria",Q:S:AT:4B:F:C:A:A:TO1:A:AT,,,,,,,,,,,,,,,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,493024.593,496208.747,477204.158,441534.919,371090.075,332508.436,344232.864,347704.779
"Q:Quarterly","S:Amounts outstanding / Stocks","TR:Turkey","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AT:Austria",Q:S:TR:4R:U:C:A:A:TO1:A:AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530,486,794,338,947,512,1068,691,697,916,1355,739,1299,1529,1370,425,611,665,526,479,785,745,646,205,360,488,485,237,608,181,178,198,204,228,282,191,277,172,132.888,149.914,139.866,128.487,186.057
"Q:Quarterly","S:Amounts outstanding / Stocks","FI:Finland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","AT:Austria",Q:S:FI:4R:U:C:A:A:TO1:O:AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,61,60,46,\,\,\,\,101,139,143,137,176,181,185,\,\,178,247,184,436,\
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","AT:Austria",Q:S:IT:4R:F:I:A:U:TO1:A:AT,,,,,,,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,7592,\,\,\,\,\,\,\,\,\,\,\,\,\,\,7233.531,5755.318,5443.735,5282.944,4972.211
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AT:Austria",Q:S:IT:4R:Q:C:A:A:TO1:A:AT,,,,,,,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,4131,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","AT:Austria",Q:S:JP:4R:U:C:V:A:TO1:A:AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,34,39,42,12,31,24,46,51,44,56,61,109,103,66,89,115,104,112,105,84,81,71,54,44,42,69,81,65,86,79,24,22,15,14,10.3,8,11.5,13.7,22.1,37.3,31.6,24.7
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4B:Domestic Banks","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","AT:Austria",Q:S:AT:4B:U:C:A:A:TO1:R:AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,256138.448,265802.796,259438.715,239682.554,204292.358,181787.708,188047.53,194948.737
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","AT:Austria",Q:S:GR:4R:U:C:A:A:TO1:B:AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,575,242,148,88,96,225,87,195
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AT:Austria",Q:S:BE:4R:F:C:A:A:TO1:A:AT,,,,,,,3988,-,4763,4981,5078,4066,4113,3901,3563,4818,3179,2918,3700,4461,4976,4655,5063,5455,6595,6710,6177,6007,6658,6150,6880,6033,5994,6874,8013,6945,10878,10071,9960,12040,12941,11180,9310,8469,7561,6195,8640,8231,5647,4946,4397,4896,4568,4482,4292,3810,3134,2820,2387,2428,1339,795,1073,1111,1320,1480,1117,1314,1376,1112,1532,1288
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","AT:Austria",Q:S:AU:4R:U:C:A:A:TO1:B:AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496,445,498,481,467,555,340,382,606,127,865,-,166,229,425,545,223,87,77,95,33,104,125,108,201,211,241,196,120,73.648,116.85,119.509,236.715,77.65,27.289,29.136,98.936,100.662,32.845,17.55,7.399,37.814,16.586
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","AT:Austria",Q:S:ES:4R:U:C:V:A:TO1:A:AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,250,235,232,257,285,304,312,320,316,277,232,220,205,203.154,204.571,184.557,\,\,125.153,168.436
"Q:Quarterly","S:Amounts outstanding / Stocks","CA:Canada","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","AT:Austria",Q:S:CA:4R:U:C:A:A:TO1:B:AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,67.999,248.52,264.526,223.281
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AT:Austria",Q:S:AU:4R:F:C:A:A:TO1:A:AT,,,,,,,,,,,,,,,,,,,,,,,,,86,243,63,218,144,192,180,394,417,78,176,289,203,314,155,414,52,586,139,560,959,234,182,151,204,112,136,178,156,272,405,336,253,141,146.885,211.656,253.818,253.05,190.618,88.86,89.845,170.284,91.202,66.932,57.86,62.391,124.936,314.085
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4C:Inside-area foreign banks consolidated by their parent","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","AT:Austria",Q:S:5A:4C:F:I:A:U:TO1:A:AT,,,,,,,3728,-,4136,3410,3816,4256,4673,4381,5813,5568,5560,4805,4854,5209,4995,58,65,86,72,1115,1992,1458,1340,1822,1772,1648,1687,1983,1525,2888,771,1623,908,1800,1974,1022,794,1422,3012,2182,3252,2280,1671,1240,770,1038,927,820,3178,3150,3319,3523,3388.697,2950.862,3370.999,3524.982,5469.91,5771.411,5854.513,6631.374,6607.075,6349.539,6604.76,5797.193,6183.495,6383.325
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","AT:Austria",Q:S:GB:4R:F:B:A:A:LC1:A:AT,,,,,,,,,,,,,10,4,4,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,4,4,6,6,6,6,8,10,10,2,1,1,2,2,2,2,106,68,70,85,42,36,17,32,24,-2,36,2,2,29,10,7,607,-,-,-,-,2
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","AT:Austria",Q:S:GB:4R:U:C:A:A:TO1:R:AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1102,651,845,712,2003,758,1016,1274,2644,1928,1946,2017,5040,5067,5009,5706,1555,1255,1679,1250,1323,1432,1711,1345,1731,2131,1750,1398,1350,1299,1218,1612,1186,2358,1462,1635,1577,1857,1678,1328,1167,1306,1354
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AT:Austria",Q:S:GR:4R:F:I:A:A:TO1:A:AT,,,,,,,,,,,,,,,,,,,,,,,,,2521,2521,2756,2756,877,877,1266,1266,1423,1274,629,1212,777,856,576,658,484,830,133,128,136,110,140,307,335,109,104,336,116,104,124,104,125,66,605,1002,945,1008,517,636,618,284,179,177,313,455,333,370
