BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Azerbaijan"
"Country: Azerbaijan"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AZ:Azerbaijan",Q:S:AT:4R:F:I:A:A:TO1:A:AZ,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,2,-,2,-,0,-,4,-,3,3,3,3,2,3,4,4,8,8,5,5,2,2,-,-,-,1,1,1,1,1,8,8,7,7,7,7,35,30,46,60,85,103,168,303,220,189,130,66,60,57,52,41,71,82,79,77,78,89,85,84,83,91,141,187,197.908,224.94,424.092,274.547,278.995,243.767,279.216,273.457
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AZ:Azerbaijan",Q:S:BE:4R:Q:C:A:A:TO1:A:AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23,-23,-28,-23,-28,-28,-28,-28,-27,-29,-26,-26,-25,-25,-6,-4,-1,-3,-3,-3,-3,-3,-,-,-,-,6,6,5,5,3,-,2,2
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","AZ:Azerbaijan",Q:S:IT:4R:F:I:A:U:TO1:A:AZ,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,23,\,\,\,\,\,\,\,\,\,\,\,13.844,12.674,40.102,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AZ:Azerbaijan",Q:S:US:4R:F:C:A:A:TO1:A:AZ,,,,,,,,,,,,,,,,,,,,,1,-,11,-,20,22,10,20,14,14,7,7,5,5,4,4,-,-,-,-,10,41,27,31,47,32,33,36,37,52,62,67,158,141,165,296,491,666,705,754,575,451,315,214,229,236,175,182,161,161,139,184,207,249,871,172,284,343,284,315,378,380,382,308,483,509,632,642
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AZ:Azerbaijan",Q:S:IT:4R:F:I:A:A:TO1:A:AZ,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,41,\,\,\,\,\,\,\,\,\,\,\,35.831,31.992,105.001,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AZ:Azerbaijan",Q:S:BE:4R:F:C:A:A:TO1:A:AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,4,5,4,1,3,6,24,24,29,44,46,55,56,57,56,57,55,56,56,59,59,85,109,127,134,76,76,70,67,49,49,42,42,37,36,35,38,15,16,17,17,16,15,20,25,26,25,17,25,25,21,8,7
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","AZ:Azerbaijan",Q:S:JP:4R:U:C:V:A:TO1:A:AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,2,3,4,3,15,4,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AZ:Azerbaijan",Q:S:5A:4R:U:C:A:A:TO1:A:AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,370,436,1143,743,880,1232,967,890,1460,1365,1496,2278,2886,3205,2734,2640,2463,2016,2112,2706,2739,3936,3086,3747,4315,4301,4067,4374,4504.317,3717.322,3735.317,3430.315,3291.289,3218.275,3081.123,2542.102,2729.725,2709.018,3386.712,3443.319,3422.973,3511.588
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","AZ:Azerbaijan",Q:S:AU:4R:U:C:A:A:TO1:B:AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.204
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","AZ:Azerbaijan",Q:S:IT:4R:F:C:A:A:TO1:A:AZ,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,41,\,\,\,\,\,\,\,\,\,\,\,35.831,31.992,105.001,\,\,\,\,\
