BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Bosnia and Herzegovina"
"Country: Bosnia and Herzegovina"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BA:Bosnia and Herzegovina",Q:S:US:4R:F:C:A:A:TO1:A:BA,,,,,,,4,-,-,-,-,-,-,-,-,-,5,-,2,-,3,-,2,-,1,3,4,2,4,6,2,3,1,1,1,1,5,5,5,5,7,7,11,7,9,10,9,9,9,10,11,20,21,22,23,25,24,34,35,33,12,11,10,-,1,8,13,15,10,6,6,4,7,6,-,-,-,-,-,5,7,6,6,6,6,6,6
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BA:Bosnia and Herzegovina",Q:S:BE:4R:F:I:A:A:TO1:A:BA,,,,,,,,,,,,,,,,,,,,,,,,,,13,8,2,1,3,4,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,10,16,18,25,33,35,14,13,9,4,4,3,3,1,1,1,1,-,-,-,-,-,-,-,-,1,-,1,1,-,1,-,-,1
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","BA:Bosnia and Herzegovina",Q:S:IT:4R:F:I:A:U:TO1:A:BA,,,\,-,-,-,-,-,-,-,\,-,-,-,-,-,\,-,\,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,72,\,\,\,\,\,\,\,\,\,\,\,195.155,208.584,172.532,158.406,165.255,146.301,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","BA:Bosnia and Herzegovina",Q:S:AT:4R:U:C:A:A:TO1:O:BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,727.875,644.416,491.157,349.295
"Q:Quarterly","S:Amounts outstanding / Stocks","BR:Brazil","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BA:Bosnia and Herzegovina",Q:S:BR:4R:F:C:A:A:TO1:A:BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4C:Inside-area foreign banks consolidated by their parent","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BA:Bosnia and Herzegovina",Q:S:5A:4C:F:C:A:A:TO1:A:BA,,,,,,,,,,,,,,,0,-,0,-,-,-,6,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BA:Bosnia and Herzegovina",Q:S:CH:4R:F:I:A:A:TO1:A:BA,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,28.143,28.762,28.586,28.083,17.06,14.186,15.533,26.388
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","BA:Bosnia and Herzegovina",Q:S:BE:4R:U:C:A:A:TO1:B:BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-,2,1
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BA:Bosnia and Herzegovina",Q:S:AT:4R:F:I:A:A:TO1:A:BA,67,-,96,-,83,-,80,-,64,-,53,-,32,-,39,-,34,-,13,-,8,-,8,-,7,6,9,25,117,37,103,28,117,115,140,136,126,137,153,183,234,258,300,311,366,355,1936,1208,1696,1502,1721,1821,2008,2103,2490,1769,2322,3496,951,1044,941,948,1014,1011,3690,3564,3159,3405,3200,3401,3441,3196,3009,2644,2463,2494,2480,2376,2378,2359,2304.811,2112.385,2040.398,2500.75,1438.932,1200.595,1271.417,1200.904
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BA:Bosnia and Herzegovina",Q:S:SE:4R:U:X:A:A:TO1:A:BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,-,-,-,-,-,-,-,-,-,-,-,-,-,\,0,0,0,0,21,19,\,\,\,\,19.081,\,17.423,16.868
