BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Bangladesh"
"Country: Bangladesh"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","BD:Bangladesh",Q:S:IT:4R:F:I:A:U:TO1:A:BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,\,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,4,\,\,\,\,\,\,\,\,\,\,\,12.325,10.458,17.769,30.28,15.738,18.876,39.314,44.005
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BD:Bangladesh",Q:S:US:4R:F:C:A:A:TO1:A:BD,37,-,29,-,36,-,26,-,24,-,13,-,6,-,8,-,7,-,8,-,6,-,23,-,23,-,13,-,16,-,13,-,19,-,25,-,35,-,30,-,25,-,43,-,62,-,75,-,77,-,56,-,73,-,106,-,93,-,108,-,88,-,100,-,93,94,85,84,81,93,82,93,116,118,144,143,141,170,168,186,193,181,179,174,179,168,176,233,259,338,316,325,350,379,407,480,518,566,607,723,663,715,727,729,1048,757,768,756,833,997,836,790,805,809,1119,944,799,733,828,818,758,683,776,920,770,672,763,724
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","BD:Bangladesh",Q:S:ES:4R:F:I:A:U:TO1:A:BD,,,,,,,,,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,-,-,-,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,6.814,9.14,10.784,11.427
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BD:Bangladesh",Q:S:IT:4R:F:I:A:A:TO1:A:BD,,,,,\,-,\,-,\,-,\,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,\,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,\,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,18,\,\,\,\,\,\,\,\,\,\,\,17.827,13.744,20.976,30.364,15.811,18.939,39.762,44.459
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BD:Bangladesh",Q:S:BE:4R:F:C:A:A:TO1:A:BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,-,-,-,-,-,-,4,-,5,5,5,4,4,4,4,5,5,4,11,12,30,32,34,32,35,32,29,29,30,29,29,31,34,32,32,29,31,32,31,32,43,52,123,107,23,21,23,21,1,1,2,2,3,2,4,4,3,4,4,4,6,3,2,2,1,3,10,9,5,4,9,10
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BD:Bangladesh",Q:S:AT:4R:F:I:A:A:TO1:A:BD,\,-,0,-,\,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,2,-,2,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,3,-,0,-,0,-,-,-,-,-,-,-,1,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,11,16,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,9,8,8,7,6.836,6.986,6.829,6.388,16.213,15.159,13.068,10.811
"Q:Quarterly","S:Amounts outstanding / Stocks","CA:Canada","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","BD:Bangladesh",Q:S:CA:4R:U:C:A:A:TO1:B:BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,-,\,\,\,-,\,\,\,\,\,\,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1.736,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","BD:Bangladesh",Q:S:GB:4R:F:B:A:A:LC1:A:BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,-,-,-,-,-,-,-,-,-,250,255,233,680,715,682,667,647,728,639,702,719,797,730,924,997,1069,1060,1105,1171,1229,1151,1201,1242,1250,1204,1317,1353,1380,1483,1585,1644,1650,1763,1803,1980,1954,2048,2059,2143,2270,2321,2264,2351,2412,2557,2538,2715,2480,2694,2883,2908,3226,3211,3246,3503,3473,3686,3679,3659,3534,3547,3604,3690
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BD:Bangladesh",Q:S:GB:4R:F:I:A:A:TO1:A:BD,25,-,35,-,21,-,29,-,23,-,21,-,21,-,-,-,-,-,20,-,20,-,19,-,18,-,17,-,17,-,15,-,21,-,21,-,21,-,26,-,-,-,-,-,43,-,47,-,50,-,51,-,53,-,96,-,64,-,83,-,58,-,-,-,129,113,160,237,197,191,231,172,156,174,273,197,266,232,262,234,290,327,441,434,476,510,543,628,609,609,655,607,656,645,738,723,766,892,999,1280,1252,1019,1145,1056,1101,1242,1427,1588,1825,2009,2143,2011,2124,2055,2240,2623,2750,3065,3611,3519,3815,3835,3905,4183,4361,4361,4530,4109
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BD:Bangladesh",Q:S:AU:4R:F:C:A:A:TO1:A:BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,-,-,-,-,16,-,58,60,117,132,107,-,101,71,-,-,1,-,-,-,-,-,-,-,4,4,4,5,4,5,7.42,7.49,7.924,8.621,9.68,6.096,5.498,6.107,5.693,4.382,5.125,4.679,5.942,4.578
