BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Belgium"
"Country: Belgium"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BE:Belgium",Q:S:DE:4R:Q:C:A:A:TO1:A:BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1563,-1536,330,-1983,-689,185,-1030,-638
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4B:Domestic Banks","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BE:Belgium",Q:S:BE:4B:F:C:A:A:TO1:A:BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292148,293257,291864,271227,266232,235429,267006,264112
"Q:Quarterly","S:Amounts outstanding / Stocks","CL:Chile","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","BE:Belgium",Q:S:CL:4R:U:C:V:A:TO1:A:BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.354,10.512
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","BE:Belgium",Q:S:FR:4R:U:C:A:A:TO1:F:BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,11688
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","BE:Belgium",Q:S:JP:4R:U:C:V:A:TO1:A:BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,75,84,104,60,98,99,114,113,122,124,155,305,242,240,486,427,190,204,200,159,179,282,236,182,136,61,107,41,31,47,39,44,46,42,25.7,57,57.5,67.4,69.1,89.1,74.8,53.1
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BE:Belgium",Q:S:US:4R:F:C:A:A:TO1:A:BE,,,,,,,10953,-,13510,12391,10083,11000,13365,11390,10097,12750,13471,10254,11520,10531,9847,11889,15302,14161,13725,15107,19567,21805,15334,19951,20360,20219,18014,15950,18386,22791,20273,19620,23840,22110,16442,22435,25892,24497,25932,27195,33717,44145,39285,42633,39882,34665,29781,41615,33101,33750,21885,23593,20940,22814,20950,22970,22314,19655,14738,20795,18492,23599,19333,19970,19409,21717
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4C:Inside-area foreign banks consolidated by their parent","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BE:Belgium",Q:S:5A:4C:F:C:A:A:TO1:A:BE,614,-,714,-,800,-,29420,-,26396,26659,22460,22451,21818,20277,19512,21909,21375,20062,24491,27863,23449,31246,29671,40299,59141,62461,59597,75223,84635,77849,71517,81871,68888,70977,85079,75258,109972,119064,132751,144355,155893,160295,159440,129360,46954,47312,39678,35666,36851,29027,25072,22408,21094,25294,26365,16180,14469,21330,18312.872,21804.123,17698.72,20822.377,23344.842,20466.55,21143.662,20978.62,21919.651,20011.808,20636.628,19774.153,19723.357,21790.078
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","BE:Belgium",Q:S:AU:4R:U:C:A:A:TO1:B:BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016,1273,676,984,813,843,1087,368,508,716,507,1684,1690,1214,1674,2103,988,1244,1018,1050,647,355,158,647,414,1066,351,239,154,31.229,94.035,94.468,83.614,114.249,96.877,162.101,404.715,144.315,290.365,350.514,594.772,19.297,295.944
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BE:Belgium",Q:S:AT:4R:F:I:A:A:TO1:A:BE,,,,,,,1959,-,1679,2197,1705,1589,2074,2186,620,479,152,856,1154,660,266,175,474,1245,1048,989,1026,1042,1121,1663,1348,1318,2004,1750,1722,2723,2319,3165,3132,3263,4832,4799,4168,3634,3073,2314,2462,6033,4589,2905,3458,2554,2276,2910,2571,2397,1586,2070,2093,2050,1545,1779,1978,2214,2190.7,2341.076,2214.897,1835.741,1735.696,1647.573,1712.491,1627.51
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","BE:Belgium",Q:S:ES:4R:U:C:V:A:TO1:A:BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1673,1458,1588,2153,1994,1941,2033,2291,1897,1470,1338,1325,1268,1503.413,1419.603,1569.386,1505.159,1496.407,1146.712,1070.722
