BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Bulgaria"
"Country: Bulgaria"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","BG:Bulgaria",Q:S:JP:4R:U:C:V:A:TO1:A:BG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,1,1,1,1,2,1,1,1,1.2,1,1.1,0.9,0.9,0.7,0.7,0.6
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BG:Bulgaria",Q:S:DE:4R:Q:C:A:A:TO1:A:BG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-102,-,-59,-83,-30,-25,-29,-87,-130,-184,-89,-90,-7,-163,-519,-521,-530,-542,-518,-626,-601,-797,-948,-1375,-1076,-1093,-205,-416,-480,-144,-152,-277,-185,-91,530,718,1045,990,786,680,709,712,500,469,416,481,342,442,388,485,386,372,480,508,359,328,386,358,-291,-293,-280,-198,-345,-291,-289,-326
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","BG:Bulgaria",Q:S:AT:4R:U:C:A:A:TO1:O:BG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,631.694,649.609,653.079,598.397,1084.683,846.003,1010.02,1006.471
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BG:Bulgaria",Q:S:US:4R:F:C:A:A:TO1:A:BG,126,-,128,-,100,-,68,-,112,-,173,-,112,-,88,-,88,-,80,-,151,-,110,-,74,-,63,-,57,-,76,-,70,-,48,-,32,-,48,-,99,-,70,-,103,-,47,-,73,-,82,-,178,-,293,-,163,-,91,-,86,-,86,-,114,112,107,118,103,87,202,166,166,564,264,299,216,217,289,221,202,249,332,509,474,405,337,310,317,188,445,414,392,386,433,364,308,397,384,333,329,512,1961,459,341,325,296,412,453,444,461,438,505,506,520,517,713,581,715,751,591,526,639,432,882,493,495,448
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","BG:Bulgaria",Q:S:BE:4R:F:B:A:A:LC1:A:BG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1222,513,590,587,574,519,537,559,576,530,510,547,516,593,579,495,526,532,409,487,527,143,149,551,600,494,643,669,634,527,582,573
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","BG:Bulgaria",Q:S:AU:4R:U:C:A:A:TO1:B:BG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.839
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BG:Bulgaria",Q:S:IT:4R:F:I:A:A:TO1:A:BG,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,5021,\,\,\,\,\,\,\,\,\,\,\,6387.531,6304.883,6592.792,5420.865,5192.245,4244.914,\,4972.392
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4C:Inside-area foreign banks consolidated by their parent","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BG:Bulgaria",Q:S:5A:4C:F:C:A:A:TO1:A:BG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-,12,-,29,-,21,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BG:Bulgaria",Q:S:BE:4R:F:C:A:A:TO1:A:BG,26,-,23,-,33,-,43,-,56,-,87,-,91,-,95,-,139,-,162,-,161,-,173,-,183,-,187,-,198,-,196,-,215,-,214,-,188,-,167,-,129,-,122,-,49,-,159,-,37,-,49,-,32,-,27,-,22,-,23,-,32,-,30,-,31,45,25,38,29,30,28,11,25,25,23,24,23,23,26,24,28,31,36,56,57,64,112,92,101,69,72,97,130,145,150,172,1739,2065,2032,1931,1865,1573,1899,2102,1903,1838,1404,1476,1440,1515,1522,1200,1147,1118,1109,1152,1221,1097,1197,1210,1340,1344,1394,1396,1342,1228,1304,1304
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BG:Bulgaria",Q:S:AT:4R:F:I:A:A:TO1:A:BG,\,-,234,-,\,-,237,-,370,-,445,-,509,-,503,-,581,-,717,-,792,-,815,-,942,-,949,-,979,-,860,-,910,-,957,-,865,-,819,-,744,-,626,-,414,-,423,-,386,-,252,-,240,-,218,-,180,-,175,-,179,-,158,-,153,140,138,134,130,124,52,51,63,51,59,75,199,92,104,99,120,114,171,316,311,511,1283,1549,1483,1619,1991,2194,2585,2765,3194,3871,3715,4121,4118,4168,3967,3871,4151,4614,5349,4586,3955,4119,4098,4385,4567,4532,4456,4454,4086,\,\,\,\,\,3386.383,3232.454,3157.649,3589.292,2091.036,1632.281,1676.015,1655.603
