BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Bahrain"
"Country: Bahrain"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","BH:Bahrain",Q:S:JP:4R:U:C:V:A:TO1:A:BH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,39,34,28,24,18,21,17,19,9,13,28,59,28,38,136,113,68,80,58,71,100,128,84,81,86,138,132,124,135,141,129,124,92,94,78,85.6,84.9,86.2,86.3,96.4,79.6,92.6
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","BH:Bahrain",Q:S:AU:4R:U:C:A:A:TO1:B:BH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,-,-,11,-,-,54,33,-,-,-,-,80,123,115,99,125,44,32,122,125,118,125,130,100,43,41,42,43,40.931,41.274,40.952,42.155,24.821,23.925,4.979,0.664,2.504,15.693,5.794,12.895,2.417,0.278
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4C:Inside-area foreign banks consolidated by their parent","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BH:Bahrain",Q:S:5A:4C:F:C:A:A:TO1:A:BH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-,43,-,29,-,409,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","BH:Bahrain",Q:S:ES:4R:F:I:A:U:TO1:A:BH,,,,,,,,,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,0.59,15.158,15.228,20.546
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BH:Bahrain",Q:S:IT:4R:F:I:A:A:TO1:A:BH,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,493,\,\,\,\,\,\,\,\,\,\,\,669.954,489.172,544.467,469.704,547.127,558.664,652.445,603.03
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BH:Bahrain",Q:S:DE:4R:Q:C:A:A:TO1:A:BH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-140,-,-122,-330,-221,-65,-219,-184,-284,-83,-131,-78,-88,-80,-51,-219,-266,-420,-435,-662,-816,-1285,-1774,-1916,-2453,-2594,-2711,-3381,-3930,-3707,-4614,-4331,-4187,-4475,-5077,-5108,-6352,-6538,-3927,-1927,-1564,-1468,-1784,-1362,-1664,-2341,-1710,-978,-1088,-810,-651,-687,-458,-407,-588,-218,-34,-254,-220,-317,-366,-350,-390,-250,-110,-27
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","BH:Bahrain",Q:S:FR:4R:U:C:A:A:TO1:F:BH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,218
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BH:Bahrain",Q:S:BE:4R:F:C:A:A:TO1:A:BH,165,-,206,-,212,-,196,-,228,-,146,-,109,-,69,-,102,-,94,-,69,-,74,-,68,-,78,-,73,-,34,-,18,-,110,-,50,-,30,-,189,-,47,-,72,-,103,-,92,-,111,-,80,-,90,-,45,-,53,-,35,-,111,-,399,36,575,595,715,328,276,567,913,532,1149,1403,1721,2135,2103,1763,1814,2011,2371,2166,2308,2519,2217,2072,2515,2835,1899,1796,1950,1905,1658,2143,3241,3480,3085,2562,981,668,333,279,41,62,63,73,77,78,104,133,121,129,97,90,90,120,102,101,100,99,99,100,98,68,67,67
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BH:Bahrain",Q:S:AT:4R:F:I:A:A:TO1:A:BH,\,-,284,-,\,-,324,-,359,-,362,-,279,-,358,-,232,-,260,-,174,-,235,-,185,-,289,-,79,-,22,-,24,-,27,-,46,-,18,-,34,-,38,-,37,-,112,-,126,-,148,-,130,-,199,-,163,-,231,-,221,-,190,-,149,184,178,164,103,131,14,7,7,12,8,14,14,28,26,128,40,48,36,91,112,130,144,160,237,294,359,391,427,491,512,711,753,757,771,711,657,710,744,578,585,557,475,449,426,381,370,320,238,238,\,\,\,\,\,\,\,\,\,\,0.236,7.482,0.265,0.007
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","BH:Bahrain",Q:S:GB:4R:U:C:A:A:TO1:R:BH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1658,1552,1668,1766,1754,2021,1909,2084,2183,2275,2345,2108,7443,8808,9543,8871,8652,7961,6784,6435,5694,4933,5174,4917,5072,4973,5046,4583,4494,4400,4417,4567,4463,4350,4380,4461,4648,4686,4395,4295,4301,4126,3999
