BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Bermuda"
"Country: Bermuda"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BM:Bermuda",Q:S:BE:4R:F:C:A:A:TO1:A:BM,43,-,36,-,19,-,23,-,54,-,37,-,38,-,75,-,131,-,98,-,91,-,147,-,147,-,137,-,169,-,175,-,138,-,121,-,101,-,145,-,216,-,250,-,442,-,427,-,248,-,267,-,234,-,368,-,283,-,232,-,390,-,509,-,416,445,316,440,352,318,336,384,411,451,658,482,454,370,458,531,535,533,413,392,1034,1152,1236,769,743,872,770,904,1011,1446,1154,1699,1747,2010,2233,2428,2257,2645,1990,2032,75,59,28,44,48,51,65,70,92,88,42,44,41,48,77,12,22,42,14,25,9,24,16,12
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BM:Bermuda",Q:S:5A:4R:U:C:A:A:TO1:A:BM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38690,52463,46537,46444,55560,59713,57111,62400,69748,77445,75753,89221,96540,89037,87355,70557,69515,70149,70810,70910,68023,67835,63887,65241,66314,67331,68470,70177,72515,70441.437,75824,78263.823,87731.398,87757.505,88727.806,71604.168,77090.423,77982.729,76998.723,77509.636,79784.522,79301.902,78289.401
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","BM:Bermuda",Q:S:KR:4R:F:I:A:U:TO1:A:BM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,-,-,-,0.765,0.298,0.67,-,0.392,4.379,4.713,9.909
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","BM:Bermuda",Q:S:AU:4R:U:C:A:A:TO1:B:BM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,55,22,10,-,-,0.035,0.268,0.642,-,-,0.06,0.162,-,-,1.114
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BM:Bermuda",Q:S:DE:4R:Q:C:A:A:TO1:A:BM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1366,-,-480,1263,339,-1233,-430,-490,-780,-793,-1841,-980,-273,-226,40,377,-47,-1848,-875,-1088,-878,-1392,-1729,-2812,-2689,-1165,-1962,-4322,-2501,-1445,-1287,-1367,-991,-1195,-2229,-1128,-1288,-3007,74,1422,603,642,2397,478,-730,-642,-378,387,-69,29,179,472,281,231,-612,318,6,21,-3639,-3942,-4188,-2105,-1437,-493,-716,-711
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","BM:Bermuda",Q:S:FR:4R:U:C:A:A:TO1:F:BM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,1540
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","BM:Bermuda",Q:S:JP:4R:U:C:V:A:TO1:A:BM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,2,4,2,3,2,5,4,1,2,8,33,7,11,38,27,20,30,23,23,31,54,23,19,24,101,106,100,129,139,127,125,83,101,74.6,43.9,39.9,38.9,38.3,44.3,34.5,46.6
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","BM:Bermuda",Q:S:5A:4R:F:B:A:A:LC1:A:BM,,,0,-,-,-,14,-,17,-,9,-,20,-,15,-,37,-,38,-,39,-,33,-,47,-,39,-,0,-,30,-,0,-,0,-,0,-,0,-,1,-,2,-,0,-,0,-,0,-,0,-,30,-,19,-,41,-,43,-,52,-,53,-,10,17,15,11,12,29,30,31,43,39,13,13,117,47,8,0,0,976,1007,1075,1148,1165,1302,2168,2231,2263,1732,2414,2381,1690,1622,2435,2483,2662,2734,2022,1947,2232,2241,2323,2550,2452,2453,2405,2374,2347,2352,2357,2501,2401,2457,2248,2148,2111,2123,2640,2085,2170,2119,2018,1998,1893,1863.001,1849
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","BM:Bermuda",Q:S:GB:4R:U:C:A:A:TO1:R:BM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9201,9277,9942,10098,10296,10664,12018,12433,12488,13555,17929,18515,20831,16613,18849,11413,9954,9351,8694,9581,9238,9857,9275,8997,10347,10086,10988,10401,11805,11121,12142,11277,11407,11732,11059,8922,10759,10103,10410,10395,10083,10790,10997
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BM:Bermuda",Q:S:ES:4R:U:W:A:A:TO1:A:BM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,19.374,15.843,15,\,\,\,\
