BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Brunei"
"Country: Brunei"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BN:Brunei",Q:S:GB:4R:U:W:A:A:TO1:A:BN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,81,80,77,5,9,7,8,8,12,6,30,28,26,23,37,34,28,62,55,103,129,82,136,98,135,193,148,145,138,147,136,141,130,126,122,175,147,135,144,162,179,158
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","BN:Brunei",Q:S:FR:4R:U:C:A:A:TO1:O:BN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,14,15,15,15,16,19,0,0,-,-,-,-,-,-,8,4,0,\,\,\,-,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BN:Brunei",Q:S:BE:4R:F:C:A:A:TO1:A:BN,,,,,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,25,27,18,18,18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","BN:Brunei",Q:S:AU:4R:U:C:A:A:TO1:B:BN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065,0.134,0.055,0.189,0.042,0.139,0.291,0.25,0.208,0.155,0.523,4.214,0.007,0.012
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BN:Brunei",Q:S:5A:4R:U:C:A:A:TO1:A:BN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1692,1476,1293,1587,1521,1712,1629,1734,1638,1576,1634,1707,1785,1875,1952,2114,2073,2089,2110,2031,2073,2099,2214,2404,3710,3669,3890,4079,3951,3975.263,4036.556,4033.691,4472.652,4276.944,4345.504,3782.522,3711.78,3837.871,3558.935,3520.824,3556.446,3456.463,3877.163
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BN:Brunei",Q:S:DE:4R:U:C:A:A:TO1:A:BN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,76,\,\,\,\,\,\,\,\,\,\,\,\,-,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BN:Brunei",Q:S:5A:4O:F:I:A:A:TO1:A:BN,38,-,52,-,71,-,53,-,90,-,266,-,136,-,61,-,77,-,103,-,17,-,10,-,27,-,22,-,79,-,141,-,162,-,64,-,153,-,167,-,280,-,306,-,251,-,146,-,220,-,202,-,169,-,150,-,1159,-,1403,-,335,-,490,-,460,425,390,364,372,342,374,336,410,384,460,398,370,344,365,357,443,413,495,411,541,691,438,597,544,511,608,647,592,621,500,401,432,434,439,563,622,617,621,729,689,742,772,811,874,2260,2111,2280,2200,2096,2048.176,2012.578,2020.73,2142.008,2004.423,2111.665,1686.714,1863.761,1906.49,1847.288,1819.229,1900.196,1842.34,2001.935
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","BN:Brunei",Q:S:GB:4R:F:B:A:A:LC1:A:BN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,800,755,763,748,728,809,802,814,825,765,752,753,758,765,781,809,842,866,885,941,987,1009,1007,803,1040,1060,1163,1127,1147,1116,1144,1196,1248,1320,1381,1338,1415,1370,1433,1433,1424,1395,1412,1520,1561,1553,1675,1675,1888,1958,2011,2106,2150,2452,2393,2408,2359,2321,2349,2237,2196,2138,2065,2342
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BN:Brunei",Q:S:FR:4R:Q:C:A:A:TO1:A:BN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,-3,0,-1,-,-1,-1,-,0,-3,-1,-,-,-3,-5,-8,-1,-1,-,-1,-9,-10,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-36
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","BN:Brunei",Q:S:AU:4R:F:I:A:U:TO1:A:BN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-,-,-,-,-,-,-,1,-,-,-,-,1,-,1,1,1,-,1,1,1,-,-,1,1,1.603,1.715,2.158,1.933,2.538,2.055,2.539,2.283,2.088,2.998,7.732,13.362,6.28,6.75
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BN:Brunei",Q:S:US:4R:U:C:A:A:TO1:A:BN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,120,108,101,112,132,87,118,91,86,75,84,78,96,90,119,292,117,190,96,164,162,100,130,1391,1221,1400,1376,1261,1268,1221,1154,1296,1154,1226,726,656,733,614,566,634,554,575
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BN:Brunei",Q:S:AU:4R:U:X:A:A:TO1:A:BN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,-,-,-,-,-,-,-,-,-,2,-,1,1,1,1,1,0,1,1,1,1,1,1,-,-,1,-,0.944,0.953,0.963,1.064,1.098,1.07,1.042,0.906,0.948,0.129,0.13,0.344,0.122,0.489
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BN:Brunei",Q:S:GB:4R:U:C:A:A:TO1:A:BN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1202,1149,907,1142,1160,1330,1282,1299,1279,1316,1381,1390,1487,1532,1593,1708,1519,1727,1649,1642,1615,1626,1743,1791,1845,1935,1888,2143,2151,2202,2272,2333,2646,2589,2601,2527,2469,2522,2391,2394,2344,2322,2625
