BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Bonaire, Sint Eustatius and Saba"
"Country: Bonaire, Sint Eustatius and Saba"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BQ:Bonaire, Sint Eustatius and Saba",Q:S:5A:4O:F:I:A:A:TO1:A:BQ,8,21,26,27,74,75,74,26,51,51,52,48,93.225,66.495,64.259,58.719,78.93,56.21,55.612,289.133
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","BQ:Bonaire, Sint Eustatius and Saba",Q:S:FR:4R:F:I:A:U:TO1:A:BQ,,\,\,\,\,\,\,-,-,-,-,-,-,-,-,-,\,-,-,181
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BQ:Bonaire, Sint Eustatius and Saba",Q:S:US:4R:U:C:A:A:TO1:A:BQ,,,,,,,,,,,,,2
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BQ:Bonaire, Sint Eustatius and Saba",Q:S:5A:4R:U:X:A:A:TO1:A:BQ,,0,0,0,1,0,0,0,1,0,0,0,0,0.003,0.003,116.003,112.002,82.002,86.402,98.002
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","BQ:Bonaire, Sint Eustatius and Saba",Q:S:5A:4O:F:I:A:U:TO1:A:BQ,8,20,24,24,2,2,3,1,4,4,4,2,15.298,9.39,11.263,6.085,26.995,9.822,10.119,190.122
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BQ:Bonaire, Sint Eustatius and Saba",Q:S:TW:4R:F:I:A:A:TO1:A:BQ,8
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","BQ:Bonaire, Sint Eustatius and Saba",Q:S:5A:4R:F:I:A:U:TO1:A:BQ,8,20,24,24,2,2,3,1,4,4,4,2,14.921,9.383,10.513,6.077,26.977,9.71,9.637,190.116
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","BQ:Bonaire, Sint Eustatius and Saba",Q:S:5A:4R:U:C:A:A:TO1:R:BQ,8,21,26,27,74,55,54,5,49,49,50,48,53.51,47.5,46.071,44.041,65.247,47.934,47.06,284.508
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","BQ:Bonaire, Sint Eustatius and Saba",Q:S:5A:4R:U:C:A:A:TO1:B:BQ,,0,0,0,0,0,0,0,2,2,2,0,3,6,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BQ:Bonaire, Sint Eustatius and Saba",Q:S:5A:4R:Q:C:A:A:TO1:A:BQ,,0,0,0,0,-20,-19,-21,0,0,0,0,51.804,47.167,35.217,31.84,29.824,26.567,27.205,27.503
