BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Brazil"
"Country: Brazil"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BR:Brazil",Q:S:AU:4R:F:C:A:A:TO1:A:BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,265,221,231,166,251,288,318,265,294,313,236,321,238,193,223,222,360,324,131,118,84,156,157,84,103,214,345,364,308,250,227,374,387,412.626,524.444,483.227,487.643,552.619,568.193,700.968,920.947,617.565,653.103,903.912,923.723,508.055,637.191
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BR:Brazil",Q:S:GR:4R:F:I:A:A:TO1:A:BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,14,14,26,26,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,3,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","BR:Brazil",Q:S:GB:4R:F:B:A:A:LC1:A:BR,,,,,,,,,,,,,,,,,,,,,,,,,1034,-,1266,-,-,-,-,-,-,-,-,-,-,-,644,-,1193,-,2056,-,-,-,-,-,-,-,-,-,-,-,6348,-,14459,-,12323,-,10177,-,7206,-,7655,9751,9857,9829,10990,10013,10903,10260,10556,10090,7696,6386,6902,7201,7774,7674,8154,8633,8737,10346,11404,13390,16677,19119,17942,19482,20563,21776,25509,27799,30856,31798,35999,39643,47404,43398,35289,35065,41511,48555,48786,52150,51406,61504,63171,65175,75561,63662,63293,63381,55116,55982,52000,54983,45401,50022,45232,49057,50113,46981,45152,40039,39442,31123
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BR:Brazil",Q:S:BE:4R:F:C:A:A:TO1:A:BR,658,-,608,-,670,-,639,-,692,-,680,-,659,-,643,-,637,-,443,-,495,-,766,-,831,-,823,-,851,-,694,-,421,-,290,-,188,-,121,-,169,-,223,-,217,-,347,-,347,-,494,-,483,-,577,-,515,-,587,-,732,-,523,-,504,518,485,488,471,474,489,434,443,431,425,266,206,258,254,293,314,350,328,392,380,330,355,382,448,523,542,512,886,924,1073,1216,1553,1684,2096,1896,1201,806,757,634,132,125,124,156,158,128,136,107,78,82,74,46,26,25,26,33,27,26,26,21,22,18,46,52
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BR:Brazil",Q:S:IT:4R:U:X:A:A:TO1:A:BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,139,\,\,\,\,\,\,\,\,\,\,\,813.362,668.113,764.766,369,445.857,463.334,404.976,512.172
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","BR:Brazil",Q:S:5A:4R:F:B:A:A:LC1:A:BR,4567,-,3959,-,4088,-,4576,-,4383,-,5011,-,6075,-,5785,-,6363,-,6336,-,5303,-,6076,-,6125,-,7644,-,6150,-,5743,-,5709,-,6403,-,6039,-,7347,-,10345,-,12105,-,12516,-,13959,-,20657,-,22700,-,31835,-,38862,-,52594,-,61887,-,62626,-,52885,-,53693,58417,61076,58350,70798,68257,70183,66109,74345,69005,60637,49905,50196,46398,51679,53015,51848,55116,55240,61902,66615,78044,85674,97729,100320,112263,112182,111302,136149,146885,172028,178643,196992,205976,240882,194553,168444,172690,206975,227344,231437,235140,253503,282248,299171,318496,353397,307431,314242,311517,286223.805,292262.349,294153.33,312477.868,278229.978,275093.909,244052.031,259100.645,270456.322,256973.86,248368.106,210402.271,221309.084,175332.482
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","BR:Brazil",Q:S:GB:4R:U:C:A:A:TO1:R:BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7354,8672,10056,9366,10846,11731,12605,14681,15051,16699,18489,21908,23383,27613,25577,21979,22411,27707,31684,29911,30411,30472,35205,39595,40618,47786,39340,41098,40716,37731,38346,39985,42098,39037,42184,40244,40060,40752,39561,37665,32625,32938,27295
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","BR:Brazil",Q:S:JP:4R:U:C:V:A:TO1:A:BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,6,10,12,2,3,4,4,0,1,3,17,13,18,10,3,2,5,5,2,11,3,3,3,1,41,45,39,55,60,57,64,39,116,104.9,98.7,105.5,71.9,118.1,194,105.4,185.8
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","BR:Brazil",Q:S:KR:4R:F:I:A:U:TO1:A:BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544,637,562,621,703,693,581,491,516.234,605.78,659.602,568.143,596.877,878.49,573.751,616.511
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BR:Brazil",Q:S:5A:4R:U:C:A:A:TO1:A:BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90359,135438,152458,152264,165419,166901,167643,204091,219013,249321,265402,297926,319586,371764,317380,266569,279366,330837,372434,379771,395582,418207,469270,498660,518113,568625,507420,511453,507133,480089.996,495604.173,508524.761,533418.617,477040.372,476892.881,418362.373,443070.886,456086.594,443802.979,434392.121,400763.96,409580.08,351880.595
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","BR:Brazil",Q:S:FR:4R:U:C:A:A:TO1:F:BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,272
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BR:Brazil",Q:S:US:4R:F:C:A:A:TO1:A:BR,23348,-,25167,-,25402,-,25899,-,24943,-,24860,-,25808,-,24530,-,24115,-,22725,-,21804,-,21684,-,19130,-,17054,-,15477,-,12757,-,10936,-,12156,-,12031,-,12712,-,14890,-,18588,-,17251,-,17726,-,24912,-,28321,-,32149,-,30280,-,30925,-,34118,-,25640,-,26714,-,28804,28213,28890,29128,30470,32896,33425,34764,34192,31887,29161,24718,23149,21027,21492,21313,20588,21225,22371,21333,21227,25065,26667,26410,26197,27910,27785,25818,28323,31705,36077,40024,39429,41249,47413,38614,28295,39617,50389,66656,68952,67069,66156,79041,85230,89921,95736,93179,99550,94519,95321,97561,107081,115578,95559,90318,70675,76991,75648,70333,75538,72397,72679,65025
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BR:Brazil",Q:S:ES:4R:F:I:A:A:TO1:A:BR,,,,,,,,,566,-,570,-,543,-,442,-,467,-,367,-,323,-,272,-,238,-,231,-,240,-,268,-,271,-,304,-,325,-,576,-,608,-,1098,-,1458,-,1041,-,1051,-,2033,-,2490,-,2966,-,3620,-,4647,-,5140,-,4625,-,3504,4048,4604,4808,5706,5174,5005,5425,4675,3951,3646,2438,2725,3455,3090,3031,3811,3549,3431,3798,4086,4166,5016,5908,5097,5908,5420,5338,6014,7365,7749,8360,9288,9072,10493,16374,15620,13610,15222,16218,17538,16694,18029,16810,17642,17961,18307,17874,17792,17673,16460,16416,16365,16252,14940,14366,14285,15951.632,18548.228,19110.889,17636.226,18566.353,18473.267,16322.826
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BR:Brazil",Q:S:ES:4R:U:W:A:A:TO1:A:BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,14917,13828,15164,12972,12168,13077,12241,12617,13817,14041,13330,13510,13174,13824.595,15242.891,15688.625,15248.719,12857.502,13257.208,10619.936
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BR:Brazil",Q:S:DE:4R:Q:C:A:A:TO1:A:BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-718,-,-1113,-2033,-1931,-1069,-1108,-1394,-1269,-1026,-1043,-1083,-1087,252,237,398,267,-1035,-954,-1102,-1956,-2179,-1793,-1742,-1995,-3188,-93,-1488,-2295,-1612,-2183,-2264,-1835,-2110,109,1856,2997,1443,2783,2991,5384,2280,2766,3277,6036,6018,6357,9313,9809,8389,8226,7741,8207,10278,10842,10870,10527,8891,1451,1569,1800,2227,3138,2220,2328,2337
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4C:Inside-area foreign banks consolidated by their parent","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BR:Brazil",Q:S:5A:4C:F:C:A:A:TO1:A:BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-,217,-,263,-,1549,-,0,-,0,0,0,105,0,0,0,0,0,0,0,0,1918,6174,4789,4135,4243,5423,4163,4279,3316,4038,5200,5086,5290,6190,6750,6394,5788,6038,6827,8209,7472,7226,7398,7813,8256,11960,12396,14298,17466,26643,22933,27294,30439,32717,39053,41064,43988,47305,46163.531,42940.447,45293.264,50483.456,47460.053,48064.74,48357.933,55651.969,58942.063,65322.345,74709.591,77730.327,77460.495,78106.936
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","BR:Brazil",Q:S:ES:4R:F:B:A:A:LC1:A:BR,,,,,,,,,24,-,60,-,77,-,54,-,50,-,123,-,60,-,59,-,42,-,53,-,57,-,54,-,42,-,27,-,31,-,36,-,30,-,21,-,35,-,274,-,402,-,261,-,266,-,410,-,2452,-,7753,-,11344,-,8861,-,7614,9056,12722,13457,22456,21367,21537,19485,21034,19642,17164,15293,15192,10288,12250,14273,14061,15597,15512,17210,19215,21815,24158,28789,29571,35230,29970,31021,39082,37459,46176,46387,53080,50816,61261,101388,92964,96940,114205,123256,128963,125264,138857,151263,163212,173157,192179,162252,168732,169564,153178,158056,160931,165087,150127,149131,146743,155913.489,167119.885,157604.5,147910.513,121415.565,131952.903,103935.99
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","BR:Brazil",Q:S:US:4R:F:I:A:U:TO1:A:BR,7438,-,7787,-,7962,-,8212,-,8391,-,8726,-,8800,-,9936,-,9754,-,9216,-,8089,-,8020,-,6344,-,4811,-,4219,-,3441,-,3192,-,3285,-,3920,-,4918,-,5716,-,7034,-,6439,-,6593,-,8096,-,9052,-,12613,-,10460,-,9108,-,11418,-,8505,-,8788,-,9688,8634,8964,8083,8500,8832,8081,8146,7589,6634,6654,5858,5190,4375,5324,5589,5471,5883,5928,5809,5599,5754,6529,5904,5941,7908,7238,8996,11284,10659,11198,12817,13937,13428,17852,13409,9689,20097,22797,33613,34713,33760,30299,37014,40224,39096,41303,39172,40442,39533,40651,41086,47357,49730,34765,33039,24089,23993,22888,21401,25708,26366,27964,26256
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BR:Brazil",Q:S:FR:4R:F:I:A:A:TO1:A:BR,\,-,5803,-,\,-,5946,-,6096,-,6312,-,6736,-,6774,-,7186,-,6958,-,7116,-,7143,-,7228,-,6687,-,7327,-,6756,-,6723,-,6657,-,6349,-,5528,-,5409,-,5450,-,5630,-,5683,-,5900,-,5547,-,6351,-,7380,-,8629,-,7919,-,6055,-,5788,-,5345,5589,5190,4484,5151,5149,5132,5122,5643,5435,5836,4917,5485,4726,4024,5847,6711,6077,5896,4538,5248,6070,3937,3911,4205,4476,4192,4401,5657,5620,5901,8147,8134,10281,14403,10832,9805,9440,11139,11990,10980,\,11952,11727,14057,\,15195,13999,13242,15048,12075,14096,15743,16485,15042,14866,\,\,\,\,\,\,\,17667
