BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Bhutan"
"Country: Bhutan"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BT:Bhutan",Q:S:5A:4R:U:X:A:A:TO1:A:BT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,0,39,44,34,27,28,26,24,25,15.009,24.007,24.009,18.01,17.015,7.012,7.422,6.77,7.351,0.014,5.843,0.708,0.733,0.724
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BT:Bhutan",Q:S:GB:4R:F:I:A:A:TO1:A:BT,,,,,,,,,,,,,,,,,,,,,9,-,6,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,4,-,4,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,3,3,5,2
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BT:Bhutan",Q:S:5A:4O:F:I:A:A:TO1:A:BT,1,-,0,-,3,-,0,-,0,-,0,-,0,-,9,-,0,-,0,-,24,-,21,-,18,-,18,-,18,-,16,-,16,-,15,-,14,-,17,-,12,-,10,-,10,-,12,-,3,-,2,-,2,-,3,-,3,-,0,-,0,-,0,-,2,0,69,1,1,1,1,0,0,4,8,8,16,18,18,24,32,31,34,34,38,38,38,41,44,46,49,61,56,58,58,63,63,72,68,67,60,56,58,62,65,57,59,68,73,87,87,83,80,90,96.34,84.011,203.011,86.006,87.001,96.004,94.4,100.262,85.309,88.573,88.541,75.785,73.507,68.378
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","BT:Bhutan",Q:S:GB:4R:U:C:A:A:TO1:R:BT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,7,7,5,4,4,-,-,-,-,-,-,-,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BT:Bhutan",Q:S:GB:4R:U:C:A:A:TO1:A:BT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,7,7,5,4,4,-,-,-,-,-,4,-,4,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,3,3,5,2
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","BT:Bhutan",Q:S:5A:4O:F:I:A:U:TO1:A:BT,1,-,0,-,2,-,0,-,0,-,0,-,0,-,9,-,0,-,0,-,4,-,4,-,3,-,3,-,3,-,2,-,3,-,1,-,2,-,8,-,3,-,3,-,2,-,7,-,0,-,1,-,1,-,3,-,3,-,0,-,0,-,0,-,2,0,69,1,1,1,1,0,0,0,0,0,0,2,1,3,3,2,4,0,0,0,1,6,8,11,14,15,16,18,18,20,18,24,4,10,8,5,4,5,5,6,3,6,6,6,8,8,8,15,21.007,4.011,100.011,2.006,3.001,7.004,2.013,12.597,2.807,6.911,9.052,6.108,3.024,2.009
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BT:Bhutan",Q:S:GB:4R:U:W:A:A:TO1:A:BT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,3,3,3,4,6,2,-,3,-,2,3
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","BT:Bhutan",Q:S:5A:4R:U:C:A:A:TO1:B:BT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,0,2,6,0,0,0,-,0,1,0,0,0,3,1,0,0,1,4,2,11,-,3.034,5.051,4.105,4.203,4.189
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","BT:Bhutan",Q:S:5A:4R:U:C:A:A:TO1:R:BT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,7,7,5,4,4,0,11,0,0,0,1,2,5,3,2,2,2,2,3,1,2,2,2,2,3,3,4,2.002,2.009,27.007,2.006,2.001,2.004,2.028,2.199,2.023,2.029,3.001,3.216,3.224,0.219
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BT:Bhutan",Q:S:5A:4R:Q:C:A:A:TO1:A:BT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-,0,-,0,-,0,-,0,0,0,-,0,0,0,0,0,-3,-8,-8,-16,-17,-17,-21,-32,-31,-30,-34,-32,-32,-32,-30,5,5,3,-7,0,-31,-42,-44,-46,-49,-49,-45,-43,-42,-44,-46,-45,-42,-48,-54,-60,-73,-73,-70,-65,-66,-69.338,-72.001,-71.003,-76,-78,-80,-81.06,-81.696,-78.856,-76.809,14.63,-63.547,-63.883,-61.88
