BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Botswana"
"Country: Botswana"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","BW:Botswana",Q:S:GB:4R:U:C:A:A:TO1:R:BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766,687,738,683,1081,901,966,1182,1196,957,998,1015,2268,2474,2490,2365,1993,2287,2402,2337,2524,2548,2708,2713,2849,2746,2131,1840,823,825,715,795,723,774,828,955,1866,1999,1902,2085,1981,2078,1937
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","BW:Botswana",Q:S:AU:4R:F:I:A:U:TO1:A:BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.05,0.08,0.002,0.003,0.006,0.005,0.007,0.097,0.291,0.403,0.434,0.396,0.38,0.238
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BW:Botswana",Q:S:GB:4R:U:C:A:A:TO1:A:BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1569,1540,1541,1466,2180,2055,2064,2329,2399,2356,2437,2413,2272,2480,2495,2365,1995,2291,2407,2341,2627,2550,2719,2722,2861,2749,2139,1843,825,828,723,795,724,777,828,955,1877,2035,1939,2132,2007,2078,1981
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BW:Botswana",Q:S:5A:4O:F:C:A:A:TO1:A:BW,0,-,-,-,0,-,8,-,7,-,7,-,12,-,10,-,8,-,10,-,9,-,11,-,10,-,21,-,9,-,12,-,12,-,10,-,50,-,56,-,14,-,6,-,4,-,4,-,8,-,5,-,13,-,33,-,36,-,15,-,15,-,800,714,761,756,735,797,900,923,837,921,906,984,940,1035,1151,1288,1497,1377,1420,1462,1691,1699,1614,1586,1516,2242,2153,2150,2382,2457,2417,2486,2472,2411,2532,2551,2497,2225,2430,2612,2588,2793,2734,2857,2999,3115,3150,2539,2390,1376,1368.173,1478.428,1519.35,1427.253,1397.03,1411.519,1527.548,2408.933,2396.257,2382.336,2470.178,2370.817,2467.752,2333.552
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BW:Botswana",Q:S:AU:4R:F:C:A:A:TO1:A:BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,9,9,-,-,-,-,-,-,-,-,-,-,-,-,31,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.173,0.428,0.35,1.253,1.03,1.519,1.734,1.881,3.034,2.086,3.06,2.122,2.142,1.844
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","BW:Botswana",Q:S:BE:4R:F:I:A:U:TO1:A:BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-,2,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,1,-,-,-,-,-,2,-,-,-,1
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BW:Botswana",Q:S:FR:4R:U:W:A:A:TO1:A:BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-,-,-,-,-,0,-,-,-,-,-,-,-,-,7,8,-,0,7,\,\,\,\,\,\,\,\,\,-,-,-,\,-,-,\,\,\,-,\,\,\,4
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BW:Botswana",Q:S:GB:4R:F:I:A:A:TO1:A:BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,-,-,-,5,8,5,-,4,6,6,7,7,7,8,27,27,27,20,20,30,22,16,18,19,53,43,42,46,61,24,22,35,35,36,41,58,34,72,84,66,57,92,80,79,232,123,145,147,122,140,184,172,184,195,197,200,188,240,227,286,333,443,430,470,414,406,324
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","BW:Botswana",Q:S:5A:4R:F:B:A:A:LC1:A:BW,0,-,-,-,0,-,6,-,6,-,5,-,6,-,6,-,5,-,5,-,4,-,4,-,2,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,782,672,725,720,718,776,878,898,809,893,877,940,898,996,1109,1248,1420,1332,1377,1390,1594,1518,1497,1498,1421,2121,2032,2044,2296,2365,2317,2396,2357,2238,2412,2412,2301,1940,2201,2329,2264,2199,2226,2373,2375,2544,2434,1787,1469,465,463,512,556,527,528,570,612,1484,1528,1472,1578,1497,1515,1504
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BW:Botswana",Q:S:5A:4R:U:C:A:A:TO1:A:BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1609,1597,1573,1509,2238,2118,2115,2373,2444,2406,2464,2432,2372,2548,2529,2462,2202,2400,2591,2538,2849,2840,2957,3027,3183,3042,2402,2273,1142,1117.035,1061.133,1162.078,1068.083,1034,1103,1328.277,2203.787,2230.377,2209.988,2339.972,2252.251,2407.24,2244.522
