BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Belarus"
"Country: Belarus"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BY:Belarus",Q:S:5A:4O:F:C:A:A:TO1:A:BY,5,-,15,-,305,-,399,-,418,-,389,-,362,-,400,-,439,-,455,-,546,-,244,-,278,278,303,215,237,219,221,345,369,386,403,392,425,407,455,466,538,517,510,533,612,513,1126,1208,1336,1327,1424,1750,2223,2646,2955,3309,3407,3582,4012,4165,4097,3572,3394,3501,3733,3627,3818,4193,5358,6225,6013,5350,4679,4473,4118.044,4285.056,4501.028,4486.001,4754.006,4917.036,5058.278,5310.824,5457.498,5235.449,4704.162,4175.35,4142.124,4178.375
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","BY:Belarus",Q:S:5A:4R:F:B:A:A:LC1:A:BY,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,268,279,278,313,421,488,420,527,545,611,710,818,979,850,631,611,695,676,689,759,728,1108,1311,982,894,709,732,756,782,893,792,875,891,866.104,861.383,811.915,850.508,293.793,431.007,445.236,403.11
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","BY:Belarus",Q:S:GB:4R:U:C:A:A:TO1:R:BY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,-,-,-,-,2,2,-,10,-,-,-,-,-,-,-,-,3,-,8,-,5,2,2,-,-,-,-,-,-,2,2,2,2,2,5,2
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BY:Belarus",Q:S:AU:4R:F:C:A:A:TO1:A:BY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,-,3,-,-,-,-,0.044,0.056,0.028,0.001,0.006,0.036,0.035,0.03,0.03,0.027,0.037,0.015,0.016,0.019
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BY:Belarus",Q:S:TW:4R:U:C:A:A:TO1:A:BY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,8,\,\,\,\,\,\,\,\,\,\,\,3,5,5,4,5,5,3,4
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BY:Belarus",Q:S:ES:4R:Q:C:A:A:TO1:A:BY,,,,,,,,,,,,,,,,,,,,,,,\,-,-,-,-,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-16.091,-13.821,-14.902,-15.375
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BY:Belarus",Q:S:GB:4R:F:I:A:A:TO1:A:BY,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,4,10,-,-,-,-,-,-,-,-,-,4,19,16,26,3,-,-,2,-,5,2,-,-,-,-,-,-2,3
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BY:Belarus",Q:S:GR:4R:F:I:A:A:TO1:A:BY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,33,32,29,19,18,19,20,10,9,8,9,4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BY:Belarus",Q:S:GB:4R:U:W:A:A:TO1:A:BY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","BY:Belarus",Q:S:SE:4R:U:C:A:A:TO1:B:BY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,-,-,\,\,\,\,\,\,-,\,\,\,\,\,\,\,\,\,5,\,\,\,\,\,3,2,2,2,1,1,\,\,\,\,3.26,\,0.912,0.958
