BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Belize"
"Country: Belize"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BZ:Belize",Q:S:5A:4O:F:C:A:A:TO1:A:BZ,67,-,66,-,64,-,67,-,60,-,73,-,71,-,44,-,52,-,64,-,62,-,55,-,47,-,48,-,50,-,58,-,60,-,67,-,73,-,101,-,93,-,80,-,82,-,99,-,99,-,128,-,90,-,272,-,263,-,198,-,129,-,682,-,1507,1644,1591,1580,1132,820,952,927,808,883,840,822,468,510,465,509,2133,1680,1628,1710,2521,2364,1886,2427,2525,1883,1831,1847,2253,2307,2410,2499,3191,3010,2812,2902,2457,2359,2511,2591,2919,2840,2875,3095,2892,3083,3106,3240,2911,3041,2940.003,3047,2901.312,3386.003,3255.003,3122.003,3121.04,3194.032,3169.146,3294.682,2958.22,2976.523,3079.607,3074.215
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","BZ:Belize",Q:S:5A:4R:F:B:A:A:LC1:A:BZ,41,-,41,-,40,-,36,-,40,-,45,-,46,-,27,-,29,-,31,-,32,-,38,-,35,-,41,-,46,-,46,-,46,-,49,-,53,-,54,-,52,-,54,-,52,-,50,-,59,-,56,-,58,-,132,-,60,-,65,-,60,-,62,-,149,154,158,166,164,173,177,164,152,157,144,144,64,66,60,60,61,57,64,69,81,133,144,148,148,161,168,189,207,195,212,213,226,235,255,265,288,296,296,303,297,311,307,316,321,328,335,318,342,351,356,359,334,351,342,357,356,370,370,380,388.613,382.912,388.774,380.734
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","BZ:Belize",Q:S:GB:4R:U:C:A:A:TO1:R:BZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,47,48,65,80,55,49,72,92,118,132,115,211,251,216,188,185,212,218,212,221,233,362,362,369,328,316,308,320,242,241,239,237,202,201,190,158,145,160,75,64,80,92
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BZ:Belize",Q:S:ES:4R:Q:C:A:A:TO1:A:BZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-8.421,-7.117,-4.512,-5.692
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BZ:Belize",Q:S:TW:4R:U:W:A:A:TO1:A:BZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,4,5,8,31,15,17,14,15
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BZ:Belize",Q:S:TW:4R:U:C:A:A:TO1:A:BZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,254,277,363,399,360,402,431,353
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BZ:Belize",Q:S:GR:4R:F:I:A:A:TO1:A:BZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,2,3,3,0,0,0,0,1,1,3,1,1,2,1,2,3,3,4,3,-,3,2,14,3,2,2,2,3,3,1,1,1,1,1,2,2,2,2,2
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BZ:Belize",Q:S:GB:4R:F:I:A:A:TO1:A:BZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,22,30,36,36,44,44,44,42,43,44,39,13,11,10,17,16,17,22,27,33,43,47,48,55,56,57,52,74,92,116,128,115,141,185,155,135,130,163,170,171,185,196,328,316,321,279,274,267,265,235,252,255,241,226,219,208,190,190,182,76,74,68,79
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","BZ:Belize",Q:S:GB:4R:F:B:A:A:LC1:A:BZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,-,-,-,-,-,-,-,-,-,84,89,89,99,100,101,101,90,77,77,66,69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","BZ:Belize",Q:S:GB:4R:U:W:A:A:TO1:A:BZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,5,4,6,6,4,2,2,2,10,8,5,4,4,3,5,2,5,6,3,3,5,2,6,6,2,3,3,2,5,3,3,-,2,-,2,2,1,2,3
