BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Canada"
"Country: Canada"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","CL:Chile","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CA:Canada",Q:S:CL:4R:F:I:A:A:TO1:A:CA,,,,,,,,,,,,,,,,,,,,,3,81,60,41,88,-,-,16,-,2,1,132,132,65,53,43,53,41,16,68,62,4,55,67,57,55,89,76,41,50,50,39,44,67,62,50,219,68,77,89,115,83,26,20,68,137.04,140.215,60.289,225.811,282.034,146.421,305.461
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","CA:Canada",Q:S:GR:4R:F:B:A:A:LC1:A:CA,,,,,,,,,,,,,,,,,,,,,,,,,386,386,377,377,441,441,452,452,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CA:Canada",Q:S:ES:4R:F:I:A:A:TO1:A:CA,,,,,,,745,-,821,738,762,698,769,659,751,736,568,611,566,773,711,599,525,825,670,431,600,423,1390,803,806,850,1106,1214,1280,1400,2243,1937,2443,2699,2411,2165,2167,2307,2416,3415,2567,2575,2484,2252,1824,1657,1721,1703,1897,1848,1810,1953,1965,2156,1946,2153,1858,1763,2069,1959.255,1837.37,1857.39,1778.434,1878.645,2080.476,1854.044
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CA:Canada",Q:S:ES:4R:U:W:A:A:TO1:A:CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,323,315,281,273,289,124,388,375,336,50,45,41,53,56.263,79.955,92.162,111.294,119.867,44.47,54.594
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","CA:Canada",Q:S:GB:4R:U:C:V:A:TO1:A:CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5346,6725,6831,7376,7373,8844,7163,7362,7586,10899,12927,15242,23369,23360,22392,41453,38427,22168,19395,14562,13958,19931,19119,17349,14648,15022,26403,22567,19981,19895,16065,13819,14056,12793,11090,10895,10419,11508,14260,15911,18945,14617,15588
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","CA:Canada",Q:S:ES:4R:F:B:A:A:LC1:A:CA,,,,,,,2,-,54,25,-,-,-,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,21,20,17,1,1,0,1,2,1,1,0,0,0,1,0,0,2,1,1,4,3,2,4,0,0,0,0,0,0,0,0,0,0,1,0.709,-,-,-,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CA:Canada",Q:S:ES:4R:Q:C:A:A:TO1:A:CA,,,,,,,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-33.788,-18.198,-16.772,-13.023
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CA:Canada",Q:S:FR:4R:F:I:A:A:TO1:A:CA,,,,,,,10772,-,11060,9535,8964,8590,10236,8409,7965,8461,6831,6520,7782,14057,10461,12845,14374,12873,12201,13065,10571,11237,12734,11892,11394,12391,11073,9483,11687,12411,10981,13885,14611,16427,14556,21428,16858,15440,16895,18103,20311,20527,18125,\,17454,16605,17457,\,23521,16807,13822,12689,5596,8825,12159,13925,16959,14407,\,\,\,\,\,\,\,22838
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CA:Canada",Q:S:AU:4R:F:C:A:A:TO1:A:CA,,,,,,,,,,,,,,,,,,,,,,,,,638,804,459,553,482,667,563,843,1027,1068,1478,1435,1634,1049,1016,924,1046,1496,2250,1046,2535,2324,2734,4102,4671,11816,10595,12955,14228,16164,18135,18621,19203,17204,17368.798,18115.004,17386.585,15991.695,15519.948,14853.087,13620.746,11862.902,12811.096,12037.504,12424.512,10419.58,11735.622,12013.844
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CA:Canada",Q:S:GR:4R:F:I:A:A:TO1:A:CA,,,,,,,,,,,,,,,,,,,,,,,,,177,177,81,81,41,41,32,32,103,62,52,30,20,22,8,12,60,10,32,148,141,123,18,19,32,29,54,58,68,114,65,98,56,41,196,187,167,37,41,35,42,40,51,70,55,52,55,106
