BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Congo Democratic Republic"
"Country: Congo Democratic Republic"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CD:Congo Democratic Republic",Q:S:FR:4R:U:X:A:A:TO1:A:CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,1,-,1,1,0,1,1,1,1,3,4,7,10,4,4,11,7,24,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,-,-,\,-,\
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CD:Congo Democratic Republic",Q:S:ES:4R:F:I:A:A:TO1:A:CD,,,,,,,,,0,-,0,-,0,-,0,-,1,-,3,-,3,-,3,-,8,-,5,-,5,-,4,-,3,-,3,-,6,-,6,-,5,-,5,-,5,-,4,-,1,-,3,-,4,-,3,-,3,-,0,-,0,-,0,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1.033,1.009,0.804,0.774,0.681,0.694,0.713
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","CD:Congo Democratic Republic",Q:S:JP:4R:F:I:A:U:TO1:A:CD,\,-,3,-,\,-,18,-,41,-,31,-,35,-,31,-,34,-,37,-,34,-,58,-,61,-,59,-,39,-,29,-,25,-,17,-,1,-,0,-,1,-,1,-,0,-,0,-,0,-,0,-,5,-,0,-,0,-,0,-,0,-,0,-,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CD:Congo Democratic Republic",Q:S:5A:4O:F:C:A:A:TO1:A:CD,712,-,726,-,712,-,752,-,807,-,871,-,839,-,862,-,1043,-,972,-,1069,-,1086,-,1043,-,1133,-,1029,-,922,-,859,-,915,-,710,-,1093,-,991,-,1052,-,647,-,1108,-,930,-,445,-,437,-,377,-,653,-,706,-,710,-,793,-,732,678,682,627,692,656,655,690,702,699,830,808,888,842,465,489,510,487,444,439,711,419,429,465,383,392,384,405,443,447,440,518,592,539,551,525,574,551,542,451,430,446,352,524,486,535,607,553,556,756,577.512,526.529,572.532,515.533,477.491,523.479,683.796,428.671,391.607,388.825,344.787,311.136,342.38,334.776
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CD:Congo Democratic Republic",Q:S:FR:4R:F:I:A:A:TO1:A:CD,\,-,130,-,\,-,102,-,128,-,130,-,106,-,97,-,131,-,131,-,114,-,162,-,161,-,132,-,109,-,92,-,79,-,84,-,78,-,72,-,66,-,60,-,58,-,54,-,47,-,46,-,40,-,19,-,356,-,352,-,402,-,365,-,382,363,372,340,386,367,361,388,396,392,483,448,503,461,142,147,160,153,148,150,195,152,149,148,140,150,148,147,156,161,164,239,239,210,199,184,197,216,196,204,256,\,94,244,221,\,247,215,198,403,185,176,188,175,183,175,\,\,\,\,\,\,\,118
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CD:Congo Democratic Republic",Q:S:US:4R:U:C:A:A:TO1:A:CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,18,117,75,32,24,67,92,99,78,69,80,43,41,46,80,55,46,47,45,47,66,64,50,49,48,48,69,72,65,56,63,58,72,51,58,78,65,82,56,63,74,75
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CD:Congo Democratic Republic",Q:S:5A:4O:F:I:A:A:TO1:A:CD,699,-,703,-,696,-,731,-,795,-,844,-,819,-,839,-,1015,-,955,-,1051,-,1072,-,1021,-,1114,-,1015,-,906,-,844,-,906,-,702,-,1077,-,983,-,1033,-,640,-,1101,-,925,-,439,-,432,-,368,-,647,-,705,-,710,-,785,-,724,674,679,619,686,652,653,683,698,693,825,803,884,838,460,485,504,480,431,429,700,412,419,451,371,380,376,386,432,439,430,509,577,495,541,503,542,532,529,437,413,439,340,515,479,526,604,542,550,733,569.512,514.529,565.532,509.533,470.491,515.479,670.796,411.671,383.607,374.825,331.787,292.136,326.38,323.776
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CD:Congo Democratic Republic",Q:S:GB:4R:U:C:A:A:TO1:A:CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,4,11,10,12,12,12,12,14,22,12,14,9,8,8,8,9,7,3,5,5,5,5,5,5,9,10,10,8,5,5,3,3,3,3,3,3,3,3
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","CD:Congo Democratic Republic",Q:S:FR:4R:U:C:A:A:TO1:B:CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,7,6,6,7,7,7,10,10,10,2,2,-,-,-,-,-,0,30,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,8
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CD:Congo Democratic Republic",Q:S:FR:4R:U:W:A:A:TO1:A:CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,-,-,1,4,1,1,3,1,7,32,33,41,38,43,36,34,28,38,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,10
