BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Cote d'Ivoire"
"Country: Cote d'Ivoire"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","CI:Cote d'Ivoire",Q:S:GB:4R:U:C:V:A:TO1:A:CI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,-,5,12,26,44,34,47,49,54,57,70,95,96,2,-,-,-,3,-,-,-,9,6,-,-,-,28,2,2,-,47,146,231,235,266,250,2,-,2,1,2,3
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CI:Cote d'Ivoire",Q:S:FR:4R:F:I:A:A:TO1:A:CI,\,-,1374,-,\,-,1159,-,1347,-,1502,-,1605,-,1757,-,1849,-,1454,-,1725,-,1715,-,1839,-,1707,-,1830,-,1598,-,1791,-,1809,-,1677,-,1249,-,1435,-,1430,-,1419,-,1450,-,1381,-,1230,-,1023,-,796,-,2132,-,1873,-,1993,-,1845,-,1935,1693,1690,1592,1686,1583,1591,1602,1576,1572,1952,1744,1799,1843,1979,2099,2304,2235,2166,2342,2530,2617,2447,2612,2393,2691,2797,2678,2971,2856,3395,2571,2829,3056,2956,2787,2763,2688,2867,3108,1192,\,457,1038,998,\,992,1062,1029,1045,955,1001,1025,1005,1033,1176,\,\,\,\,\,\,\,1250
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CI:Cote d'Ivoire",Q:S:ES:4R:F:I:A:A:TO1:A:CI,,,,,,,,,69,-,78,-,86,-,82,-,103,-,91,-,99,-,83,-,87,-,89,-,92,-,73,-,81,-,75,-,57,-,44,-,35,-,34,-,33,-,31,-,25,-,21,-,19,-,12,-,10,-,9,-,11,-,23,-,23,24,27,24,30,33,32,35,32,31,34,32,32,32,32,32,32,30,29,26,30,24,18,19,19,17,17,14,15,13,13,13,14,12,7,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3.071,3.141,3.199,2.818,2.716,2.998,3.038
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CI:Cote d'Ivoire",Q:S:FR:4R:U:X:A:A:TO1:A:CI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,17,24,18,25,22,29,186,23,26,102,96,79,114,102,81,57,48,105,65,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,101
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","CI:Cote d'Ivoire",Q:S:JP:4R:F:I:A:U:TO1:A:CI,\,-,4,-,\,-,14,-,19,-,17,-,10,-,19,-,21,-,33,-,40,-,56,-,63,-,58,-,48,-,51,-,28,-,19,-,12,-,2,-,8,-,7,-,2,-,10,-,14,-,1,-,3,-,10,-,2,-,1,-,2,-,1,-,1,1,1,47,44,0,0,42,38,38,42,0,1,1,0,0,0,0,0,0,0,0,2,4,0,0,0,1,1,0,1,2,3,4,2,2,3,3,2,1,1,3,2,2,3,2,0,0,0,0,0,0,1,1,0,0,-,-,4,2,1.4,0.2,0.2,1.4
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CI:Cote d'Ivoire",Q:S:CH:4R:U:X:A:A:TO1:A:CI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,1.215,-,-,-,-,-,0.845
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CI:Cote d'Ivoire",Q:S:CH:4R:U:C:A:A:TO1:A:CI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CI:Cote d'Ivoire",Q:S:ES:4R:Q:C:A:A:TO1:A:CI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-2.124,-1.989,-1.981,-1.871
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","CI:Cote d'Ivoire",Q:S:5A:4R:F:B:A:A:LC1:A:CI,80,-,62,-,125,-,59,-,92,-,91,-,130,-,110,-,172,-,104,-,110,-,86,-,92,-,136,-,111,-,61,-,78,-,63,-,80,-,83,-,78,-,67,-,73,-,485,-,539,-,458,-,471,-,432,-,449,-,476,-,503,-,470,-,490,472,463,491,520,758,764,524,1255,1224,969,1161,1554,1623,1495,1526,1705,1573,1550,1641,1656,1433,1309,1308,1318,1449,1580,1654,1741,1769,1939,2228,2561,2445,2575,2404,2367,2268,2507,2527,2132,2235,1970,2243,2323,1724,1880,2267,2145,2697,2118,2060,2181,2181,2261,2259,2453,2351,2947,2314,2411,2182,2438,2418
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CI:Cote d'Ivoire",Q:S:GR:4R:F:I:A:A:TO1:A:CI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,29,16,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0
