BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Chile"
"Country: Chile"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","CL:Chile",Q:S:US:4R:F:I:A:U:TO1:A:CL,2551,-,2800,-,2015,-,1932,-,2451,-,2367,-,2422,-,2409,-,2342,-,2275,-,2150,-,1875,-,1975,-,1505,-,1454,-,1188,-,1083,-,1153,-,1271,-,1595,-,1524,-,1557,-,1697,-,1826,-,2120,-,2284,-,2267,-,1810,-,2125,-,2098,-,1405,-,1475,-,1250,1369,1321,1589,1879,1753,1456,1678,1651,1647,1640,1541,1550,1629,1475,1632,1871,1886,1602,1482,1604,1792,1509,1426,1460,1977,2048,2034,2025,1754,1939,2790,2885,2540,3061,2717,2835,3071,3259,4152,4388,4440,4564,4664,4661,5806,5588,6558,6963,7391,6613,5809,6251,5545,6050,5754,4347,3904,4893,3712,4839,4867,5546,5321
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","CL:Chile",Q:S:GB:4R:U:C:V:A:TO1:A:CL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,912,80,153,316,599,656,667,628,734,898,848,1898,2123,1762,2424,1498,996,1030,1195,1178,1255,1459,1468,1106,1223,1620,954,1239,896,790,624,577,637,526,514,540,542,699,768,698,642,674
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CL:Chile",Q:S:FR:4R:F:I:A:A:TO1:A:CL,\,-,401,-,\,-,323,-,346,-,353,-,359,-,352,-,349,-,301,-,313,-,304,-,421,-,434,-,507,-,381,-,364,-,447,-,462,-,475,-,468,-,525,-,631,-,623,-,709,-,762,-,894,-,947,-,1316,-,1668,-,1993,-,2169,-,2253,2276,2354,2213,2275,1727,1693,1500,1317,1255,1438,1385,1450,1672,1475,1566,1282,1362,1465,1552,1603,1645,1880,1848,1817,1987,1995,2130,2191,2202,2650,2457,2706,3262,3462,3881,3404,2959,3343,3058,3451,\,3989,3812,4345,\,4378,4174,3504,3337,3099,2953,3033,2960,2404,2293,\,\,\,\,\,\,\,1782
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","CL:Chile",Q:S:SE:4R:U:C:A:A:TO1:F:CL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.565,203.243,56.357,0.028,0.128,12.281,38.778,36.191
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","CL:Chile",Q:S:US:4R:F:B:A:A:LC1:A:CL,545,-,685,-,668,-,687,-,903,-,1092,-,1103,-,1245,-,1399,-,1636,-,1651,-,1785,-,1650,-,1708,-,1767,-,2410,-,2620,-,2816,-,2910,-,3223,-,2795,-,3680,-,4499,-,5178,-,4890,-,5119,-,5873,-,6664,-,6771,-,6530,-,6876,-,4432,-,4202,4396,3868,4169,4593,4464,4386,4082,4382,4658,3943,4032,4461,4517,4279,4686,4883,5098,4557,4752,5455,5380,5954,6108,6155,5787,5854,5491,6154,4046,4519,4527,4207,819,568,569,478,516,906,845,1074,1257,812,1014,882,3160,3231,2797,3034,3144,3089,3213,3337,3394,2781,2770,2817,2618,2340,2486,2383,2501,2089,1991
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CL:Chile",Q:S:FR:4R:U:X:A:A:TO1:A:CL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,296,362,460,398,409,375,619,463,393,363,718,616,704,491,560,493,518,441,418,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,493
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CL:Chile",Q:S:CH:4R:U:X:A:A:TO1:A:CL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,5.075,1.4,18.535,2.191,0.091,60.42,0.255,1.619
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CL:Chile",Q:S:ES:4R:F:I:A:A:TO1:A:CL,,,,,,,,,546,-,584,-,616,-,582,-,620,-,505,-,462,-,434,-,555,-,595,-,641,-,550,-,587,-,558,-,819,-,814,-,789,-,934,-,1283,-,906,-,921,-,1405,-,2075,-,2279,-,3711,-,3840,-,3853,-,4675,-,3337,3311,3314,4401,4751,4955,4875,4369,4193,4122,3949,4952,4458,4461,4022,3911,3894,4109,3994,4092,4247,4537,6282,5277,5300,6163,6839,5997,6210,6181,5678,6595,7704,7518,8629,8930,9182,8604,8396,8048,8075,8617,8683,8668,9355,10154,9979,10268,11456,9072,7940,7355,7499,6978,7825,8526,7657,7556.657,6653.019,7295.464,6797.98,7115.391,6881.702,7361.372
"Q:Quarterly","S:Amounts outstanding / Stocks","PA:Panama","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CL:Chile",Q:S:PA:4R:F:I:A:A:TO1:A:CL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,66,81,21,105,112,118,80,366,345,357,333,319,301,303,230,209,243,164,116,54,56,62,60,59,58,39,119,250,243,228,383,294,358,470,409,359,358,352,350,319,280,390,352,599,471,285,368,350,295,358,358
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CL:Chile",Q:S:JP:4R:Q:C:A:A:TO1:A:CL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-39,-,-39,-57,-59,-57,-23,-49,-51,-23,-18,-11,-1,-16,59,-17,96,34,61,62,98,50,20,5,12,47,87,85,79,20,8,-69,-70,-50,-60,-94,-97,-158,-144,-86,6,-57,-59,-59,8,-31,22,64,-108,63,116,-2,-105,-244,-321,-749,-575,-497,-490,-750.2,-425.7,-526.3,-273.9,-315.1,-125.6,-130.3
