BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Cameroon"
"Country: Cameroon"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","CM:Cameroon",Q:S:SE:4R:U:C:A:A:TO1:R:CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,2,2,\,\,\,\,1.579,\,1.489,1.475
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CM:Cameroon",Q:S:FR:4R:F:I:A:A:TO1:A:CM,\,-,611,-,\,-,549,-,701,-,745,-,766,-,797,-,873,-,715,-,738,-,697,-,677,-,621,-,726,-,595,-,700,-,640,-,617,-,534,-,506,-,491,-,481,-,486,-,508,-,423,-,431,-,376,-,1316,-,1322,-,1383,-,1253,-,1337,1240,1501,1295,1163,1128,1085,1159,1066,947,1108,1141,1232,1288,1307,1274,1335,1351,1275,1228,1357,1600,1165,1161,1107,1097,1122,1111,1088,1079,1056,1104,1118,1131,1064,969,863,806,818,847,842,\,162,1175,817,\,761,667,613,630,637,625,505,511,571,611,\,\,\,\,\,\,\,612
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","CM:Cameroon",Q:S:GB:4R:U:C:A:A:TO1:F:CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,22,15,39,45,31,9
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","CM:Cameroon",Q:S:GB:4R:U:C:V:A:TO1:A:CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CM:Cameroon",Q:S:ES:4R:F:I:A:A:TO1:A:CM,,,,,,,,,4,-,5,-,4,-,4,-,6,-,20,-,16,-,10,-,3,-,3,-,2,-,7,-,15,-,27,-,26,-,45,-,46,-,50,-,48,-,47,-,43,-,39,-,32,-,31,-,28,-,26,-,23,-,20,-,23,21,23,23,26,23,22,22,20,19,19,18,23,25,31,31,32,30,29,28,30,27,24,23,21,21,20,18,17,16,15,15,14,14,12,10,9,8,7,7,6,6,4,4,3,3,2,2,2,2,8,8,9,11,14,25,28,29.268,30.03,27.671,27.427,24.287,25.725,25.279
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CM:Cameroon",Q:S:FR:4R:U:X:A:A:TO1:A:CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,33,34,37,35,50,32,40,5,4,50,54,85,69,69,53,40,45,57,109,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,19
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CM:Cameroon",Q:S:GB:4R:Q:C:A:A:TO1:A:CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,\,\,-1,-1,\,\,-1,-3,-3,-5,-19,-13,-23,-23,-27,-18,-18,-18,-19,-19,-16,-18,-14,-14,-13,-13,-12,-12,-8,-12,-20,-50,-4,-4,-3,-4,-7,-6,-3,-3,-3,-2,-2,-5,-2,\,20,-3,2,2,\,2,3,3,5,5,5,-,-,-,-6,-11
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","CM:Cameroon",Q:S:FR:4R:U:C:A:A:TO1:B:CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,18,15,16,18,14,14,24,36,25,26,30,31,30,349,239,199,200,198,194,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,51
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","CM:Cameroon",Q:S:BE:4R:F:I:A:U:TO1:A:CM,1,-,1,-,3,-,3,-,3,-,3,-,3,-,16,-,16,-,11,-,14,-,13,-,13,-,17,-,22,-,19,-,20,-,17,-,9,-,6,-,5,-,5,-,5,-,3,-,7,-,7,-,6,-,12,-,9,-,3,-,14,-,13,-,18,17,16,12,12,9,7,7,6,-,19,7,9,3,-,5,-,-,3,3,14,15,21,13,13,11,4,4,4,-,4,4,3,3,3,5,5,11,6,2,1,5,4,6,7,11,19,17,19,10,4,20,20,22,27,36,39,39,41,43,33,23,28,31
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CM:Cameroon",Q:S:FR:4R:U:W:A:A:TO1:A:CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,258,279,330,329,270,299,294,384,365,516,358,575,402,311,429,327,384,367,499,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,311
