BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in China"
"Country: China"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CN:China",Q:S:FR:4R:F:I:A:A:TO1:A:CN,\,-,242,-,\,-,386,-,551,-,283,-,375,-,390,-,539,-,824,-,1241,-,1187,-,1979,-,2184,-,2427,-,2333,-,3268,-,3657,-,4110,-,4743,-,5285,-,5932,-,6345,-,6850,-,7166,-,7632,-,7548,-,7299,-,8203,-,7961,-,8171,-,8901,-,7073,8053,8009,7770,6697,6176,6314,5243,4932,5153,4723,4934,5363,6338,7107,7579,6987,6749,8953,7217,8203,7531,7380,8345,7601,7390,8570,8190,10382,10706,19208,15644,18074,19480,15088,14039,10722,10620,13988,12306,9914,\,11484,14931,16322,\,24350,21245,18201,20062,19541,20247,23306,25432,28011,31883,\,\,\,\,\,\,\,33648
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","CN:China",Q:S:US:4R:F:I:A:U:TO1:A:CN,568,-,681,-,745,-,352,-,474,-,417,-,438,-,531,-,345,-,315,-,240,-,316,-,199,-,205,-,177,-,187,-,216,-,222,-,296,-,323,-,543,-,451,-,652,-,800,-,1352,-,1720,-,2050,-,2157,-,1711,-,1344,-,1097,-,2150,-,849,1222,1403,737,725,1016,2758,3244,1922,4490,4569,4130,1287,3849,2599,4365,2059,4252,3488,4699,5130,5740,7079,9008,9439,12427,12826,11880,13429,13986,19563,15794,13192,11635,14795,12550,6498,37068,30958,33989,45964,42730,51300,50771,45909,56364,55913,46068,41251,41478,37783,34510,36333,41987,45532,43516,40579,43804,43636,42635,56172,54986,64554,46724
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CN:China",Q:S:CH:4R:U:X:A:A:TO1:A:CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,51.369,79.994,122.168,145.892,773.229,759.976,2.781,8.547
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","CN:China",Q:S:GB:4R:U:C:V:A:TO1:A:CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713,739,649,565,572,681,568,534,533,710,833,1169,2087,2416,2659,3564,2955,2032,1809,1494,1250,2255,2526,2735,4620,4390,5845,3290,2846,3514,3803,2960,2805,3394,4452,5497,7421,2648,3178,3128,4984,4425,3985
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","CN:China",Q:S:US:4R:F:B:A:A:LC1:A:CN,,,,,,,,,,,2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,2,-,1,-,7,-,3,-,1,-,2,-,659,-,828,-,837,-,795,-,734,-,691,893,951,1093,1105,1326,1585,1360,1313,1302,1391,1513,1514,1489,1771,2119,2094,2838,2920,2767,3088,3434,3309,3953,4418,3465,4104,4329,5503,7220,8390,8933,11700,14499,12687,11746,12568,14583,13818,14674,15423,17227,18042,18352,20623,20403,21580,21902,19169,24608,26158,26795,26512,25639,27094,28522,30268,29312,29563,29305,31648,27816,30065,30001
"Q:Quarterly","S:Amounts outstanding / Stocks","FI:Finland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CN:China",Q:S:FI:4R:U:C:A:A:TO1:A:CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,23,25,25,13,9,6,\,\,\,\,8,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CN:China",Q:S:JP:4R:Q:C:A:A:TO1:A:CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1847,-,-1492,-1642,-1251,-1725,-1846,-1629,-1640,-2244,-2514,-1878,-1963,-1579,-1385,-1307,-1266,-1324,-1710,-1737,-1812,-2024,-5225,-5616,-5795,-5735,-5626,-5903,-5886,-6326,-6467,-6006,-6322,-6776,-6068,-6454,-6700,-7648,-6768,-7018,-7180,-6016,-5917,-5927,-5530,-3282,-4129,-3674,-3209,-2557,-3057,-6832,-5878,-3987,-3879,-1949,-3378,-2308,-524.4,293.3,-325.9,-666.5,735.6,393.9,-1321.1,-1082.2
"Q:Quarterly","S:Amounts outstanding / Stocks","PA:Panama","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CN:China",Q:S:PA:4R:F:I:A:A:TO1:A:CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,4,4,4,2,2,1,1,3,2,2,-,-,-,15,-,10,-,13,22,22,21,17,22,17,44,13,20,37,16,28,34,34
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CN:China",Q:S:ES:4R:F:I:A:A:TO1:A:CN,,,,,,,,,1,-,24,-,17,-,14,-,19,-,13,-,18,-,29,-,44,-,44,-,86,-,121,-,141,-,167,-,209,-,255,-,339,-,465,-,561,-,600,-,666,-,830,-,921,-,1073,-,1217,-,1024,-,851,-,729,-,780,761,697,643,626,636,557,523,497,486,460,454,406,406,373,380,359,365,338,300,274,260,220,202,219,230,254,280,267,892,1861,1709,1517,1409,2537,2230,3124,2972,3310,3145,3684,3972,6519,7213,7724,8391,9517,8927,8672,9062,8534,7996,8160,8833,8871,9871,6836,7398.027,8864.954,7650.673,7113.448,5065.112,5646.39,5215.746
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","CN:China",Q:S:SE:4R:U:C:A:A:TO1:F:CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.049,170.005,193.52,170.212,272.233,205.403,298.523,268.171
