BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Cuba"
"Country: Cuba"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CU:Cuba",Q:S:JP:4R:Q:C:A:A:TO1:A:CU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-,0,-7,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-57,-70,-87,-100,-92,-70,-57,-34,-33,-37,-34,-60,-84,-85,-89,-53,-26,-16,-18,-25,-39,-39,-31,-4,-4,-3,-1,-14,-15,-15,-7,-2,-1,-1,-1,-1,-2,-1,-6,-16,-23.9,-24.7,-21.2,-13.7
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","CU:Cuba",Q:S:FR:4R:U:C:V:A:TO1:A:CU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-,-,-,-,-,0,-,-,-,-,-,-,2,1,-,-,-,0,0,\,\,\,-,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CU:Cuba",Q:S:SE:4R:F:C:A:A:TO1:A:CU,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,15,\,\,\,\,\,14,14,14,13,7,7,\,\,\,\,5.851,\,4.183,4.163
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","CU:Cuba",Q:S:FR:4R:F:B:A:A:LC1:A:CU,\,-,7,-,\,-,6,-,13,-,13,-,18,-,28,-,25,-,22,-,18,-,23,-,27,-,17,-,13,-,25,-,15,-,13,-,12,-,10,-,10,-,14,-,11,-,12,-,12,-,11,-,11,-,10,-,0,-,0,-,0,-,0,-,0,0,0,0,5,4,4,13,12,12,14,9,22,23,3,9,4,4,2,4,4,0,-,-,-,-,-,0,-,-,-,-,4,-,62,42,43,40,41,39,40,\,\,\,\,\,\,\,\,\,\,\,-,\,\,\,\,\,\,\,\,-,-,2
"Q:Quarterly","S:Amounts outstanding / Stocks","MX:Mexico","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CU:Cuba",Q:S:MX:4R:F:C:A:A:TO1:A:CU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,\,\,\,\,-,\,-,-,-,-,-,\,\,\,-,\,\,\,\,\,\,\,\,\,\,-,16.73,-,0.377
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CU:Cuba",Q:S:SE:4R:F:I:A:A:TO1:A:CU,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,14,14,14,13,7,7,\,\,\,\,5.851,\,4.183,4.163
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CU:Cuba",Q:S:5A:4R:F:C:A:A:TO1:A:CU,720,-,692,-,838,-,865,-,1356,-,1624,-,2260,-,2121,-,2323,-,1732,-,1867,-,1560,-,1660,-,1924,-,2729,-,2883,-,3200,-,3020,-,2859,-,2659,-,2436,-,2611,-,2781,-,2721,-,2727,-,2537,-,2624,-,2404,-,2434,-,2558,-,2635,-,2365,-,2532,2342,1345,1381,1616,1468,1475,1512,1582,1400,1615,1584,1637,1681,1731,1809,2044,1991,1731,1694,2058,1996,1974,1994,1953,1905,1938,1917,1985,1829,1994,2450,2369,2460,2055,1988,1817,1709,1622,1652,1957,1685,1476,1459,1583,1594,1691,1565,1492,1461,1276,1219,1243,1133,1030,1029,1010.773,1011.052,1028.048,1060.636,975.794,918.75,891.142,942.232
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","CU:Cuba",Q:S:AT:4R:U:C:A:A:TO1:B:CU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,3.271,3.417,3.504
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CU:Cuba",Q:S:GB:4R:F:I:A:A:TO1:A:CU,90,-,81,-,66,-,68,-,80,-,87,-,95,-,94,-,109,-,87,-,90,-,73,-,77,-,66,-,71,-,62,-,73,-,74,-,39,-,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,30,33,16,28,28,27,29,29,28,29,33,32,30,33,30,30,28,27,29,31,30,29,27,31,31,28,24,27,22,24,22,20,16,12,11,9,10,12,11,11,11,10,11,11,11,11,11,22,13,11,11,11,11
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","CU:Cuba",Q:S:5A:4R:U:C:A:A:TO1:O:CU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,192,206,204,175,184,168,178,175,176,200,198,209,193,209,230,218,231,225,220,233,203,227,220,212,211,163,162,175,157,209,136,127,100,97,98.231,195.7,216.657,229.29,101.143,87.66,90.806,88.811
