BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Cyprus"
"Country: Cyprus"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CY:Cyprus",Q:S:CH:4R:U:C:A:A:TO1:A:CY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","CY:Cyprus",Q:S:FR:4R:U:C:V:A:TO1:A:CY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,5,6,5,13,10,20,12,4,19,82,100,121,111,84,193,193,214,296,403,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,407
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","CY:Cyprus",Q:S:US:4R:F:B:A:A:LC1:A:CY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,-,189,-,255,-,293,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,97,94,92,89,75,80,81
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CY:Cyprus",Q:S:KR:4R:U:X:A:A:TO1:A:CY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.969,178.969,42.356,42.356,11.736,11.736,11.736,11.736
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CY:Cyprus",Q:S:TW:4R:Q:C:A:A:TO1:A:CY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-4,-,-,3,3,-15,3,3,-1,1,1,1,-,-,-,-,-4,-4,-4,-4,-4,-53,-67,-81,-55,-55,-68,-74,-100,-94,-91,-89,-153,-154,-144,-134,-134,-96,-101,-92,-107,-137,-127,-156,-120,-58,-80,7,-20,45,12,74,36,11,36,94,63
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CY:Cyprus",Q:S:SE:4R:F:C:A:A:TO1:A:CY,1,-,-,-,1,-,1,-,2,-,3,-,8,-,10,-,2,-,50,-,37,-,31,-,27,-,17,-,18,-,103,-,99,-,178,-,229,-,274,-,155,-,194,-,180,-,165,-,163,-,40,-,16,-,19,-,36,-,38,-,35,-,18,-,19,24,23,21,23,18,21,19,19,19,19,20,16,33,34,42,34,57,64,71,187,155,132,338,347,612,269,279,321,349,351,450,826,740,1351,1386,1336,1307,1574,1580,1649,1588,1599,1713,1654,1160,1030,1099,1296,1398,1371,1400,1659,1515,1505,1625,\,\,\,\,1592.346,\,1873.769,2016.537
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","CY:Cyprus",Q:S:GR:4R:U:C:A:A:TO1:F:CY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822,665,600,651,170,563,631,617
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CY:Cyprus",Q:S:5A:4R:F:C:A:A:TO1:A:CY,500,-,556,-,580,-,667,-,727,-,815,-,933,-,988,-,1183,-,1366,-,1481,-,1734,-,1961,-,2279,-,2829,-,2589,-,2985,-,3537,-,3521,-,3777,-,3097,-,3625,-,3348,-,3668,-,3875,-,4021,-,3772,-,3996,-,4988,-,5298,-,5047,-,5557,-,6368,6182,6058,5780,8645,9007,8836,8112,7376,7180,6664,6566,7248,7834,7652,8823,13743,13801,14554,15728,18688,17798,18288,20017,22404,24387,26574,29697,32693,37679,44204,52416,54284,50981,55484,52083,44689,42140,42594,43746,45938,44831,41194,44222,39991,40652,50064,46971,46311,39592,41090.134,41816.23,42765.377,37858.513,36497.226,35308.744,35200.885,34779.922,33648.353,33264.224,32084.917,30468.452,31153.322,30521.302
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","CY:Cyprus",Q:S:GB:4R:U:C:V:A:TO1:A:CY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,50,44,55,52,91,135,100,102,177,244,307,415,306,904,781,615,758,800,434,423,492,498,424,433,369,355,405,356,231,216,239,211,177,133,155,307,215,470,979,503,440,436
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CY:Cyprus",Q:S:SE:4R:F:I:A:A:TO1:A:CY,\,-,-,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1371,1400,1659,1515,1505,1625,1576.557,1746.902,1093.905,1582.828,1592.346,1781.127,1873.769,2016.537
