BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Czech Republic"
"Country: Czech Republic"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CZ:Czech Republic",Q:S:CH:4R:U:C:A:A:TO1:A:CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","CZ:Czech Republic",Q:S:US:4R:F:B:A:A:LC1:A:CZ,,,,,,,,,,,,,,,867,-,748,-,980,-,936,-,1077,-,1072,1116,1074,752,823,789,1092,1235,1110,1280,1587,1583,1825,1634,1679,1754,1899,1832,1760,2109,2320,2154,2266,2467,2127,2501,2663,2936,2883,2637,4132,4100,5105,2650,2845,2361,2243,3135,2735,2832,1615,1994,1925,2230,2478,2564,4150,3840,3168,3777,3136,3066,3689,2717,2738,2758,3257,9944,10343,9207,8968,8121,9095,8722
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CZ:Czech Republic",Q:S:JP:4R:Q:C:A:A:TO1:A:CZ,,,,,,,,,,,,,,,,,,,,,,,-29,-,-20,-19,-23,-19,-3,2,-153,2,7,5,3,-3,-8,-4,-27,-66,-54,-36,-68,-62,-56,-50,-64,-63,-63,-74,-25,-34,-53,-57,-58,-80,-95,-147,-175,-164,-181,-190,-241,-219,-225,-186,-230,-224,-219,-228,-235,-224,-208,-203,-130,-139,-153,-144,-133,-227,-241.8,-205,-202.2,-107.4,-99.1,-128.6,-87.1,-84.9
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","CZ:Czech Republic",Q:S:FR:4R:U:C:V:A:TO1:A:CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,29,40,29,56,28,30,40,69,69,45,49,54,104,103,269,249,165,213,239,\,\,\,235,260,297,396,699,437,437,795,794,834,716,701,737,751,804,825,810,858,655,464
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CZ:Czech Republic",Q:S:FR:4R:U:C:A:A:TO1:A:CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20437,19873,21199,17157,18026,19382,21556,24927,24417,24539,26347,28162,35066,37029,31094,29617,28351,32160,33281,34119,\,\,\,\,40864,42002,36676,34450,36404,33687,33780,35056,35061,35573,38133,39274,39808,39258,37178,37464,31850,33047,33650
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CZ:Czech Republic",Q:S:KR:4R:U:X:A:A:TO1:A:CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.626,88.644,64.37,58.503,81.857,52.195,73.936,63.942
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","CZ:Czech Republic",Q:S:GR:4R:U:C:A:A:TO1:F:CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,4,4
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","CZ:Czech Republic",Q:S:JP:4R:F:I:A:A:TO1:A:CZ,473,-,495,-,498,-,691,-,1109,-,1073,-,1135,-,981,-,821,-,750,-,554,-,358,-,349,334,281,229,188,139,263,117,106,106,124,100,116,125,164,181,207,257,255,265,365,362,393,442,484,564,644,736,748,727,693,833,1003,1230,1340,1224,1062,844,967,971,914,863,697,746,767,770,760,722,719,785,609,673,781,748,872,1006,985,987,815,639,604.8,571.3,535,541.6
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","CZ:Czech Republic",Q:S:ES:4R:U:C:A:A:TO1:B:CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,123,86,184,201,160,254,40,15,46,45,54,40,34,\,\,\,37.669,26.075,31.197,26.569
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","CZ:Czech Republic",Q:S:GB:4R:U:C:V:A:TO1:A:CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,97,80,76,69,98,123,127,114,110,106,131,199,406,453,569,678,539,513,452,423,522,553,543,394,422,575,510,561,472,363,417,370,288,277,369,245,280,305,297,292,231,224
