BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Germany"
"Country: Germany"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","DE:Germany",Q:S:FR:4R:F:B:A:A:LC1:A:DE,,,,,,,35302,-,46622,23425,16266,14388,11637,10628,9643,16180,13497,17357,19810,19805,19932,32777,28635,26927,16539,14721,12701,11241,13654,13077,11791,12290,14473,18047,16454,19298,20299,25271,28997,30421,83982,95953,106277,94446,89913,85606,87559,109195,107015,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,68635
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","DE:Germany",Q:S:FR:4R:U:C:A:A:TO1:A:DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126044,126322,116018,110995,131757,134520,142011,143013,168003,182736,212969,259702,306032,319360,279426,279538,274584,279423,289627,298539,285731,268956,324326,260927,265692,277120,245629,209996,185921,208563,177880,197643,198662,214508,207206,193275,198555,225217,176878,162408,176245,166606,169038
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","DE:Germany",Q:S:JP:4R:F:I:A:A:TO1:A:DE,,,,,,,49941,-,58381,57415,72621,67874,76559,88412,86341,88795,77790,63744,67387,77303,73585,76830,89981,87842,90040,93664,81718,94463,92799,79393,94387,87950,87505,88122,91343,91661,98797,101695,107963,115946,130551,138206,137788,137293,135174,124978,134629,151547,141311,135077,141461,153726,132243,139819,126484,118840,111095,116377,104885,120103,122333,126978,121971,124727,133928,114280,101683,98627,100523.3,101344.6,81953.3,86875.2
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","DE:Germany",Q:S:SE:4R:F:I:A:A:TO1:A:DE,,,,,,,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,26439,48288,48652,40972,42150,49172,45639.193,48914.731,54256.566,48753.275,\,46171.513,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","DE:Germany",Q:S:TW:4R:F:I:A:U:TO1:A:DE,,,,,,,,,,,,,1011,1149,1333,1574,1440,1445,1663,1364,1460,1660,1682,1866,1870,1624,1668,1690,1748,1860,2048,2180,2472,2379,2448,2206,2323,2287,2474,2767,2446,2512,2090,2674,1596,1979,2006,2228,2068,2268,2411,2297,2425,2292,2472,2259,2374,2600,2644,2985,2807,2596,2486,2245,1966,2347,2555,2443,2434,2027,2024,2311
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","DE:Germany",Q:S:US:4R:F:I:A:A:TO1:A:DE,,,,,,,33792,-,31849,37061,37343,47340,42764,45496,51886,58750,64381,59386,62064,56360,56637,51699,52795,48295,52221,65367,60246,58296,66600,70967,72078,71031,68376,66880,73359,72887,76470,88993,75739,82406,76565,84146,65199,56583,52781,134200,121986,156488,117372,120022,103192,111443,127507,131950,127171,122584,109995,124042,117875,124811,133854,129565,124681,127218,113256,122812,120901,108408,103938,125414,108395,116050
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","DE:Germany",Q:S:AU:4R:Q:C:A:A:TO1:A:DE,,,,,,,,,,,,,,,,,,,,,,,,,3784,4012,4648,4051,3746,4000,2741,6637,4831,5357,5501,4280,3124,4553,3366,3991,4754,6275,5211,5612,3009,3015,2802,4422,3862,6607,6333,7346,7686,8053,7427,9027,13543,4556,12006.046,10149.308,7881.725,6432.794,6563.318,4666.861,8006.251,5966.247,5495.296,6379.326,3854.016,3978.608,3141.988,2333.018
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","DE:Germany",Q:S:CH:4R:U:C:A:A:TO1:R:DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17905,18116,18164,24441,23738,24418,26099,30050,27663,28239,26591,25731,28245,24165,18053,15541,16898,25687,28628,27984,25519,32697,35905,30922,35726,23964,18867,23213,24311,24650,24124,28612,25965,24378,27531.05,30115.708,31484.188,28809.687,22191.647,27132.832,26039.37,25600.919
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","DE:Germany",Q:S:KR:4R:U:C:A:A:TO1:F:DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.729,0.001,0.001,1.082,-,1.024
"Q:Quarterly","S:Amounts outstanding / Stocks","CL:Chile","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","DE:Germany",Q:S:CL:4R:U:C:A:A:TO1:R:DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,-,8,-,-,-,-,-,14,16,31,26,41,64,93,35,26,26,-,23,17,29,31,30,26,14,57,68,70,75,118,105,104,9.558,17.124,8.552,0.311,0.203,0.079,1.172
