BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Denmark"
"Country: Denmark"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","DK:Denmark",Q:S:ES:4R:U:C:A:A:TO1:B:DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,452,582,459,256,704,2256,1212,1921,3746,2169,440,1619,2552,\,\,\,422.418,742,467.461,583.064
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","DK:Denmark",Q:S:US:4R:U:C:A:A:TO1:B:DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3226,3516,3436,2073,1307,1725,2855,3527,2669,3913,2902,6689,5511,6605,5498,2860,6592,8088,10561,9653,8231,6385,8405,9694,8628,7752,7338,7627,8028,8646,7771,4403,4390,5104,5138,4755,6295,5879,5819,5194,4457,4008,4133
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","DK:Denmark",Q:S:CH:4R:U:C:A:A:TO1:R:DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","CL:Chile","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","DK:Denmark",Q:S:CL:4R:U:C:A:A:TO1:R:DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,3,66,66,66,66,70,74,76.594,72.277
"Q:Quarterly","S:Amounts outstanding / Stocks","BR:Brazil","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","DK:Denmark",Q:S:BR:4R:F:B:A:A:LC1:A:DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","DK:Denmark",Q:S:SE:4R:F:I:A:A:TO1:A:DK,,,,,,,5801,-,4703,7070,5911,6470,6788,6194,6260,7615,6384,9342,11257,10359,11948,13562,18733,14337,15289,18065,17387,15804,11359,11605,35056,31963,32170,21364,22592,23644,25582,27812,24940,28570,31365,36251,32703,27414,32219,35438,41836,39941,48139,49422,49856,59987,64988,86540,91631,87689,96281,81838,87305,83425,89975,72060,73025,76573,73242.331,74389.786,76176.234,76516.126,74591.77,68726.053,73432.112,68417.207
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","DK:Denmark",Q:S:US:4R:F:I:A:A:TO1:A:DK,,,,,,,4226,-,4984,4714,5556,5540,5982,6624,6091,6078,6667,6038,6359,6557,6694,7787,7875,8842,9654,9592,8757,9150,14852,13708,13496,14288,13423,12585,13150,13402,14882,17358,14398,15501,19541,19308,15474,12932,12253,17338,16796,20875,24902,28156,21151,23845,25686,25097,25970,15739,21444,19790,20863,17815,16749,17680,16182,13627,10553,12217,8759,8943,11127,11567,9100,8158
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","DK:Denmark",Q:S:TW:4R:F:I:A:U:TO1:A:DK,,,,,,,,,,,,,17,45,18,32,33,70,99,40,74,59,219,253,118,9,10,11,35,9,6,34,92,140,39,47,36,44,49,48,112,217,116,135,44,54,77,29,10,10,9,6,5,19,20,31,16,5,61,82,90,89,127,110,102,111,71,71,69,3,24,23
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","DK:Denmark",Q:S:FR:4R:F:B:A:A:LC1:A:DK,,,,,,,88,-,10,1,170,128,108,116,113,113,64,67,43,12,12,10,14,0,75,-,134,139,330,215,152,355,536,493,519,513,549,864,789,766,957,1061,1121,1267,1233,1151,1184,1947,1537,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,963
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","DK:Denmark",Q:S:TW:4R:F:I:A:A:TO1:A:DK,,,,,,,,,,,,,251,279,250,270,242,302,307,219,226,223,308,328,202,92,84,39,60,22,16,43,101,150,43,51,44,53,58,68,132,239,166,181,68,62,89,40,21,21,19,17,29,33,82,78,76,89,140,143,146,140,170,153,120,148,115,115,118,114,135,133
