BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Ecuador"
"Country: Ecuador"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","EC:Ecuador",Q:S:AU:4R:U:C:V:A:TO1:A:EC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.275,2.449,0.799,1.12,0.075,0.906
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","EC:Ecuador",Q:S:GB:4R:U:C:A:A:TO1:O:EC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,7,9,127,148,103,119,112,96,112,121,-6,54,23,62,33,7,2,5,3,6,8,20,22,10,22,12,18,11,5,15,6,-,8,10,-,22,6,5,9,3,3
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","EC:Ecuador",Q:S:SE:4R:U:C:A:A:TO1:A:EC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,5,5,4,0,\,\,\,\,0.15,\,0.582,0.555
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","EC:Ecuador",Q:S:JP:4R:F:C:A:A:TO1:A:EC,\,-,147,-,\,-,847,-,866,-,900,-,964,-,966,-,1145,-,937,-,958,-,916,-,893,-,844,-,788,-,811,-,829,-,638,-,619,-,450,-,323,-,289,-,295,-,82,-,52,-,74,-,62,-,78,-,137,-,116,-,157,-,112,-,76,64,62,66,66,109,128,112,174,73,88,94,58,55,76,66,78,93,63,75,109,115,107,113,120,136,151,152,136,107,126,388,379,207,242,286,150,112,92,80,120,137,154,166,164,132,108,148,133,48,54,45,50,41,43,39,42,45,67,78,78.7,85.5,92.5,98.6
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","EC:Ecuador",Q:S:CH:4R:F:I:A:U:TO1:A:EC,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,239.63,242.306,277.51,291.201,303.368,317.003,339.296,269.953
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","EC:Ecuador",Q:S:GB:4R:F:I:A:U:TO1:A:EC,267,-,168,-,182,-,234,-,259,-,218,-,174,-,189,-,248,-,257,-,256,-,372,-,306,-,269,-,239,-,241,-,247,-,267,-,250,-,246,-,269,-,225,-,308,-,95,-,119,-,146,-,147,-,176,-,176,-,190,-,233,-,191,-,106,88,118,115,133,124,128,171,128,168,153,162,156,150,137,136,131,143,140,186,134,146,115,111,153,255,240,243,376,382,339,175,364,280,474,431,470,406,356,381,373,352,93,147,55,74,75,76,76,69,72,74,63,61,59,57,45,43,41,42,47,42,36,30
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","EC:Ecuador",Q:S:5A:4R:U:C:A:A:TO1:O:EC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,275,337,380,443,466,517,409,430,412,799,652,409,477,441,217,237,140,128,172,134,109,219,250,221,265,246,254,651,677,472,790,724,862,862,945.633,422.795,833.972,873.624,908.301,742.154,842.047,665.197
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","EC:Ecuador",Q:S:5A:4O:F:I:A:U:TO1:A:EC,2318,-,1608,-,1705,-,1833,-,2048,-,1845,-,1821,-,1896,-,1880,-,1849,-,2086,-,2237,-,1891,-,1590,-,1625,-,1604,-,1560,-,1603,-,1606,-,1551,-,1579,-,1737,-,1890,-,1174,-,1394,-,1473,-,1526,-,1697,-,2051,-,2136,-,2229,-,1621,-,1087,1009,948,913,884,862,799,803,752,865,828,802,888,919,885,792,819,887,874,1008,1072,1132,1066,1103,1230,1570,1614,1798,1895,1723,2001,1929,2195,1922,2006,2108,1880,1798,1720,1709,1729,1683,1416,1696,1684,1384,1361,1546,1644,2006,2005.94,1954.554,2298.224,2052.198,2125.001,2162.502,2298.075,2296.734,2848.623,2782.921,2885.659,2585.029,2691.373,2490.716
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","EC:Ecuador",Q:S:IT:4R:U:C:A:A:TO1:R:EC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,20,\,\,\,\,\,\,\,\,\,\,\,147.457,146.561,145.785,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","EC:Ecuador",Q:S:JP:4R:F:B:A:A:LC1:A:EC,,,,,,,0,-,0,-,0,-,28,-,0,-,0,-,0,-,0,-,1,-,2,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0
