BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Egypt"
"Country: Egypt"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","EG:Egypt",Q:S:CH:4R:F:I:A:U:TO1:A:EG,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,530.395,549.619,569.122,518.748,519.606,550.82,558.538,629.34
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","EG:Egypt",Q:S:AU:4R:U:C:A:A:TO1:R:EG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,-,2,-,-,-,-,-,-,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4.849,4.969,4.218,3.849,3.389,6.868,1.16,1.549,1.089,0.588,0.549,0.552,0.613,0.535
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","EG:Egypt",Q:S:GB:4R:U:C:A:A:TO1:O:EG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,758,1014,1169,1740,1818,1835,2358,2420,2709,2620,3245,4915,4862,4090,3775,4036,3893,4500,4896,5633,5502,5398,5548,4982,4860,5074,4459,4620,4494,4782,4765,5353,4048,4653,5066,4857,4613,4797,5897,5597,5203,5615
"Q:Quarterly","S:Amounts outstanding / Stocks","CA:Canada","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","EG:Egypt",Q:S:CA:4R:F:I:A:U:TO1:A:EG,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,11.785,11.608
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","EG:Egypt",Q:S:AT:4R:U:W:A:A:TO1:A:EG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,0.222,3.079,4.858,\,\,1.548,1.327,1.533
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","EG:Egypt",Q:S:JP:4R:F:B:A:A:LC1:A:EG,,,,,,,0,-,0,-,0,-,0,-,5,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","EG:Egypt",Q:S:JP:4R:F:C:A:A:TO1:A:EG,\,-,128,-,\,-,243,-,152,-,106,-,79,-,65,-,101,-,79,-,92,-,53,-,67,-,60,-,48,-,42,-,49,-,50,-,50,-,84,-,63,-,73,-,79,-,97,-,86,-,78,-,71,-,96,-,142,-,131,-,145,-,168,-,145,158,155,95,149,123,123,192,167,167,171,149,161,157,169,153,170,171,193,196,198,208,173,227,264,275,263,263,284,291,276,385,528,884,1056,985,656,606,552,580,616,609,664,703,706,529,467,415,414,479,450,475,472,518,487,417,412,477,451,470,477.7,384.9,352.4,364.5
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","EG:Egypt",Q:S:AT:4R:Q:C:A:A:TO1:A:EG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,-,-,-,-,-,-,-,-,-,-,-,-,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-111.139,-115.717,-89.92
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","EG:Egypt",Q:S:BE:4R:U:C:A:A:TO1:A:EG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,60,91,92,74,119,136,141,130,289,125,217,291,295,187,195,172,146,146,31,20,27,30,37,30,48,59,23,20,26,18,21,24,21,24,68,77,30,30,39,41,41,45
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","EG:Egypt",Q:S:GB:4R:F:I:A:U:TO1:A:EG,302,-,399,-,372,-,329,-,250,-,253,-,248,-,273,-,253,-,230,-,237,-,233,-,211,-,213,-,195,-,164,-,162,-,141,-,83,-,113,-,428,-,461,-,611,-,636,-,690,-,601,-,844,-,953,-,959,-,1298,-,1185,-,1190,-,530,547,571,562,872,859,805,955,689,701,700,815,806,827,881,837,831,811,874,847,787,762,817,1075,1169,1254,1280,1293,1552,1561,1697,1887,2415,2504,2577,2356,1567,1430,1606,1718,1469,1520,1584,1917,1633,1464,1554,1379,1251,1529,1755,1952,1825,1684,1403,1318,1438,1376,1481,1381,1634,1415,1283,1533
"Q:Quarterly","S:Amounts outstanding / Stocks","CA:Canada","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","EG:Egypt",Q:S:CA:4R:F:I:A:A:TO1:A:EG,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,22.866,24.743,24.489
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","EG:Egypt",Q:S:5A:4R:U:C:A:A:TO1:O:EG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4267,4533,5298,5882,6807,6148,6889,9470,10311,9878,9012,10605,12879,11825,10364,10120,10228,10497,9926,8962,11439,10284,14257,13943,10823,12570,13121,11315,12522,10917,14011,13779,11186,9195,9941,9940.643,9960.079,10389.7,10793.714,12460.13,11874.984,11501.901,12269.865
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","EG:Egypt",Q:S:5A:4R:U:C:A:A:TO1:R:EG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3565,4412,4838,5916,8391,8548,11661,9090,9760,11929,11984,14678,16828,16078,16878,20144,20626,22228,22216,22579,22956,24031,24107,26213,25217,24336,22283,21345,21986,22646.849,22071.969,20835.218,14003.849,12890.389,12709.868,12521.113,12555.892,12375.892,11970.468,12115.68,12003.255,12337.219,12623.388
