BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Spain"
"Country: Spain"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","ES:Spain",Q:S:AU:4R:F:I:A:A:TO1:A:ES,,,,,,,,,,,,,,,,,,,,,,,,,654,763,333,410,407,566,489,408,762,465,1508,497,574,705,1274,932,1480,1791,1754,1255,1292,1321,1013,1797,1601,1182,1100,1315,1239,1314,691,212,226,164,196.415,208.647,193.729,138.258,141.513,240.708,523.452,183.425,202.702,251.427,200.015,365.004,873.495,1621.989
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","ES:Spain",Q:S:KR:4R:F:I:A:A:TO1:A:ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,216,141,135,169,136,166,157,178.522,171.916,178.165,155.577,153.171,178.188,183.628,326.707
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","ES:Spain",Q:S:BE:4R:U:C:A:A:TO1:A:ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19601,19250,19995,21364,26623,30385,30509,34090,40877,49515,48712,44470,46576,57867,47539,43964,39621,44390,47389,22622,20056,19559,21593,21512,22249,23904,21234,13123,13154,9887,9868,9471,10387,11154,12507,10857,11641,10138,8612,8997,10933,8011,10024
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","ES:Spain",Q:S:GB:4R:F:I:A:U:TO1:A:ES,,,,,,,4059,-,3653,3087,2952,4058,3684,5048,3877,3947,4390,3127,3946,4229,5701,6814,9182,12914,14186,12944,12077,15089,11978,17836,24624,32558,13796,15036,16872,16195,22163,11791,12227,11652,10691,19390,18922,20590,18370,16102,17310,18438,18207,22452,18686,24137,17851,14906,14784,14948,11585,13045,12381,13410,17892,21001,21812,27703,24085,19662,20559,18036,13691,15487,13480,11665
"Q:Quarterly","S:Amounts outstanding / Stocks","CA:Canada","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","ES:Spain",Q:S:CA:4R:F:I:A:A:TO1:A:ES,,,,,,,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,2169,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,951.577,1271.02,1516.903,1123.27
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","ES:Spain",Q:S:CH:4R:U:C:V:A:TO1:A:ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,1964,1466,1190,2319,1805,2321,2580,3054,4107,3018,3880,3492,2383,6902,5334,5088,5902,4493,3892,4980,5505,4081,3780,3688,4510,4589,4348,3932,4304,3967,3765,3006,2600,5869.331,5016.06,4750.503,4018.698,3811.642,3763.069,3067.947,3278.806
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","ES:Spain",Q:S:JP:4R:F:B:A:A:LC1:A:ES,,,,,,,834,-,283,608,532,589,544,771,729,820,888,916,1083,1213,1173,1244,916,923,717,731,671,645,824,799,885,1104,1400,1462,1555,1750,1919,1846,1852,2094,2288,2868,2695,2662,2726,3045,2991,2860,3036,2312,2335,2554,2495,2715,3463,3128,3117,3363,3849,3841,3258,2753,2595,2504,1928,1814,1730,1524,1224.7,1007.8,1148.4,1108.9
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4B:Domestic Banks","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","ES:Spain",Q:S:ES:4B:U:X:A:A:TO1:A:ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,\,-,-,-,-,-,-,-,-,-,-,-,-,-,-,279872.025,252408.659,269812.276,267087.632
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","ES:Spain",Q:S:BE:4R:U:C:A:A:TO1:O:ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5613,5307,6192,5769,7047,7061,6526,6556,7471,7913,7933,3023,3342,8565,3398,5919,5068,6386,6058,4179,3758,3457,3631,3402,3793,3759,3708,2813,2740,744,734,765,753,712,762,866,1403,1603,1785,2140,4753,3173,5199
"Q:Quarterly","S:Amounts outstanding / Stocks","CA:Canada","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","ES:Spain",Q:S:CA:4R:U:C:A:A:TO1:A:ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,3248,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1086.027,1461.889,1858.589,1337.386
