BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Finland"
"Country: Finland"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","FI:Finland",Q:S:5A:4R:F:I:A:A:TO1:A:FI,,,,,,,30179,-,31623,33427,36676,37937,41308,43007,42517,44596,38206,37793,37368,37585,37069,39441,43041,42737,46204,49801,56822,62229,56247,57728,72222,65882,64794,78192,85910,88456,96127,90326,92221,92765,97116,108022,107274,101626,85322,77058,82884,85722,82709,82804,71656,81110,79866,95322,94151,100327,96822,124304,122894.727,125180.327,101992.809,115143.842,106914.412,96049.829,130449.066,119664.164,130748.096,121181.991,115596.336,115374.823,110125.921,110161.985
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","FI:Finland",Q:S:ES:4R:U:X:A:A:TO1:A:FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,466,451,443,422,411,456,272,282,274,257,341,317,307,417.787,422.383,425.702,386.19,344.305,362.862,294.558
"Q:Quarterly","S:Amounts outstanding / Stocks","CA:Canada","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","FI:Finland",Q:S:CA:4R:U:C:V:A:TO1:A:FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,117,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1088.657,543.967,\
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","FI:Finland",Q:S:KR:4R:U:W:A:A:TO1:A:FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.605,100.63,112.257,122.988,112.742,78.228,102.449,122.251
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","FI:Finland",Q:S:AU:4R:U:C:A:A:TO1:A:FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553,192,181,290,273,276,320,308,126,500,360,285,310,362,466,503,329,532,435,451,438,460,499,569,356,369,425,341,525,603.597,616.841,864.131,850.655,1074.775,969.379,646.908,902.812,938.13,1013.208,909.395,1087.394,877.676,972.562
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","FI:Finland",Q:S:AU:4R:U:W:A:A:TO1:A:FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,24,-,10,-,-,-,12,11,13,15,18,45,16,16,17,22.871,25.508,-,-,0.909,39.214,38.822,37.441,42.236,41.826,43.737,36.662,39.985,48.755
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","FI:Finland",Q:S:KR:4R:F:C:A:A:TO1:A:FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,50,41,37,28,24,34,24,19.919,20.577,24.65,21.194,30.508,18.568,19.658,24.634
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","FI:Finland",Q:S:AU:4R:F:I:A:A:TO1:A:FI,,,,,,,,,,,,,,,,,,,,,,,,,135,302,91,\,-,127,165,35,446,197,202,199,103,102,168,329,138,-,362,457,438,280,476,373,362,321,357,388,466,315,407,369,390,544,577.727,641.327,1263.809,668.842,886.412,890.829,993.231,878.883,929.188,1280.796,884.831,990.21,876.17,958.166
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","FI:Finland",Q:S:GR:4R:U:C:A:A:TO1:A:FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,13,13,18,1,9,281,10,289,8,407,25,17,9,7,7,8,294,297,7,5,5,216,2,2,2,1,1,430,2,170,168,193,12,13,175,175,167,167,102,91,129,146
"Q:Quarterly","S:Amounts outstanding / Stocks","CA:Canada","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","FI:Finland",Q:S:CA:4R:U:C:A:A:TO1:A:FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,907,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,3021.33,3132.799,2988.783,2946.032
