BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in France"
"Country: France"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","FR:France",Q:S:US:4R:U:C:A:A:TO1:A:FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39542,40048,39925,42588,54631,52928,52062,55568,61093,68718,62202,71255,85285,57725,60327,77068,172137,160386,205643,221567,256678,255051,193916,202470,187219,201466,200933,181658,197334,202478,215567,213807,248570,232984,235773,183692,240797,226138,201563,191584,211149,204539,197184
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","FR:France",Q:S:JP:4R:U:C:A:A:TO1:O:FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42823,43736,47203,48440,49479,52707,55967,58333,60562,59239,63127,65273,58846,54944,45598,46737,43440,49831,54303,50153,48768,39512,47714,36907,37745,43757,35258,39887,53414,68380,82104,97215,97045,86386,91004,95549.5,94101.2,117107.3,112049.4,101409.4,99296.5,88328.1,92831.3
"Q:Quarterly","S:Amounts outstanding / Stocks","IE:Ireland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","FR:France",Q:S:IE:4R:F:I:A:U:TO1:A:FR,,,,,,,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,4136,7590,6758,7233,9133,8041,5143,8230,9883,9490,4046,4623,3484,2958,3256,2702,3280,3114,4217,3247,3605,2566,1016,896,854,995,836,1324,1522,1575,1991,1570.871,1535.633,1316.175,1226.729,1049.463,1016.281,1136.447,782.655
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","FR:France",Q:S:AU:4R:U:C:A:A:TO1:A:FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5028,5061,3786,5091,4324,6606,5210,7036,6472,6226,7350,11566,12403,10163,11588,10738,7971,8843,8745,10315,9109,10708,16514,17191,14462,15136,12564,9485,10828,7423.17,8163.272,8250.811,9138.522,9595.002,8103.695,7624.343,7460.667,7094.624,7657.314,6576.332,7675.579,8537.823,8675.875
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","FR:France",Q:S:DE:4R:U:C:A:A:TO1:F:FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8806,9907,10853,9503,7481,8202,8066,7929
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","FR:France",Q:S:AU:4R:U:W:A:A:TO1:A:FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,411,544,-,-,442,483,547,572,536,531,-,458,504,569,526,618,740,731,752,638,1072,923,774,1027,1165,1083,1078,1235,1096.956,1041.42,1112.627,1123.404,1148.907,1142.985,1138.503,1494.255,1593.655,1685.918,1628.981,1546.203,1502.902,1303.013
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","FR:France",Q:S:BE:4R:F:I:A:A:TO1:A:FR,,,,,,,27390,-,30106,36333,35875,33781,31343,32177,30630,41981,37448,41889,44418,40464,39091,31531,38569,35372,35123,36047,41652,46122,59095,68249,77010,79275,82709,92175,98770,96807,108338,113095,96400,97871,106306,116493,118776,92498,74945,66093,69982,80257,36080,28408,27958,29993,35203,30389,36576,45786,43450,36125,35653,37583,34941,30166,29243,29929,30620,30807,31276,29608,25595,15883,23984,25800
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","FR:France",Q:S:BE:4R:F:I:A:U:TO1:A:FR,,,,,,,16172,-,17866,23633,24879,22222,19812,17727,14991,19470,18119,24127,22561,24172,24625,14037,18664,15032,13088,14368,19142,20574,24322,30523,26508,21844,28050,46508,66350,70393,78515,82315,66225,67102,72816,84960,84329,59620,44882,36564,42499,54166,26314,18911,14380,14322,19398,14064,22181,32502,31703,7468,12551,13617,10357,6201,4738,4585,9480,22951,22926,21337,17038,7878,14243,15215
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","FR:France",Q:S:KR:4R:F:C:A:A:TO1:A:FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,1039,868,921,906,710,704,806,710.499,677.239,699.287,687.278,728.14,788.65,800.336,844.001
"Q:Quarterly","S:Amounts outstanding / Stocks","FI:Finland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","FR:France",Q:S:FI:4R:U:C:V:A:TO1:A:FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,806,768,807,662,\,1069,1258,1150,1482,1454,1223,862,687,895,865,1171,1252,1398,987,1336,973,956
