BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in United Kingdom"
"Country: United Kingdom"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GB:United Kingdom",Q:S:DE:4R:U:W:A:A:TO1:A:GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,32553,\,\,\,\,\,\,\,\,\,\,\,37858,33482,30397,27179,24643,20602,19984,25775
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GB:United Kingdom",Q:S:GR:4R:F:C:A:A:TO1:A:GB,,,,,,,,,,,,,,,,,,,,,,,,,6185,6185,7413,7413,4361,4361,5691,5691,4954,4707,4994,5747,5845,9511,6919,7768,6968,8186,9869,10277,9584,8281,10076,9837,18026,19523,19734,20156,15910,15901,16646,15167,14730,15293,14736,14074,13095,11069,10520,10718,10117,10176,10047,10121,10478,11031,11113,9965
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","GB:United Kingdom",Q:S:FR:4R:U:C:A:A:TO1:O:GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3904,4191,2514,10374,1319,10641,7922,12121,2798,4193,4532,14721,19059,27933,23141,36196,29181,23833,24020,21686,\,\,\,10633,14648,12476,12050,8492,9923,21112,32381,38969,32900,33804,34942,30042,40115,35677,27631,16753,19878,29481,51587
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","GB:United Kingdom",Q:S:US:4R:U:C:A:A:TO1:R:GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35006,32784,32837,23290,136801,157115,148802,141637,186082,209373,227335,224339,219106,203497,193361,178118,353420,361669,424518,432503,420992,453343,408486,362249,403307,426979,484421,462322,476852,458118,428817,441890,439893,362645,395639,319316,369855,376383,346964,318928,326291,324792,319745
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GB:United Kingdom",Q:S:US:4R:U:C:A:A:TO1:A:GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127393,130470,150843,150379,215767,233585,240690,219362,286618,329612,322894,311468,322512,287131,276256,268187,598248,600269,688402,699175,691104,710734,590479,520953,587948,629011,682652,641748,661599,632923,632994,634309,604518,529456,551673,482808,550635,554047,505047,472072,472647,481451,477092
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","GB:United Kingdom",Q:S:JP:4R:U:C:A:A:TO1:O:GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15071,18900,20328,19806,19660,23642,27594,29882,30872,32569,34652,34772,38432,36044,31028,31384,39716,45966,45311,44985,43805,40498,42904,39980,37361,37828,45754,44713,34267,35511,36516,44714,38074,38284,44526,50424,40576.7,45632.5,49279.3,46138.3,43596.1,46066.1,46538.8
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","GB:United Kingdom",Q:S:DE:4R:U:C:A:A:TO1:F:GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45580,48065,45857,46153,36490,41945,45497,47920
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","GB:United Kingdom",Q:S:AT:4R:U:C:A:A:TO1:B:GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,13078.801,15661.952,14631.885,10628.486,9482.397,8158.17,6929.174,5464.496
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GB:United Kingdom",Q:S:AU:4R:U:W:A:A:TO1:A:GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1133,1063,998,924,871,1085,1185,1323,1398,1678,2185,5296,5675,6140,6257,5205,4183,4634,2929,3207,2459,2799,3020,3492,3666,3979,3825,3772,4170,3387.866,4007.609,4490.382,4441.356,4492.808,4039.65,5548.972,5144.649,4857.646,4694.152,4374.058,3946.534,3891.23,3695.582
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","GB:United Kingdom",Q:S:BE:4R:F:I:A:U:TO1:A:GB,,,,,,,31629,-,38092,35934,39786,31601,33282,38190,42209,33247,37683,46962,71088,69085,73612,75295,62978,60152,81055,105341,101416,102075,106275,109871,98691,114604,114440,115773,106296,112392,147773,165873,171752,176627,152403,173207,201731,137912,90974,70801,70356,76425,22806,27249,33500,28052,27004,26575,26653,29226,18265,22969,24592,21841,18365,19519,18595,17115,12620,13743,16384,14784,13737,14823,12517,13853
