BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Georgia"
"Country: Georgia"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GE:Georgia",Q:S:GR:4R:F:C:A:A:TO1:A:GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,13,13,14,14,14,14,0,0,11,0,25,25,0,16,13,8,10,7,7,4,5,5,5,5,3,3,3,3,0,0,0,0,3,1,1,1,1,1
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","GE:Georgia",Q:S:FR:4R:U:C:A:A:TO1:O:GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-,-,-,-,-,0,-,-,-,-,-,28,32,21,22,23,17,75,56,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,55
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","GE:Georgia",Q:S:GB:4R:U:C:A:A:TO1:B:GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,-,-,-,-,-,-,-,32,4,5,1,-,-,-,-,-,66,109,80,43,53,-,-,-,-,-,-,2,-,-,-,-,14
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GE:Georgia",Q:S:DE:4R:U:C:A:A:TO1:A:GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,50,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GE:Georgia",Q:S:FR:4R:Q:C:A:A:TO1:A:GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,0,0,-4,-4,1,-1,-3,-11,-8,-12,-9,-13,-10,-8,-6,-6,-3,-5,-3,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-32
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","GE:Georgia",Q:S:JP:4R:U:C:A:A:TO1:B:GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,10,2,6,8,6,1,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,1,1,1,1,2.5,3.8,9.5,6.4,7,4.8,3,10
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GE:Georgia",Q:S:5A:4R:Q:C:A:A:TO1:A:GE,,,,,,,,,,,,,,,,,1,-,-10,-,-3,-,-10,-,-48,-34,-13,-43,-29,-27,-23,0,-32,7,-13,-12,-55,-58,-44,-61,-51,-93,-95,-89,-64,-75,-107,-69,-68,-78,-75,-138,-20,13,17,42,-28,-71,-55,-56,-90,-42,-59,-72,-61,-55,-36,-37,-52,-10,16,-54,-82,-72,19,71,-29,-11,-5,-80,-296.904,-280.659,-200.895,16.217,-271.465,-259.93,-266.12,-332.873
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GE:Georgia",Q:S:5A:4O:F:I:A:A:TO1:A:GE,81,-,88,-,576,-,105,-,121,-,91,-,105,-,64,-,48,-,58,-,241,-,59,-,89,91,69,76,149,55,125,54,153,181,175,199,187,182,192,192,229,230,315,226,254,224,171,169,171,267,366,287,234,243,274,337,396,711,933,844,831,781,914,844,846,1938,1173,1292,1526,1133,1179,942,1059,1277,1271.025,1201.024,1247.01,1425,1132,1243.001,1214.962,1070.511,1132.144,1107.62,1216.601,1088.189,1171.27,1321.669
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","GE:Georgia",Q:S:JP:4R:U:C:A:A:TO1:R:GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,4,0,0,0,1,1,6,19,16,13,11,4,5,4.8,6.1,5.3,1.5,21.4,21.4,4.4
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GE:Georgia",Q:S:AT:4R:F:C:A:A:TO1:A:GE,80,-,87,-,92,-,105,-,101,-,90,-,85,-,1,-,3,-,7,-,8,-,6,-,7,7,5,5,74,5,69,5,73,71,80,78,80,81,82,84,87,84,81,83,87,83,74,74,73,72,71,71,6,6,6,6,\,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,\,\,\,\,2,\,\,\,\,\,15.248,15.418,15.428
