BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Guernsey"
"Country: Guernsey"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:GR:4R:F:C:A:A:TO1:A:GG,,,,,,,,,,,84,84,24,24,23,23,16,16,28,42,58,32,24,20,23,26,38,62,65,61,56,55,61,123,152,127,150,252,225,225,236,209,205,189,145,144,147,131,123,169,129,132,135,125,65,72,66,64
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","GG:Guernsey",Q:S:GB:4R:U:C:A:A:TO1:B:GG,,,,,,,,,,,,,,,,667,419,260,192,147,242,372,464,416,554,621,287,525,392,337,385,396,390,358,759,394,471,395,808,454,398,752,595,588,362,470,451,396,402,340,7,20,36,126,100,105,137,108
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:GR:4R:Q:C:A:A:TO1:A:GG,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-58
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","GG:Guernsey",Q:S:TW:4R:U:C:A:A:TO1:B:GG,,,,,,,,,,,,,,,,,,,10,-,-,-,10,10,10,-,-,-,-,-,-,-,-,5,10,5,5,5,5,5,5,5,5,-,-,-,-,-,-,-,-,-,-,-,281,217,210,217
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:AU:4R:U:X:A:A:TO1:A:GG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,14,2,14,61,13,12,10,10,8.121,6.611,7.215,30.837,213.874,25.722,3.08,8.205,12.107,8.81,172.008,182.817,140.26,69.821
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","GG:Guernsey",Q:S:FR:4R:U:C:A:A:TO1:O:GG,,,,,,,,,,,,,,,,0,-,-,-,-,1,0,-,-,-,-,-,-,-,-,-,-,-,0,0,\,\,\,-,\,\,\,\,-,-,-,-,-,-,-,-,-,-,-,-,\,\,2
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","GG:Guernsey",Q:S:JP:4R:U:C:A:A:TO1:B:GG,,,,,,,,,,,,,,,,85,28,88,40,92,80,211,244,128,122,121,101,268,168,154,38,54,46,59,44,180,112,105,97,84,122,89,76,82,85,66,60,119,117,116,99.9,72.4,107.1,67.2,25.8,36.9,45,48.6
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:5A:4R:Q:C:A:A:TO1:A:GG,0,0,-3428,-2533,-3443,-3338,-3279,-4683,-6609,-6731,-7091,-7447,-8161,-9267,-7988,-7831,-6533,-4718,-3507,-5325,-5306,-5422,-4255,-3075,-3510,-3394,-5030,-2621,-3400,-2224,-2370,-1292,-1098,-2292,-1961,-2307,-2361,-1132,-1341,-2503,-1106,-2420,-2727,-2646,-4477.075,-6234.041,-4069.053,-3624.416,-3534.292,-3909.233,-6046.253,-7000.29,-6777.529,-9341.223,-8732.121,-7586.34,-9606.683,-8879.295
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:DE:4R:U:C:A:A:TO1:A:GG,,,,,,,,,,,,,,,,4442,4114,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,7068,\,\,\,\,\,\,\,\,\,\,\,2338,2712,2983,2654,2723,2477,2780,2537
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GG:Guernsey",Q:S:DE:4R:U:W:A:A:TO1:A:GG,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,3818,4456,2652,2452,2275,1480,1516,1433
