BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Ghana"
"Country: Ghana"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","GH:Ghana",Q:S:FR:4R:U:C:A:A:TO1:O:GH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,71,45,126,117,87,48,48,29,47,95,113,107,114,126,84,95,98,81,72,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,564
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GH:Ghana",Q:S:AU:4R:U:X:A:A:TO1:A:GH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,-,61,-,-,0.109,0.063,0.06,0.022,0.028,0.023,0.027,0.028,18.569,18.727,18.552,18.555,18.518,18.575
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GH:Ghana",Q:S:5A:4O:F:I:A:A:TO1:A:GH,133,-,167,-,199,-,301,-,353,-,388,-,373,-,356,-,426,-,416,-,392,-,242,-,239,-,317,-,336,-,352,-,460,-,429,-,503,-,499,-,649,-,599,-,728,-,596,-,934,-,931,-,1012,-,897,-,1219,-,1079,-,1314,-,1253,-,1367,1250,1171,1016,1063,1003,912,782,1025,900,826,899,1213,1075,1067,1003,1494,1413,1202,1055,1707,1616,1060,985,1359,1383,1218,1207,1995,1695,1903,1877,2543,2922,2630,2597,2636,2479,2429,2154,3137,3699,3291,3691,4817,4398,4353,4244,5255,4853,4703.722,5195.688,6388.667,7394.985,7041.08,7443.868,8011.824,8213.098,7540.282,6782.448,7668.694,7483.821,7237.496,6681.725
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GH:Ghana",Q:S:5A:4R:Q:C:A:A:TO1:A:GH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-175,-,-191,-,-186,-,-147,-,37,21,23,43,-36,-38,-65,-73,-92,-110,-107,-74,-68,-55,-82,-135,-187,-162,-197,-176,-339,-259,-240,-247,-260,-264,-275,-207,-255,-233,-268,-453,-346,-337,-432,-350,-290,-83,-148,-121,-294,-275,-286,-429,-503,-569,-659,-479,-442,-876,-749.323,-814.986,-636.454,-541.198,-414.06,-729.005,-1856.944,-1905.362,-2164.184,-1644.262,-1863.986,-1525.662,-1582.469,-1538.257
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","GH:Ghana",Q:S:GB:4R:U:C:A:A:TO1:B:GH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514,416,463,453,536,553,624,597,655,817,966,958,262,199,239,210,317,268,296,451,508,396,451,600,508,506,606,581,547,372,394,445,490,532,539,440,474,374,376,298,245,164,673
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GH:Ghana",Q:S:DE:4R:U:C:A:A:TO1:A:GH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,315,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GH:Ghana",Q:S:FR:4R:Q:C:A:A:TO1:A:GH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14,-34,-54,-50,-45,-31,-87,-81,-69,-70,-74,-69,-66,-61,-41,-15,-12,-8,-8,-20,-77,-13,-35,-26,-63,-53,-140,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-527
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","GH:Ghana",Q:S:BE:4R:F:I:A:U:TO1:A:GH,,,,,,,,,,,,,,,,,1,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,2,-,1,-,1,-,1,-,36,-,30,-,41,-,29,-,37,-,27,-,50,-,33,-,4,-,15,-,63,-,45,-,22,13,28,18,22,20,18,12,8,4,3,7,22,18,36,26,56,45,25,13,63,67,73,10,12,5,41,41,84,51,92,54,65,63,57,39,30,40,29,15,10,10,5,16,17,15,16,26,28,35,28,21,16,26,28,59,73,54,29,56,60,50,45,33
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GH:Ghana",Q:S:AU:4R:U:W:A:A:TO1:A:GH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1.915,2.36,3.522,3.824,4.006,4.234,4.32,4.482,8.138,0.907,0.87,0.831
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GH:Ghana",Q:S:SE:4R:U:X:A:A:TO1:A:GH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,6,\,\,\,\,\,0,0,0,32,30,29,\,\,\,\,32.288,\,13.095,13.908
