BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Gibraltar"
"Country: Gibraltar"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","GI:Gibraltar",Q:S:FR:4R:U:C:A:A:TO1:O:GI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-,-,-,-,-,0,-,-,-,-,-,-,-,153,-,-,-,0,0,\,\,\,-,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","GI:Gibraltar",Q:S:SE:4R:U:C:A:A:TO1:R:GI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,415,\,\,\,\,\,41,38,33,21,28,38,\,\,\,\,51.589,\,38.911,49.744
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GI:Gibraltar",Q:S:5A:4R:Q:C:A:A:TO1:A:GI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-146,-,-168,-,-970,-,30,-,-130,-184,926,-155,-848,-1122,-954,-970,-995,-594,-1060,354,-115,60,16,50,-252,-189,-91,-5,-385,-307,-937,-596,-746,-1400,-1365,-5070,-5530,-953,-764,-385,-2856,-2815,-3513,-3845,-1279,-2951,-1729,-3696,-1108,-1013,-755,-1106,-1201,-1164,-1079,-1014,-896,-185,-613.662,-347.681,-596,-504.623,-360.234,-417.222,-1066.951,-1123.6,-637.915,-1602.932,-1738.776,-1772.363,-737.939,-611.612
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GI:Gibraltar",Q:S:5A:4O:F:I:A:A:TO1:A:GI,68,-,88,-,88,-,105,-,131,-,138,-,125,-,150,-,250,-,389,-,472,-,581,-,855,-,1314,-,1311,-,1250,-,1736,-,1685,-,1534,-,1234,-,1067,-,1055,-,1168,-,1053,-,963,-,1211,-,1457,-,2233,-,2280,-,2161,-,2566,-,2793,-,5171,5037,4660,3572,5394,4900,5683,7422,7777,5603,7885,5670,4528,3885,4223,5297,5644,5831,5798,5370,8116,5539,5637,5259,5768,6631,6877,10256,10966,7051,6737,7597,11869,11574,13470,14941,6488,8246,7308,9964,7297,7094,7501,7750,8016,7483,7562,6322,6036,6442,6266.962,6816.216,4856.238,5881.693,4303.034,6042.156,5601.084,6953.026,5315.268,5546.524,5894.558,5389.304,4322.889,3628.193
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","GI:Gibraltar",Q:S:GB:4R:U:C:A:A:TO1:B:GI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,25,23,7,-,-,-,-,-,-,-,-,16,8,-,214,219,403,392,396,370,441,238,1321,1359,1437,1288,1226,1288,1227,1176,475,228,228,246,248,-,82,75,69,64,64,59
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GI:Gibraltar",Q:S:AT:4R:U:X:A:A:TO1:A:GI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,\,\,\,\,\,-,\,\,\,\,\,\,\,\,\,15.648,11.969,6.342
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GI:Gibraltar",Q:S:FR:4R:Q:C:A:A:TO1:A:GI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21,-23,-28,-86,-106,-129,-87,-75,-122,19,-81,-126,-149,-105,-95,-85,-63,-43,-42,-55,-91,86,168,159,165,81,98,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,68
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GI:Gibraltar",Q:S:GR:4R:F:C:A:A:TO1:A:GI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,3,3,4,4,3,3,2,2,2,2,1,1,1,7,7,7,7,1,2,4,1,408,406,379,345,8,8,8,9,9,7,7,11,8,4,8,6,16,14,12,13,12,12,7,7,6
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","GI:Gibraltar",Q:S:BE:4R:F:I:A:U:TO1:A:GI,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,2,-,16,-,9,-,4,-,3,-,-,-,-,-,1,-,9,-,18,-,21,-,4,-,5,-,4,-,2,-,2,-,2,-,7,-,43,37,37,37,38,6,6,8,18,20,28,29,35,22,50,51,42,39,28,36,41,36,34,67,99,82,67,33,30,33,36,32,30,58,83,82,36,22,6,13,13,13,11,11,11,12,12,12,12,14,21,20,21,21,20,24,26,14,14,12,12,11,10,3
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GI:Gibraltar",Q:S:AU:4R:U:W:A:A:TO1:A:GI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.08
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","GI:Gibraltar",Q:S:SE:4R:U:X:A:A:TO1:A:GI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,-,\,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,92,\,\,\,\,\,88,50,0,53,50,50,\,\,\,\,1.494,\,1.506,1.508
