BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Hong Kong SAR"
"Country: Hong Kong SAR"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","HK:Hong Kong SAR",Q:S:5A:4R:U:C:A:A:TO1:F:HK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20286.687,33514.636,34595.957,39521.356,42320.489,56682.145,62326.966,57684.752
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4C:Inside-area foreign banks consolidated by their parent","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","HK:Hong Kong SAR",Q:S:5A:4C:F:I:A:A:TO1:A:HK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-,1249,-,187,-,1002,-,0,-,0,0,0,844,2228,2043,2004,2094,1961,2068,2600,2473,2264,2030,2002,2152,1943,1721,1593,1617,1299,1591,836,1485,1697,1540,1529,1173,2070,715,1072,1002,502,23,23,15,1197,1326,329,136,7,145,129,368,578,356,121,126,1114,1417,3491.812,662.058,2418.64,2756.698,3592.511,3925.723,5144.555,4195.013,6132.61,4758.152,6248.511,5351.731,4280.074,2874.009
"Q:Quarterly","S:Amounts outstanding / Stocks","BR:Brazil","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","HK:Hong Kong SAR",Q:S:BR:4R:F:I:A:A:TO1:A:HK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,-,-,25,63,53,-,1,-,1,2,5,6,6,16,10,6,5,4,4,3,2,1,-,11,5,22,10,14,60,221,40,20,-,7,1,1,1,-,8,5,3,13,5,3,32,9,8,332
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","HK:Hong Kong SAR",Q:S:FR:4R:U:C:A:A:TO1:B:HK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1794,3091,8381,6866,8878,3083,4164,5023,4395,4158,4288,3764,11080,7685,8840,11729,9837,9765,9960,10109,\,\,\,3549,4705,4302,3620,3166,1197,1682,1741,1867,3729,4780,2424,2614,4009,2220,3753,2618,3473,3188,2885
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","HK:Hong Kong SAR",Q:S:GB:4R:Q:C:A:A:TO1:A:HK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7495,-,-7023,-5633,-6738,-4627,-4757,-3688,-3636,-4645,-4974,-4996,-4838,-4943,-6597,-6741,-6548,-6219,-5151,-6144,-5116,-5819,-16085,-18371,-18273,-18063,-9886,-13057,-11914,-13655,-16302,-22624,-17183,-28444,-16210,-24212,-25758,-26817,-12511,-13117,-16453,-10378,-16177,-15282,-17015,-20773,-18088,-16795,-18468,-20310,-17224,-15024,-14677,-17499,-13662,-15356,-18032,-18265,-18538,-15156,-21106,-22865,-28496,-28389,-25602,-19028
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","HK:Hong Kong SAR",Q:S:DE:4R:U:C:A:A:TO1:R:HK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,7552,\,\,\,\,\,\,\,\,\,\,\,10607,9411,9977,9083,7749,7980,8118,8321
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","HK:Hong Kong SAR",Q:S:GR:4R:F:I:A:U:TO1:A:HK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,224,274,302,299,309,250,11,10
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","HK:Hong Kong SAR",Q:S:CH:4R:U:W:A:A:TO1:A:HK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430,505,655,785,797,859,1039,1274,1685,1470,1234,2845,928,1834,579,624,521,638,774,966,1076,1304,772,743,548,703,646,378,307,314,421,323,284,272,1565,1467.6,1364.263,1427.845,1364.9,1221.918,946.359,1192.774
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","HK:Hong Kong SAR",Q:S:US:4R:U:W:A:A:TO1:A:HK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6145,7301,7654,8156,9095,10232,16772,19824,25626,34689,27306,28493,37629,34274,35224,33542,20499,35844,31610,36153,19376,23570,23266,25827,21965,22491,21405,19751,18454,18618,15785,20884,18053,17040,6632,7275,7792,7861,8066
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","HK:Hong Kong SAR",Q:S:US:4R:U:C:A:A:TO1:F:HK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4608,4839,5397,6967,7522,8467,9816,9443
