BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Ireland"
"Country: Ireland"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IE:Ireland",Q:S:US:4R:Q:C:A:A:TO1:A:IE,,,,,,,-643,-,-608,-819,-471,-230,-183,-492,-770,-1153,-376,-1464,-803,-1223,-566,-680,-964,-1978,-1014,-420,-1739,-1895,-1535,-1247,-654,-898,-1168,1676,542,162,292,123,1014,1117,-715,-1393,-1652,1030,199,-554,-928,-7837,-12011,-12170,-10316,-13937,-15428,-14374,-13299,-17134,-15161,-13758,-12443,-9572,-15021,-15261,-17114,-13140,-11611,-9331,-9297,-7753,-6539,-6533,-6938,-6779
"Q:Quarterly","S:Amounts outstanding / Stocks","CL:Chile","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IE:Ireland",Q:S:CL:4R:U:C:A:A:TO1:A:IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
"Q:Quarterly","S:Amounts outstanding / Stocks","CL:Chile","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IE:Ireland",Q:S:CL:4R:Q:C:A:A:TO1:A:IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15,-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-22,-22,-22
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IE:Ireland",Q:S:SE:4R:Q:C:A:A:TO1:A:IE,,,,,,,-1,-,-8,-14,-12,-8,\,\,-10,-3,-2,-2,-2,-2,-1,-1,60,61,67,61,-1,32,51,31,214,100,72,70,\,-130,-156,-402,-448,-479,-612,-1191,-885,-883,-737,-672,-606,-909,-662,-600,-499,-531,-432,-459,-480,-436,-411,-420,-383,-407,-412,-401,-357,-429,-468.742,-517.381,-469.78,-501.928,-453.23,-386.415,-299.679,-293.498
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","IE:Ireland",Q:S:SE:4R:U:C:V:A:TO1:A:IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1447,1033,345,293,254,270,352,441,395,357,629,571,906,810,1836,1601,1376,1351,1139,1039,1174,968,915,682,827,822,883,748,888,722,264,227,158,69,59.876,52.16,56.932,44.816,44.588,50.247,43.44,33.971
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","IE:Ireland",Q:S:US:4R:U:C:V:A:TO1:A:IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1816,1947,1706,1467,1998,2630,2289,2748,2802,3228,3707,5595,8321,7310,8811,12435,45795,25719,13387,12446,13504,14947,12352,9525,8111,8441,11317,10194,8174,9193,8572,8561,8737,7781,5298,4704,6306,6377,9315,9379,9564,5244,6841
"Q:Quarterly","S:Amounts outstanding / Stocks","TR:Turkey","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IE:Ireland",Q:S:TR:4R:F:I:A:A:TO1:A:IE,,,,,,,,,,,,,926,874,986,648,861,1037,707,685,707,698,658,648,743,808,603,696,700,810,714,613,617,617,637,852,220,464,248,266,427,66,303,287,102,65,87,95,111,124,90,67,61,81,50,31,83,88,16,11,2,2,3,5,3,1,5,12.669,305.049,300.762,301.093,800.708
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IE:Ireland",Q:S:GB:4R:U:C:A:A:TO1:A:IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101662,99186,109137,105513,121712,130855,139648,147661,175272,180265,200311,205513,229395,221118,199495,190440,176331,183342,191849,166788,164028,145464,159650,135242,136627,140850,137089,127884,130819,119438,112363,121975,119974,117021,120537,126829,126105,127980,115760,108113,91769,91021,85579
"Q:Quarterly","S:Amounts outstanding / Stocks","CA:Canada","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","IE:Ireland",Q:S:CA:4R:U:C:A:A:TO1:F:IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2878.182,2417.433,2808.379,1784.25
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","IE:Ireland",Q:S:GR:4R:F:I:A:U:TO1:A:IE,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,99,76,38,40,36,23,34,29
