BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Isle of Man"
"Country: Isle of Man"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:SE:4R:U:C:V:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,-,3,1,0,2,2,1,\,\,\,\,30.075,\,19.053,15.633
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:5A:4R:U:W:A:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,,2039,1884,1849,1904,1916,1760,1729,1613,2186,1575,1511,1364,1471,1720,1125,973,723,660,629,666,1150,1227,1108,1242,2665,1425,3056,2878,3170,3718,2292,2250,1915,2024,2046,2879.467,2475.471,2651.797,2678.964,2673.01,2311.666,2117.674,2362.137
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:IT:4R:F:I:A:U:TO1:A:IM,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,105,\,\,\,\,\,\,\,\,\,\,\,48.7,50.006,102.006,\,61.352,12.43,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:IT:4R:Q:C:A:A:TO1:A:IM,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-322,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,\
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","IM:Isle of Man",Q:S:ES:4R:U:C:A:A:TO1:R:IM,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1121.525,1055.086,1267.047,1313.339
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:ES:4R:F:C:A:A:TO1:A:IM,,,,,,,,,33,5,2,4,52,5,40,40,37,8,6,82,95,105,100,90,91,107,216,137,90,92,103,100,102,35,37,23,60,310,584,670,727,637,720,923,926,1006,870,873,834,597,591,854,887,836,844,906,711,1101.862,1293.018,1498.191,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4C:Inside-area foreign banks consolidated by their parent","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:5A:4C:Q:C:A:A:TO1:A:IM,,,,,,,,,-55,-88,-123,-154,-95,-180,-230,-273,-42,-,0,0,0,0,0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:SE:4R:Q:C:A:A:TO1:A:IM,,,,,,,,,7,7,-,-,-6,-,-,-,-,-,-,-,-,-,-,27,3,-,-,-,-,-,\,\,\,44,45,41,32,31,38,39,47,19,9,13,13,-1,-4,-59,-61,-78,-55,-52,-51,-55,-145,-139,-118.633,-142.034,-142.643,-136.733,-106.763,4.558,2.092,20.093
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","IM:Isle of Man",Q:S:BE:4R:U:C:A:A:TO1:R:IM,,,,,,,,,,,,,,,,,,,,,,129,140,120,111,179,262,244,194,201,274,356,434,466,579,397,234,102,247,204,74,74,76,85,88,104,101,101,100,100,98,99,96,94,94,90,91,88,88,86,83,81,80,77
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IM:Isle of Man",Q:S:SE:4R:U:W:A:A:TO1:A:IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,8,8,7,-,-,0,0,0,0,0,0,\,\,\,\,0.353,\,0.469,0.453
