BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in India"
"Country: India"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","IN:India",Q:S:SE:4R:U:C:V:A:TO1:A:IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,5,5,1,2,4,3,2,4,5,4,-,-,1,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0.014,3.058,0.001,0.131,\,0.392,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","PA:Panama","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","IN:India",Q:S:PA:4R:F:I:A:U:TO1:A:IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,3,2,1
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","IN:India",Q:S:US:4R:U:C:V:A:TO1:A:IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,567,627,787,1035,1584,1285,1479,1388,1193,1196,1406,1623,2858,3600,4100,4016,2978,2701,2024,1801,1682,1769,1592,2120,1902,2294,3101,1257,2359,2243,1239,1067,1649,2298,1535,1428,1695,1357,1550,1386,741,786
"Q:Quarterly","S:Amounts outstanding / Stocks","CL:Chile","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IN:India",Q:S:CL:4R:U:C:A:A:TO1:A:IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,22,13,3,48,33,28,60,60,39,42,43,31,130,136,62,70,56,152,102,48,-,62,9,55,124,105,98,96,33,91,206,131,92,129,53,42.479,41.8,68.761,1.167,40.693,16.919,0.322
"Q:Quarterly","S:Amounts outstanding / Stocks","CL:Chile","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IN:India",Q:S:CL:4R:Q:C:A:A:TO1:A:IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,-2,-,-,-33,-,-18,-7,-38,-9,-56,-56,-4,-9,-3,-3,-66,-27,-4,-23,-2,-1,-29,1,-120,-60,-,-,-,-,9.961
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","IN:India",Q:S:KR:4R:U:C:A:A:TO1:B:IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032.918,1132.448,1248.874,1255.721,1604.236,1632.09,1821.581,1667.575
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4C:Inside-area foreign banks consolidated by their parent","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IN:India",Q:S:5A:4C:Q:C:A:A:TO1:A:IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14,-,-8,-,0,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,0,0,0,0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,-,0,0,0,0,-93,-85,-85,0,0,0,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IN:India",Q:S:GB:4R:U:C:A:A:TO1:A:IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17932,12487,20348,19621,22137,22981,23636,27735,33071,36101,40609,47105,52323,53657,56516,49672,49287,51486,57220,58772,64752,78455,83029,84185,87767,88483,86512,82082,84966,85082,83784,84264,88326,81777,80636,79729,80959,78904,78398,74990,77717,72103,68964
"Q:Quarterly","S:Amounts outstanding / Stocks","TR:Turkey","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IN:India",Q:S:TR:4R:F:I:A:A:TO1:A:IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,4,15,15,32,13,36,15,12,11,9,1,1,-,-,-,-,4,2.806,1.288,1.413,0.927,6.229
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IN:India",Q:S:SE:4R:Q:C:A:A:TO1:A:IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29,-,-28,-39,-37,-7,-4,\,-1,-6,-13,-9,-22,-16,-12,-13,-14,-5,-22,-40,-51,-59,-70,-61,-35,-20,-25,-228,-171,-278,-264,-348,-363,-297,-182,-223,-176,-45,-841,-823,-804,-788,-744,-718,-703,-642,-675,-738,-827,-968,-976,-977,-1069,-1071,-1081,-1122,-987,-1236,-1245.656,-1260.628,-1322.972,-1363.943,\,-1304.321,\,\
