BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Iraq"
"Country: Iraq"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IQ:Iraq",Q:S:AT:4R:F:I:A:A:TO1:A:IQ,\,-,28,-,\,-,102,-,169,-,243,-,369,-,472,-,598,-,523,-,545,-,502,-,750,-,787,-,762,-,643,-,600,-,492,-,353,-,256,-,209,-,194,-,156,-,143,-,129,-,132,-,141,-,110,-,102,-,100,-,121,-,96,-,97,92,92,82,368,38,280,22,281,278,383,313,332,343,360,367,205,198,182,205,188,179,163,162,159,163,464,473,492,516,527,555,576,632,630,600,589,564,599,630,8,8,7,8,\,\,\,\,\,\,\,\,3,3,3,3,2.586,2.749,2.755,2.272,2.179,2.037,2.431,1.863
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IQ:Iraq",Q:S:FR:4R:F:C:A:A:TO1:A:IQ,\,-,594,-,\,-,775,-,888,-,915,-,1055,-,1122,-,1163,-,1034,-,1000,-,1091,-,922,-,1246,-,1163,-,875,-,836,-,786,-,717,-,644,-,631,-,533,-,523,-,268,-,256,-,239,-,223,-,220,-,216,-,216,-,211,-,409,-,403,419,428,410,429,412,455,457,384,394,400,400,424,415,168,193,183,188,187,175,184,195,195,196,176,190,112,90,212,235,92,93,153,81,213,294,175,190,64,169,84,80,79,80,81,67,185,174,156,205,203,187,178,183,178,178,\,\,\,\,\,\,\,117
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IQ:Iraq",Q:S:5A:4R:U:W:A:A:TO1:A:IQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,-151,-72,-36,36,-200,-234,122,-142,604,603,756,462,1010,1563,1241,1424,1636,1476,1109,1533,1727,1753,1505,1847,1623,1829,1565,1529,1933,1933,1915,511,565,390,2569.22,3348.536,4350.594,4677.317,4630.486,4599.678,4822.647,5302.777
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","IQ:Iraq",Q:S:IT:4R:F:I:A:U:TO1:A:IQ,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,4,\,\,\,\,\,\,\,-,-,-,-,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4C:Inside-area foreign banks consolidated by their parent","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IQ:Iraq",Q:S:5A:4C:F:C:A:A:TO1:A:IQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-,1,-,1,-,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IQ:Iraq",Q:S:SE:4R:Q:C:A:A:TO1:A:IQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,\,\,\,\,-0.158,\,-9.952,-14.619
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","IQ:Iraq",Q:S:JP:4R:F:I:A:U:TO1:A:IQ,\,-,101,-,\,-,420,-,614,-,1209,-,1356,-,1465,-,1804,-,1467,-,1701,-,1438,-,1507,-,1232,-,1318,-,1120,-,860,-,658,-,435,-,458,-,426,-,354,-,312,-,361,-,300,-,260,-,247,-,233,-,258,-,185,-,175,-,153,-,51,43,84,41,33,26,25,23,23,14,15,16,12,12,9,7,8,8,8,7,17,10,7,6,5,1,1,1,1,0,0,0,0,4,0,2,0,0,2,7,0,0,6,1,-,7,3,3,3,5,0,28,38,52,91,113,78,115,129,104,60.7,11.7,30.8,13.8
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","IQ:Iraq",Q:S:GB:4R:U:C:A:A:TO1:R:IQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,9,24,7,6,6,4,10,6,6,16,8,32,46,17,19,15,24,32,42,61,39,28,75,40,146,96,50,42,29,141,436,288,361,172,190,91,73,73,40,25,8
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","IQ:Iraq",Q:S:5A:4R:U:C:V:A:TO1:A:IQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,30,27,5,0,0,0,0,0,0,14,0,0,-,0,0,0,1,3,0,8,0,0,0,0,0,-,-,-,-,0.001,0.001,0.003
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IQ:Iraq",Q:S:5A:4R:F:C:A:A:TO1:A:IQ,1256,-,2101,-,3093,-,3404,-,4498,-,5398,-,6247,-,6605,-,7348,-,6510,-,6863,-,6362,-,8647,-,8800,-,8455,-,6750,-,6141,-,5563,-,4725,-,4606,-,4452,-,6376,-,5186,-,4904,-,4797,-,4953,-,4964,-,4471,-,4383,-,4341,-,4501,-,1244,-,1197,1198,1236,1038,1352,946,1237,993,1080,1084,1209,1142,1189,1203,984,1031,750,741,721,712,722,763,634,658,789,1284,1233,1130,1482,1469,1409,1428,1541,1635,1863,2255,2491,2043,2106,2335,1482,1466,1345,1381,1347,1401,1780,1561,1811,1788,1562.5,2079.834,2498.799,2631.808,2146.783,2211.786,1994.987,1753.192,1436.179,1406.558,1483.298,1635.719,1697.215,2062.932
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IQ:Iraq",Q:S:IT:4R:U:W:A:A:TO1:A:IQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,604,\,\,\,\,\,\,\,\,\,\,\,144.57,187.064,291.646,\,\,\,140.882,112.414
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IQ:Iraq",Q:S:5A:4R:U:X:A:A:TO1:A:IQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4786,3911,3864,4021,1242,1096,1049,991,991,838,133,282,178,167,176,106,94,84,116,142,218,237,240,271,196,100,14,86,209,71.002,15.001,15.01,60.006,290.011,273.014,25.564,152.045,205.793,277.285,1084.698,1029.458,1036.985,872.489
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IQ:Iraq",Q:S:AU:4R:F:C:A:A:TO1:A:IQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-,-,1,-,-,1,0.5,0.834,0.799,0.808,0.783,0.786,0.781,0.725,0.728,0.791,0.745,0.694,0.692,0.629
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","IQ:Iraq",Q:S:SE:4R:U:W:A:A:TO1:A:IQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,\,\,\,\,-,0,0,0,2,1,0,\,\,\,\,0.012,\,0.011,0.011
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","IQ:Iraq",Q:S:GB:4R:F:B:A:A:LC1:A:IQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,-,-,-,-,-,-,-,-,-,-,266,282,244,295,336,281,270,177,148,141,104,178,131,405,205,144
