BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Jersey"
"Country: Jersey"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4C:Inside-area foreign banks consolidated by their parent","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JE:Jersey",Q:S:5A:4C:Q:C:A:A:TO1:A:JE,,,,,,,,,-3,-3,-13,-8,21,26,86,42,57,-,0,0,0,0,0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JE:Jersey",Q:S:IT:4R:F:C:A:A:TO1:A:JE,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,2340,\,\,\,\,\,\,\,\,\,\,\,1140.623,1184.389,968.29,947.315,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","JE:Jersey",Q:S:AU:4R:F:I:A:U:TO1:A:JE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,51,32,47,45,32,91,62,115,42,46,111,47,47,47,167,144.238,241.481,208.559,207.501,418.243,355.987,373.515,431.619,297.37,108.272,302.703,262.521,358.545,441.788
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JE:Jersey",Q:S:ES:4R:F:I:A:A:TO1:A:JE,,,,,,,,,219,157,256,263,357,397,391,460,502,486,468,536,625,489,500,612,585,618,357,496,500,619,789,850,996,1367,1465,1441,1405,1483,1643,1669,1639,1506,1439,1416,1592,1865,1910,1860,1712,1680,1403,1716,1954,1856,1835,1862,1991,2312.362,2300.299,2168.698,1804.361,2087.887,2431.954,2472.822
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JE:Jersey",Q:S:JP:4R:Q:C:A:A:TO1:A:JE,,,,,,,0,0,0,0,0,0,4,-21,-24,-34,-33,-36,-108,-113,-999,-1466,-1436,-2050,-1849,-2139,-2738,-3253,-3297,-3564,-3736,-3780,-4484,-4413,-4617,-4372,-5230,-4016,-4251,-4392,-4267,-3745,-3486,-3864,-3582,-3761,-3876,-4174,-3713,-2897,-3345,-3508,-3462,-3000,-2902,-2861,-3293.7,-3200.8,-3464.5,-3257.1,-3255.2,-3289.7,-3012.2,-3011
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","JE:Jersey",Q:S:GB:4R:U:C:A:A:TO1:R:JE,,,,,,,,,,,,,,,,,,,,,,14327,14003,17085,16117,19707,21423,23784,25312,28523,31161,38505,52743,49179,60127,54887,31304,34829,42102,44345,39283,37955,38122,42228,38467,48133,48597,29055,25342,32807,30591,33934,29783,30459,29852,30029,35375,20001,23194,20855,18761,19004,18365,17902
"Q:Quarterly","S:Amounts outstanding / Stocks","TR:Turkey","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JE:Jersey",Q:S:TR:4R:F:I:A:A:TO1:A:JE,,,,,,,,,96,69,-,-,-,-,98,-,-,6,-,5,-,-,-,-,-,3,7,-,-,506,515,158,134,129,-,-,-,-,-,-,-,-,-,-,-,-,-,149,140,132,124,116,107,99,99,99,99,74,50,731.766,707.388,714
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JE:Jersey",Q:S:GB:4R:F:C:A:A:TO1:A:JE,,,,,,,,,6291,6447,9054,11380,10086,9148,9416,10466,10485,11389,11884,11732,15582,15877,14892,17524,16094,21123,22295,24399,30269,31860,34303,41255,56225,52460,63421,57763,34489,36587,44291,47776,47489,48125,46795,51691,49966,48980,50748,36962,34303,41767,39326,42449,37948,36136,36059,34574,39485,25743,28574,25226,22955,22924,23054,20273
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","JE:Jersey",Q:S:5A:4R:U:C:A:A:TO1:B:JE,,,,,,,,,,,,,,,,,,,,,,4603,5434,4666,6362,6923,7048,7556,10254,8097,9589,12349,13918,15487,14279,12375,14418,9243,9766,6338,6411,5006,5437,5477,6292,7231,8050,6374,5171,4039,3361.011,3193.088,3492.188,3939.047,3029.393,2734.145,1945.585,2280.407,36.104,41.3,632.403,956.037,334.647,834.13
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JE:Jersey",Q:S:FR:4R:F:C:A:A:TO1:A:JE,,,,,,,,,2157,1108,1168,1595,1185,1873,2896,3160,5131,6404,6864,7307,13658,17626,12102,12228,17041,17904,12131,13860,16132,17759,19478,23480,25204,24097,25060,22279,19591,15614,15562,13767,15892,12309,11381,12114,\,13433,11826,5570,5582,6822,5368,4901,5230,5089,8232,5228,\,\,\,\,\,\,\,3348
