BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Jamaica"
"Country: Jamaica"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","JM:Jamaica",Q:S:AU:4R:F:I:A:U:TO1:A:JM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,-,31,21,38,36,35,59,44,37,33,32.032,27.518,27.135,27.21,28.626,24.444,24.552,24.363,24.474,-,0.058,0.056,0.012,0.005
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JM:Jamaica",Q:S:AU:4R:F:C:A:A:TO1:A:JM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,37,27,42,41,45,75,44,37,33,32.039,27.533,27.137,27.213,28.644,24.46,24.553,24.366,24.476,0.002,0.243,0.222,0.186,0.161
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JM:Jamaica",Q:S:5A:4R:U:X:A:A:TO1:A:JM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,154,76,96,231,660,85,228,350,2128,866,2099,945,862,3748,3296,3397,4164,4721,4234,2281,1133,377,138,107,105,71,106,248,135,131,135,135,68,68,90.053,66.353,49.696,50.033,68.663,42.538,41.874,43.383
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","JM:Jamaica",Q:S:GB:4R:F:B:A:A:LC1:A:JM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JM:Jamaica",Q:S:CH:4R:F:C:A:A:TO1:A:JM,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,290.204,317.011,218.415,275.166,329.494,325.705,340.319,368.013
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JM:Jamaica",Q:S:AU:4R:U:C:A:A:TO1:A:JM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,42,35,34,-,37,42,32,49,48,53,82,48,41,37,36.106,27.533,27.137,27.213,28.644,24.46,24.553,24.366,24.476,0.002,0.243,6.275,0.165,0.144
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JM:Jamaica",Q:S:GB:4R:U:W:A:A:TO1:A:JM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,12,11,12,12,12,11,12,12,13,8
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JM:Jamaica",Q:S:JP:4R:Q:C:A:A:TO1:A:JM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7,-,-7,0,-,-,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2,-1,2,4,8,5,5,9,11,12,4,2,3,2,3,2,2,10,1,2,4,3,8,9,13,19,43,-,1,2,-15,-15,-15,-,-12,-12.3,-12.1,-10.8,-11.2,-10.2,-10.2,-9.3,-9.2
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","JM:Jamaica",Q:S:5A:4R:F:B:A:A:LC1:A:JM,490,-,433,-,401,-,362,-,389,-,452,-,533,-,582,-,606,-,693,-,855,-,890,-,790,-,745,-,705,-,639,-,375,-,489,-,406,-,569,-,510,-,525,-,738,-,909,-,815,-,916,-,1103,-,1377,-,1356,-,1442,-,1638,-,1865,-,1786,1930,2003,2111,2101,2144,2096,2204,2244,2431,2457,2338,1951,1827,1770,1796,1722,1858,1951,1942,1969,2071,2189,2156,2135,2237,2178,2221,2305,2528,2572,2490,2515,2613,2659,2681,2475,2271,2280,2390,2327,2400,2517,2542,2652,2729,2800,2841,2784,3190,2811,2801,2718,2645,2542,2485,2402,2333,2334,2322,2332.88,2310.852,2256.187,2279.327
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JM:Jamaica",Q:S:BE:4R:Q:C:A:A:TO1:A:JM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,-,-2,-,-,-,-,-,-,-,-13,-,-,-11,-11,-13,-6,-1,-3,-2,-2,-2,-2,-2,-,-,-,-,-,-,-,-,-,7,7,0
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","JM:Jamaica",Q:S:GB:4R:U:C:A:A:TO1:R:JM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,14,19,16,15,17,20,65,50,55,88,81,80,89,20,14,23,19,18,65,78,76,83,75,77,78,79,75,72,65,63,59,21,21,30,42,29,19,11,12,11,11
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","JM:Jamaica",Q:S:BE:4R:U:C:A:A:TO1:O:JM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,8,8,6,7,7,1,7,12,13,11,10,10,8
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JM:Jamaica",Q:S:GB:4R:F:C:A:A:TO1:A:JM,35,-,41,-,31,-,31,-,33,-,32,-,28,-,31,-,28,-,31,-,45,-,50,-,58,-,54,-,52,-,57,-,65,-,70,-,68,-,55,-,49,-,51,-,72,-,73,-,74,-,96,-,84,-,93,-,145,-,62,-,53,-,63,-,40,38,36,49,40,53,39,44,52,51,50,38,29,27,26,27,25,24,192,29,33,32,38,44,70,66,113,118,121,149,132,143,157,179,175,160,98,70,79,67,73,130,138,143,152,152,165,170,210,161,152,111,108,164,123,138,68,148,135,113,103,101,99,100
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","JM:Jamaica",Q:S:5A:4R:U:C:V:A:TO1:A:JM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,1,2,2,2,5,15,12,28,24,33,47,94,94,65,50,48,59,0,66,74,55,61,7,18,5,45.127,43.09,42.083,3.09,6.096,2.076,1.09,1.088,0.088,1.007,0.086,1.023,0.066,1.411
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JM:Jamaica",Q:S:5A:4R:F:I:A:A:TO1:A:JM,570,-,557,-,595,-,564,-,560,-,520,-,460,-,517,-,473,-,429,-,476,-,447,-,473,-,444,-,469,-,403,-,446,-,429,-,539,-,430,-,382,-,364,-,635,-,578,-,608,-,671,-,849,-,845,-,1054,-,895,-,985,-,862,-,1215,1403,1130,1135,1159,1205,1312,1314,1288,1286,1328,1369,1197,1298,1211,1326,1426,1574,1618,1467,1488,1388,1284,1329,1270,1412,1547,1705,2396,2933,2921,3131,3304,3481,3574,4784,4142,3731,3718,3870,3827,4431,3553,3571,3721,3617,4177,3698,3858,3985,3719.039,3724.533,3476.137,3369.213,3391.644,3439.46,3447.578,3159.4,3284.365,3186.633,3041.277,2914.281,2902.124,2999.081
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","JM:Jamaica",Q:S:5A:4R:U:C:A:A:TO1:R:JM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060,1133,1149,1157,1318,1374,1389,1877,2100,2131,2287,2549,2566,2559,3182,2786,2481,2503,2821,2699,3430,2742,2746,2870,2852,2816,2825,2784,3250,3069.1,3156.519,3018.135,2951.212,2933.628,2886.445,2829.725,2538.818,2588.268,2444.684,3421.266,3480.761,3408.601,3473.726
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JM:Jamaica",Q:S:IT:4R:F:C:A:A:TO1:A:JM,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,-,-,\,-,-,-,\,-,-,-,-,-,-,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,-,-,-,\,-,\,\,\,\,\,\,\,\,\,\,-,-,-,-,-,-,\,\,\,\,\,-,-,-,-,-,\,\,\,\,\,\,\,-,\,\,\,\,\,\,\,12,\,\,\,\,-,\,-,-,-,-,-,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JM:Jamaica",Q:S:AU:4R:F:I:A:A:TO1:A:JM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,33,37,27,42,41,45,75,44,37,33,32.039,27.533,27.137,27.213,28.644,24.46,24.553,24.366,24.476,0.002,0.243,0.222,0.186,0.161
"Q:Quarterly","S:Amounts outstanding / Stocks","FI:Finland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JM:Jamaica",Q:S:FI:4R:F:C:A:A:TO1:A:JM,,,,,,,,,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,10,-,19,-,19,-,9,-,9,8,8,8,7,6,5,6,7,7,6,6,6,6,5,5,5,\,\,\,\,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
