BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Jordan"
"Country: Jordan"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JO:Jordan",Q:S:GB:4R:F:C:A:A:TO1:A:JO,131,-,101,-,99,-,112,-,99,-,93,-,104,-,145,-,202,-,237,-,282,-,268,-,298,-,237,-,272,-,243,-,232,-,242,-,170,-,169,-,137,-,120,-,127,-,119,-,107,-,98,-,99,-,265,-,122,-,202,-,186,-,203,-,402,409,382,407,687,598,630,528,269,547,545,519,599,620,632,638,646,671,664,705,689,737,769,782,846,857,990,1031,1061,1322,1357,1494,1372,1610,1776,2071,1424,1446,1451,2313,2264,1835,1840,1881,1953,1908,2048,1930,1764,1934,1989,1748,1668,1667,1897,1828,1599,1776,863,862,802,766,700,748
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JO:Jordan",Q:S:5A:4O:F:C:A:A:TO1:A:JO,857,-,879,-,1043,-,964,-,990,-,1129,-,1191,-,1469,-,1639,-,2202,-,2191,-,2114,-,2045,-,1975,-,2300,-,2026,-,2064,-,1807,-,1575,-,1608,-,1411,-,1227,-,1219,-,1144,-,1192,-,1022,-,1009,-,1022,-,1122,-,1056,-,1010,-,1353,-,1456,1535,1464,1534,1675,1621,1734,1513,1231,1532,1580,1614,1604,1840,1613,1687,1623,1692,1571,1653,1665,1996,2312,2276,1713,1833,2453,2200,2087,2407,2480,2756,2615,3062,3745,3648,3230,2935,3292,4097,3940,3751,3458,3660,3971,3973,4100,4132,4016,4100,4210.801,3997.831,4185.235,4195.463,4382.679,4669.997,4763.837,5127.683,4278.297,4359.574,4121.858,4037.414,4248.796,4164.259
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","JO:Jordan",Q:S:AU:4R:F:I:A:U:TO1:A:JO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,-,-,25,25,34,26,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.404,0.542,0.08,0.261,0.571,0.457,0.66,0.545,0.429,0.375,0.175,0.13,0.512,0.183
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JO:Jordan",Q:S:JP:4R:Q:C:A:A:TO1:A:JO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,-,67,34,24,30,20,20,24,27,31,0,50,11,1,11,21,2,5,24,11,30,20,-2,0,16,-4,-,-14,-7,-9,-10,-6,-,-1,17,38,28,17,14,2,19,-4,16,20,35,10,30,23,16,22,10,28,-24,-34,-53,-81,-164,-194.8,-208.3,-214.4,-206,-176.8,-173.9,-197,-179.8
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","JO:Jordan",Q:S:GB:4R:U:C:A:A:TO1:R:JO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527,552,559,551,567,679,775,757,1018,1106,1192,1099,1276,1363,1693,999,1050,998,1826,1687,1241,1195,1138,1213,1250,1309,1179,1129,1285,1321,1142,1124,1107,1291,1177,1046,1217,766,901,871,744,668,763
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JO:Jordan",Q:S:GR:4R:F:I:A:A:TO1:A:JO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,2,2,0,0,0,0,0,1,3,0,4,6,7,2,1,32,34,17,13,13,13,13,13,26,32,36,40,59,39,39,39,50,51,52,51,63,63,64,35,45,44,44,16,24,22,16
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","JO:Jordan",Q:S:5A:4R:U:C:V:A:TO1:A:JO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,53,33,23,14,19,17,16,15,25,48,40,98,61,65,126,124,84,96,71,98,121,138,91,141,128,146,130,139,152.493,151.333,135.056,152,115.505,122.173,224.665,90.224,108.92,115.609,130.308,142.158,130.274,141.482
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JO:Jordan",Q:S:GR:4R:U:W:A:A:TO1:A:JO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,\,\,\,\,\,\,\,\,\,\,\,-,-,-,-,10,10,10,10
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JO:Jordan",Q:S:AU:4R:F:C:A:A:TO1:A:JO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,10,9,26,26,35,27,7,19,-,32,-,-,-,-,1,-,-,-,-,-,-,-,-,1,1.711,1.856,1.384,1.45,1.911,1.62,1.181,1.073,0.961,0.872,0.804,0.803,1.184,1.149
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JO:Jordan",Q:S:IT:4R:F:C:A:A:TO1:A:JO,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,20,\,\,\,\,\,\,\,\,\,\,\,\,3.266,3.987,3.306,14.891,10.461,\,9.495
