BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Japan"
"Country: Japan"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JP:Japan",Q:S:5A:4O:F:C:A:A:TO1:A:JP,10054,-,10518,-,10423,-,356415,-,393498,390395,400093,416552,381972,421472,392174,378579,377253,380881,419412,395481,402802,433964,482496,518426,508048,644325,603847,580691,617566,558205,590775,546052,546870,571957,624124,639226,604047,650031,706965,747638,758266,893857,815054,772580,720112,734845,800884,905577,747656,726693,772080,858830,831353,791094,779147,823260,829971,845558,854856.838,816931.172,801772.471,753987.559,737777.91,780197.406,728969.045,774716.099,762566.431,781962.382,750368.664,790365.497,803929.743,805247.474
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","JP:Japan",Q:S:TW:4R:U:C:V:A:TO1:A:JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,51,56,59,61,74,49,44,40,52,30,19,45,32,38,44,44,33,99,62,29,28,28,38,40,63,55,25,39,27,83,93,112,164,158,152,149,204,201,248,243,249,349
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","JP:Japan",Q:S:AU:4R:F:I:A:U:TO1:A:JP,,,,,,,,,,,,,,,,,,,,,,,,,1171,421,717,474,874,186,650,335,949,357,1147,505,365,464,477,816,574,663,863,1402,1898,670,626,706,1379,738,1056,1267,1213,1186,1145,3560,4013,5681,7252.11,6992.438,1581.951,2004.416,2216.469,2342.135,2101.084,2126.263,1756.633,2400.145,2671.247,3859.124,3084.54,2248.903
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","JP:Japan",Q:S:5A:4R:U:C:V:A:TO1:A:JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28008,35742,34377,36843,44168,49830,42471,40740,39940,56406,49666,53214,76756,64091,65297,145756,127698,106700,106191,109287,98721,106319,140112,103293,110863,108480,123124,112515,111741,97685.592,94099.369,118409.944,98087.471,88019.3,73425.358,125835.1,104575.857,95795.812,124266.707,140197.11,111984.429,101622.359,93765.107
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JP:Japan",Q:S:IT:4R:F:C:A:A:TO1:A:JP,,,,,,,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,4008.867,3640.095,5839.331,5116.144,5467.099
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JP:Japan",Q:S:GB:4R:U:W:A:A:TO1:A:JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2132,2065,1242,1348,1450,1389,1141,1452,2063,2466,2687,2777,3285,3926,3156,3226,2936,3333,3587,3368,3053,2680,2913,5662,5651,5674,5705,5891,8032,7867,5991,9248,41508,42528,38895,34006,30837,25987,23456,21370,20728,21023,19479
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JP:Japan",Q:S:BE:4R:Q:C:A:A:TO1:A:JP,,,,,,,2085,-,2308,1255,1957,2029,1760,2709,1771,2272,1117,1893,1988,990,619,3550,1035,889,1719,1427,2480,2237,683,739,870,1208,868,1329,1339,1383,960,1231,560,103,219,203,116,-523,-395,-342,-446,-768,-21,24,20,6,6,-14,-37,3,-,504,491,511,66,2,1,1,1,-,-,-,-,-,59,1
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JP:Japan",Q:S:5A:4R:U:X:A:A:TO1:A:JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55611,57634,65156,49221,46159,41932,33994,34669,65894,70735,64061,61364,64322,66681,52269,46538,63684,73497,72726,50702,52088,70735,76199,64264,61945,60306,56888,58727,80958,60482.088,41400.77,35164.804,39269.846,38175.436,42383.03,53545.829,96583.249,68406.403,78896.187,72780.336,104030.978,100436.731,94586.849
"Q:Quarterly","S:Amounts outstanding / Stocks","NL:Netherlands","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JP:Japan",Q:S:NL:4R:F:I:A:A:TO1:A:JP,,,,,,,23918,-,14803,13927,12845,14138,9700,10905,10525,10746,9158,4755,4491,3919,3502,5145,6605,8264,8675,11293,9200,9066,15053,23914,27915,27451,26926,23896,23917,23702,17303,20370,18331,16818,20195,17046,7356,4003,4873,5354,5626,5567,4863,4225,2587,2640,1997,2103,3137,2823,2462,2220,2354,5766,4269,3876,5426,5697,5837.73,6469.33,9466.36,9802.157,7799.378,6483.373,6763.751,6001.447
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","JP:Japan",Q:S:US:4R:U:X:A:A:TO1:A:JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21898,22808,23759,22718,7137,6959,7320,7581,29106,28938,29673,29857,30052,27766,17630,18385,26218,37084,34193,20990,27599,37430,34317,27890,26800,24000,21738,23424,40864,21581,27436,22145,27407,25771,31455,40448,77317,52611,59475,49336,78339,78853,71170
