BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Kenya"
"Country: Kenya"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","KE:Kenya",Q:S:AU:4R:U:C:A:A:TO1:B:KE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.107,129.48,-,0.005,0.005,0.005,0.004,0.005,0.005,0.004,0.004,0.005,0.004,0.004
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","KE:Kenya",Q:S:AU:4R:U:C:A:A:TO1:R:KE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,-,-,-,-,-,2,2,-,-,-,-,1,1,1,-,1,-,1,1,1,10,9,9,9,9,9,7,6.274,6.582,5.737,5.516,5.403,4.754,5.567,5.208,5.137,4.697,4.255,3.361,31.997,62.275
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","KE:Kenya",Q:S:TW:4R:F:C:A:A:TO1:A:KE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,-,-,\,-,\,\,-,\,\,\,\,\,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,\,\,\,\,\,3,\,\,\,\,\,\,\,\,\,\,\,1,1,2,1,2,2,1,1
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","KE:Kenya",Q:S:IT:4R:F:I:A:A:TO1:A:KE,,,,,,,,,,,\,-,\,-,-,-,-,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,7,\,\,\,\,\,\,\,\,\,\,\,11.758,9.108,9.706,7.765,7.839,9.793,11.533,14.331
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","KE:Kenya",Q:S:BE:4R:F:C:A:A:TO1:A:KE,4,-,4,-,4,-,5,-,3,-,3,-,2,-,2,-,2,-,-,-,-,-,2,-,1,-,-,-,3,-,-,-,-,-,-,-,1,-,1,-,17,-,23,-,1,-,4,-,79,-,31,-,37,-,32,-,80,-,67,-,66,-,79,-,89,100,72,109,124,131,130,93,81,80,93,107,116,105,102,109,87,107,82,81,83,75,71,61,55,60,51,49,48,49,45,41,66,65,83,106,64,64,65,71,66,68,62,69,65,66,69,68,71,77,64,71,69,70,66,70,76,78,79,77,78,75,76,79
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","KE:Kenya",Q:S:AU:4R:Q:C:A:A:TO1:A:KE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.96,126.337,-2.986,-3.343,-3.651,-4.314,-4.404,-2.92,-1.411,-1.331,-2.065,-1.953,-2.631,-1.103
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","KE:Kenya",Q:S:5A:4R:U:C:A:A:TO1:A:KE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177,1110,1918,1959,2121,2254,1413,1456,1421,1568,2973,1942,3972,4101,3874,3456,3472,3406,3722,3598,3561,3304,3715,3705,4038,3738,3605,4281,4235,4726.567,4655.256,4642.507,4941.242,5075.151,4933.508,5205.063,4912.232,5711.69,5821.464,6204.573,6362.755,5989.714,6033.077
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","KE:Kenya",Q:S:AT:4R:U:C:A:A:TO1:O:KE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,-,-,-,-,-,-,\,\,\,\,\,\,5.403,5.005,5.011
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","KE:Kenya",Q:S:JP:4R:F:I:A:U:TO1:A:KE,\,-,38,-,\,-,31,-,39,-,125,-,35,-,39,-,52,-,47,-,57,-,39,-,60,-,37,-,32,-,25,-,29,-,23,-,15,-,8,-,9,-,12,-,12,-,16,-,16,-,23,-,19,-,26,-,18,-,13,-,7,-,13,-,12,6,5,12,13,10,8,11,14,13,11,10,14,20,22,14,15,21,24,15,32,43,36,21,13,8,9,15,18,21,22,28,43,57,54,50,60,59,43,37,38,50,61,46,36,37,56,79,80,67,44,55,44,55,65,74,69,82,87,73,52.17,50.3,35.737,34.943
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","KE:Kenya",Q:S:SE:4R:U:C:A:A:TO1:B:KE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,-,-,-,\,\,\,\,\,\,\,2,\,\,\,\,\,3,5,4,1,1,7,\,\,\,\,1.469,\,2.376,4.882
