BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in South Korea"
"Country: South Korea"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","BR:Brazil","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","KR:South Korea",Q:S:BR:4R:F:I:A:U:TO1:A:KR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-,-,-,93,232,236,234,191,198,192,202,141,272,890,2533,2032,1580,2527,308,240,140,181,411,414,424,466,-,51,55,160,157,509,827,739,813,213,3,882,485,503,1018,1005,502,569,157,75
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","KR:South Korea",Q:S:TW:4R:U:C:A:A:TO1:A:KR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2816,2862,2984,2926,3156,3267,3738,3872,4344,4871,4926,5283,5063,4974,4301,2377,1863,2083,3209,3416,3888,3999,4061,4578,4621,4594,3649,3928,4387,4725,4693,4391,4222,4261,3937,3034,3057,3158,3176,3078,3862,4226,4194
"Q:Quarterly","S:Amounts outstanding / Stocks","FI:Finland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","KR:South Korea",Q:S:FI:4R:F:I:A:A:TO1:A:KR,,,,,,,,,56,-,73,-,87,-,53,-,51,-,59,-,71,-,111,-,34,-,92,-,127,-,142,-,116,-,103,-,77,-,31,-,39,-,84,-,110,-,89,-,90,-,147,-,170,-,106,-,61,-,28,-,22,-,13,-,13,20,40,48,53,44,30,34,159,148,151,154,173,178,179,178,167,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,-,-,-,-,-,-,-,-,-,\,\,1,\,1,\,0,\,\,\,\,\,\,\,\,-,-,-,-,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","KR:South Korea",Q:S:SE:4R:U:C:A:A:TO1:B:KR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,18,35,15,28,4,2,2,22,-,17,22,168,37,71,54,47,20,20,3,2,2,4,2,8,14,9,109,67,2,1,5,2,3,\,\,\,\,585.629,\,629.226,530.925
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","KR:South Korea",Q:S:TW:4R:Q:C:A:A:TO1:A:KR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461,388,405,373,689,730,793,770,903,770,756,657,560,558,479,540,681,662,567,752,664,487,464,907,613,216,-364,-413,-301,-1636,-344,287,-48,-885,-853,11,361,668,956,723,1116,1163,1127,631,734,1127,1493,1504,1144,965,1130,570,254,129,196,-187,118,670,715,888
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","KR:South Korea",Q:S:TW:4R:U:W:A:A:TO1:A:KR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,72,64,64,62,33,26,43,37,24,23,6,7,7,7,3,8,22,21,15,14,14,18,18,6,16,21,126,96,202,209,195,361,125,204,176,98,97,100,99,98,96,97
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","KR:South Korea",Q:S:GB:4R:F:I:A:A:TO1:A:KR,2351,-,2355,-,2211,-,2082,-,2113,-,2274,-,2031,-,1840,-,1678,-,1448,-,1184,-,1129,-,1034,-,1116,-,1233,-,1406,-,1634,-,1671,-,1504,-,1870,-,1825,-,2133,-,2524,-,2969,-,3861,-,4140,-,5643,-,6064,-,6924,-,5634,-,5551,-,4685,-,5106,5419,4745,5038,4790,4621,4335,4410,4854,5684,6942,6209,6692,5108,5411,4607,4693,6025,5164,7746,7227,11269,9733,12841,9422,12391,10791,16261,12233,17630,16776,19121,27096,40831,33929,35945,21269,23387,23142,23922,24212,27654,27843,32561,27080,30689,31290,31646,28249,30572,28975,28065,28191,26284,24498,25546,21169,20816,23732,24618,23481,21261,21234,19577
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4B:Domestic Banks","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","KR:South Korea",Q:S:KR:4B:F:I:A:U:TO1:A:KR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51062.638,54632.351,53735.651,55452.127,52443.196,52873.57,50362.221,50086.01
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","KR:South Korea",Q:S:5A:4O:F:I:A:U:TO1:A:KR,14454,-,13594,-,12952,-,13030,-,13689,-,13447,-,12379,-,12078,-,13034,-,12353,-,12472,-,13287,-,15554,-,16514,-,20377,-,21844,-,23893,-,26085,-,26639,-,29046,-,29347,-,34908,-,40143,-,51439,-,54275,-,62332,-,67506,-,70915,-,58647,-,32265,-,29284,-,34102,-,35076,39356,35853,33749,32765,31547,30136,31953,30915,37628,37376,40310,37401,37970,38599,39914,45499,51566,44839,43688,49249,58310,60661,60163,52583,66462,80721,94316,84448,103657,103002,115348,126814,156754,151392,144737,100013,108742,111089,118381,119649,132399,136551,143068,126721,134299,139806,132444,119871,128201,123943.734,120694.181,113642.986,113776.137,116426.84,115571.936,106229.552,111036.928,120976.662,112417.947,106730.589,106439.094,100615.097,94969.318
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","KR:South Korea",Q:S:IT:4R:F:I:A:A:TO1:A:KR,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1166,\,\,\,\,\,\,\,\,\,\,\,349.327,247.668,377.655,165.536,181.259,198.937,208.169,163.454
