BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Cayman Islands"
"Country: Cayman Islands"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","MX:Mexico","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","KY:Cayman Islands",Q:S:MX:4R:F:I:A:A:TO1:A:KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,-,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,180,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,116,18.244,53.952,22.127
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","KY:Cayman Islands",Q:S:SE:4R:U:C:A:A:TO1:B:KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,151,33,75,77,54,61,5,18,5,6,9,46,44,45,59,7,4,1,13,3,-,6,6,12,134,160,41,75,66,70,66,153,10,18.675,33.87,26.549,162.442,10.957,6.862,14.61,5.656
"Q:Quarterly","S:Amounts outstanding / Stocks","FI:Finland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","KY:Cayman Islands",Q:S:FI:4R:F:I:A:A:TO1:A:KY,,,,,,,,,51,-,383,-,124,-,360,-,434,-,389,-,299,-,319,-,536,-,750,-,669,-,1139,-,1481,-,913,-,342,-,1571,-,2673,-,2221,-,1113,-,1338,-,891,-,809,-,1142,-,544,-,930,-,648,-,707,-,360,-,531,300,313,358,200,242,316,459,290,221,563,492,476,157,136,160,556,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,0,0,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","KY:Cayman Islands",Q:S:TW:4R:U:W:A:A:TO1:A:KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,195,138,76,68,57,58,59,59,70,52,67,67,68,71,69,62,61,55,20,33,37,20,16,18,18,14,15,2,3,5,20,30,20,19,9,6,8,14,21,30,33,34
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","KY:Cayman Islands",Q:S:GB:4R:F:I:A:A:TO1:A:KY,2557,-,2989,-,3049,-,3054,-,2690,-,2368,-,3010,-,3414,-,4361,-,3928,-,3661,-,3911,-,4191,-,4780,-,4145,-,3441,-,3790,-,3296,-,3892,-,4769,-,4814,-,6392,-,4307,-,5991,-,6245,-,5662,-,6091,-,5164,-,7466,-,6999,-,7920,-,8474,-,9709,9999,14111,16971,19039,22751,27309,28573,31132,33768,36634,35941,36686,38660,35700,36805,36625,41480,45185,52894,55199,64342,61825,68785,69074,79951,76933,78685,81918,69763,78739,104504,96728,96616,89720,98238,87527,81619,78347,78865,77305,79008,79131,75402,76699,78048,71525,63905,60556,54919,58070,55133,50523,50018,44655,41831,41727,41527,47449,47921,48951,50033,46707,55871
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","KY:Cayman Islands",Q:S:TW:4R:U:C:A:A:TO1:A:KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862,995,999,1175,1236,1437,1586,1765,1822,2421,2485,2122,2000,2069,2234,2007,2015,2192,1981,1877,2343,2507,2734,2735,3157,3399,3538,3592,3865,4381,4779,5664,6334,6608,7015,7359,8644,9584,9439,9193,9375,9009,9200
"Q:Quarterly","S:Amounts outstanding / Stocks","MX:Mexico","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","KY:Cayman Islands",Q:S:MX:4R:F:C:A:A:TO1:A:KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,-,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,180,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,116,18.244,53.952,22.127
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","KY:Cayman Islands",Q:S:TW:4R:U:C:A:A:TO1:R:KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841,985,988,1090,1207,1387,1463,1566,1562,2084,2207,1869,1812,1918,2089,1881,1882,2065,1835,1745,2234,2344,2652,2651,3059,3298,3438,3466,3746,4189,4615,5557,6192,6529,6961,7316,8474,9516,9365,9162,9334,8967,9143
"Q:Quarterly","S:Amounts outstanding / Stocks","CA:Canada","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","KY:Cayman Islands",Q:S:CA:4R:U:C:A:A:TO1:O:KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,356,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,538.741,584.952,520.844,495.437
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","KY:Cayman Islands",Q:S:IT:4R:F:I:A:A:TO1:A:KY,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,6906,\,\,\,\,\,\,\,\,\,\,\,\,\,\,2190.868,2634.467,2136.538,2065.538,2186.017
