BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Sri Lanka"
"Country: Sri Lanka"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","LK:Sri Lanka",Q:S:5A:4R:F:I:A:U:TO1:A:LK,262,-,167,-,196,-,170,-,174,-,423,-,241,-,212,-,217,-,315,-,577,-,244,-,178,-,139,-,96,-,147,-,261,-,91,-,147,-,198,-,207,-,437,-,437,-,467,-,392,-,447,-,401,-,328,-,362,-,332,-,310,-,651,-,788,754,587,702,567,532,754,581,497,560,498,465,429,411,423,459,430,398,488,462,512,671,747,977,1050,861,1224,1208,1251,1345,1517,1355,1771,2140,2034,2354,2216,1782,1471,1686,1609,1688,1453,1574,1853,2020,2066,2047,1979,2027,2091.15,2249.659,2530.63,2329.133,2167.783,2388.273,2631.555,2322.298,2445.672,2473.987,2605.355,2744.889,2709.08,2583.477
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","LK:Sri Lanka",Q:S:FR:4R:U:X:A:A:TO1:A:LK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,22,16,13,15,13,28,11,17,11,11,9,4,6,4,4,4,4,4,3,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,-,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","LK:Sri Lanka",Q:S:IT:4R:U:C:A:A:TO1:A:LK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,-,-,\,\,\,\,\,\,\,\,\,\,\,-,-,\,\,1,\,\,\,\,\,\,\,\,\,\,\,4.784,5.044,3.197,3.679,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","FI:Finland","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","LK:Sri Lanka",Q:S:FI:4R:Q:C:A:A:TO1:A:LK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12,-,-15,-15,-14,-14,-13,-13,-12,-12,-11,-11,-10,0,0,0,0,0,0,\,\,\,\,-,-,-,-,-,-,-,-,\,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","LK:Sri Lanka",Q:S:IT:4R:U:C:A:A:TO1:B:LK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,-,-,\,\,\,\,\,\,\,\,\,\,-,-,-,-,-,-,-,-,-,\,\,\,-,-,-,-,\,2.744,3.138,1.078,1.715,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","LK:Sri Lanka",Q:S:BE:4R:F:I:A:U:TO1:A:LK,5,-,-,-,-,-,-,-,-,-,1,-,1,-,2,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,3,2,3,3,4,5,6,8,7,6,8,5,6,3,4,3,4,3,3,3,4,9,2,3,3,9,9,9,5,8,7,8,16,16,10,11,12,11,11,10,0,-,-,-,-,-,-,-,5,-,1,5,5,2,9,4,-,-,-,1,-,1,30,30
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","LK:Sri Lanka",Q:S:GB:4R:U:X:A:A:TO1:A:LK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,138,142,144,114,172,198,245,267,181,257,267,254,209,253,262,246,334,321,260,262,296,257,52,48,74,58,63,75,39,84,178,231,117,105,117,207,186,139,89,194,178,120
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","LK:Sri Lanka",Q:S:SE:4R:F:I:A:U:TO1:A:LK,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,-,-,\,-,\,-,\,-,\,-,\,-,-,-,-,-,-,-,-,-,-,-,-,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,-,-,\,-,-,-,-,-,-,-,-,-,\,\,\,-,-,-,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,2,\,\,\,\,\,22,29,33,48,37,41,47.298,47.209,46.774,44.161,43.231,40.545,39.953,38.194
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","LK:Sri Lanka",Q:S:JP:4R:U:C:A:A:TO1:R:LK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,1,2,1,1,1,0,0,50,0,3,34,0,32,0,0,0,18,0,0,0,0,-,0,0,1,0,0,0,0,1,0,1,2,1.6,2.2,2.6,2.3,2.2,1.9,2.1,2.2
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","LK:Sri Lanka",Q:S:JP:4R:F:I:A:A:TO1:A:LK,\,-,122,-,\,-,158,-,148,-,403,-,165,-,166,-,170,-,218,-,515,-,111,-,57,-,67,-,59,-,106,-,159,-,46,-,64,-,31,-,45,-,33,-,42,-,35,-,37,-,60,-,33,-,40,-,79,-,51,-,63,-,35,-,83,134,106,31,38,36,34,60,38,34,61,24,30,34,31,30,27,25,22,22,25,24,22,25,38,36,36,34,34,35,83,23,31,62,42,57,19,11,10,48,58,41,71,73,148,149,140,166,202,122,198,277,319,162,197,199,161,205,162,157,241.2,165.3,215.5,233
