BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Luxembourg"
"Country: Luxembourg"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","LU:Luxembourg",Q:S:GB:4R:U:X:A:A:TO1:A:LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1847,2160,3435,3648,4003,3945,3768,5834,7278,8284,6412,6235,3899,5007,5498,4413,4443,3480,3344,2645,2603,3826,3822,3273,4022,4669,3005,3562,2734,3217,3934,5035,5090,4982,5261,5051,5662,5563,4828,9376,6359,4727,5326
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","LU:Luxembourg",Q:S:SE:4R:F:I:A:U:TO1:A:LU,,,,,,,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,2444,\,\,\,\,\,3941,5425,6367,8473,8273,7589,5967.624,5744.124,7332.978,7140.393,\,5524.745,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","FI:Finland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","LU:Luxembourg",Q:S:FI:4R:U:C:A:A:TO1:F:LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343,484,707,\,1296,328,247
"Q:Quarterly","S:Amounts outstanding / Stocks","FI:Finland","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","LU:Luxembourg",Q:S:FI:4R:Q:C:A:A:TO1:A:LU,,,,,,,-60,-,-5,20,18,26,28,-20,20,-26,26,43,73,20,-33,21,71,71,29,\,\,\,\,\,\,\,\,\,\,\,-,\,-,-,-,-,-,-,-,-,-,-,-,-,0,0,\,\,\,\,\,\,\,\,\,\,0,\,0,-,-,-,\
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","LU:Luxembourg",Q:S:JP:4R:U:C:A:A:TO1:R:LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20214,18790,20328,22688,23946,25384,26189,26697,27442,28576,33490,36296,38605,38133,35598,33344,27936,29144,31709,33327,37708,36547,39100,40188,39984,41507,40875,38790,38621,38497,39961,38614,63718,67863,66387,65520.5,67826.5,73067.6,74152.2,72033.4,73615.4,75783.2,70311.6
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","LU:Luxembourg",Q:S:CH:4R:F:I:A:U:TO1:A:LU,,,,,,,5296,-,5972,8955,7148,6889,6182,6649,6390,7212,7225,5448,5946,6143,8518,9026,8808,10695,11183,12958,11232,12820,15556,15331,9778,11928,13690,17546,17652,13906,13085,16670,19940,18964,25285,25480,26278,29650,22597,20170,22051,26187,22269,21102,20625,18315,20309,20287,20225,18227,13886,14602,12268,12990,13308,14763,16579,16076,18660.205,16372.751,17159.591,16149.125,13830.564,12018.814,11585.019,9187.161
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","LU:Luxembourg",Q:S:FR:4R:U:X:A:A:TO1:A:LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4425,3798,4471,3843,6726,6772,5636,3156,4069,11418,8013,6764,11186,11960,13269,6870,7371,7926,8143,10714,\,\,\,10467,18750,18469,17413,15736,18165,18165,8297,7747,9079,10046,10082,9808,10885,11536,10236,19093,16322,16955,18486
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","LU:Luxembourg",Q:S:AU:4R:F:B:A:A:LC1:A:LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.606,4.314,4.479,4.125,3.129,3.696,2.272,1.501,1.665
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","LU:Luxembourg",Q:S:SE:4R:U:C:A:A:TO1:A:LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2719,2882,2711,2676,2948,3409,3317,3642,4414,4366,3781,3798,4746,6087,5037,4860,5457,5273,5970,6271,6431,7430,6747,8520,8968,8380,8287,9350,7572,9647,12643,11129,12000,11472,11363.954,9859.227,11469.665,11463.951,12415.632,8828.792,7368.054,8780.873
"Q:Quarterly","S:Amounts outstanding / Stocks","BR:Brazil","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","LU:Luxembourg",Q:S:BR:4R:F:I:A:U:TO1:A:LU,,,,,,,,,,,,,,,,,,,,,596,655,654,910,529,423,684,542,550,921,548,557,389,397,550,285,418,1477,276,496,449,633,1320,919,831,856,1612,1767,814,699,851,880,817,1002,1317,930,1058,1352,1239,2268,2007,2691,2032,1811,2521,3094,2279,10385,2359,2157,2102,1600
