BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Marshall Islands"
"Country: Marshall Islands"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","MH:Marshall Islands",Q:S:FR:4R:U:C:A:A:TO1:R:MH,,,,,,,,,,56,75,110,140,202,242,219,405,273,331,508,764,817,913,986,951,998,1064,969,1831,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,3685
"Q:Quarterly","S:Amounts outstanding / Stocks","CA:Canada","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:CA:4R:F:I:A:U:TO1:A:MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,-,-,-,-,-,\,\,\,\,27.722
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:BE:4R:F:I:A:A:TO1:A:MH,73,57,74,85,105,99,58,50,106,246,256,347,336,307,336,339,296,326,402,621,656,671,745,1068,974,1040,1177,1164,106,114,126,131,119,119,119,139,138,144,144,145,144,143,143,142,141,101,-,1,-,1,-,1
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","MH:Marshall Islands",Q:S:IT:4R:U:C:A:A:TO1:R:MH,,,,,,,,,,\,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1215,\,\,\,\,\,\,\,\,\,\,\,1308.74,1260.982,1198.897,1173.465,1101.795,1109.762,1104.747,1130.672
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:GB:4R:F:I:A:U:TO1:A:MH,,,,,43,37,36,235,252,251,319,156,500,656,1052,960,1337,135,118,147,203,189,261,656,696,302,222,243,279,209,241,366,413,333,336,245,408,516,529,539,546,2584,241,325,319,612,342,546,445,385,505,214
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","MH:Marshall Islands",Q:S:BE:4R:F:B:A:A:LC1:A:MH,,,,,,,,,,,,,,,,,,,,,,,9,18,0
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:AU:4R:U:C:A:A:TO1:A:MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,10,24,42,45,76.396,90.054,92.977,96.718,133.664,142.893,99.568,181.701,71.17,82.435,117.658,98.474,1.223,30.954
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","MH:Marshall Islands",Q:S:5A:4R:U:C:A:A:TO1:O:MH,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,15,0,6,7,13,11,5,10,6,0,1,1,-,2,0,0,0,3,0,0,1,0,0,0,0,21,21,20,20,19,19,19
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:GB:4R:U:X:A:A:TO1:A:MH,,,,,,,,,,183,378,663,1216,2335,1683,1169,1344,1528,1320,803,2325,1801,2113,1700,668,1311,1135,964,975,734,802,561,369,357,154,338,394,420,452,145,152,203,47,47,91,115,113,53,45,42,14,64
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","MH:Marshall Islands",Q:S:SE:4R:F:I:A:U:TO1:A:MH,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,397,\,\,\,\,\,576,517,509,520,532,570,609.722,470.699,465.87,616.898,627.94,639.025,755.442,834.86
