BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Macao SAR"
"Country: Macao SAR"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MO:Macao SAR",Q:S:US:4R:Q:C:A:A:TO1:A:MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7,-,-11,-5,-7,-8,-3,-11,-11,-9,-5,-7,-4,-9,2,-1,1,-10,-2,-8,-10,-10,-46,-35,-48,-61,-30,-40,-37,-26,-11,-58,-78,-91,-82,-70,-53,-86,-59,-74,-59,-43,-46,-122,-529,-131,-353,-438,-479,-896,-128,237,136,130,152,184,182,83,71,-8,49,144,91,119,138,44
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","MO:Macao SAR",Q:S:GB:4R:F:I:A:U:TO1:A:MO,64,-,86,-,33,-,69,-,98,-,92,-,122,-,119,-,149,-,128,-,101,-,119,-,156,-,180,-,139,-,143,-,172,-,135,-,119,-,194,-,273,-,437,-,224,-,268,-,299,-,253,-,354,-,300,-,333,-,326,-,328,-,-,-,248,246,229,-,169,146,149,143,151,151,174,160,142,166,175,161,206,187,216,221,267,240,280,322,342,307,422,463,499,563,572,562,786,900,1099,1256,899,907,743,854,759,858,899,1167,1162,1140,1572,1457,1333,1408,1325,1350,1146,1239,1476,1587,1327,1644,2176,1837,1970,1909,2742,1987
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","MO:Macao SAR",Q:S:5A:4R:U:C:A:A:TO1:O:MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,282,402,336,212,299,336,457,492,418,446,550,432,193,563,416,398,513,447,778,395,511,949,1064,738,756,709,727,903,832.455,1327.354,1277.327,837.328,902.247,972.341,1365,781,1051,1112,1377,1145.4,1049.4,1339.254
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MO:Macao SAR",Q:S:KR:4R:F:I:A:A:TO1:A:MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,8,12,5,3,82,327,163,111.535,44.287,189.57,223.322,43.27,182.781,196.513,210.059
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","MO:Macao SAR",Q:S:FR:4R:U:C:A:A:TO1:R:MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,21,23,40,57,63,74,99,89,185,145,231,237,246,254,256,278,282,264,237,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,504
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","MO:Macao SAR",Q:S:IT:4R:U:C:A:A:TO1:R:MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,25,\,\,\,\,\,\,-,-,-,\,-,0.212,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MO:Macao SAR",Q:S:SE:4R:U:C:A:A:TO1:A:MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,-,-,\,-,-,-,\,-,-,-,-,-,-,-,-,-,13,-,0,0,1,5,2,2,\,\,\,\,1.726,\,2.351,1.245
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","MO:Macao SAR",Q:S:BE:4R:U:C:A:A:TO1:B:MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,-,-,-,2,18,23,16,27,9,12,17,17,13,2,11,1,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MO:Macao SAR",Q:S:SE:4R:F:C:A:A:TO1:A:MO,,,,,,,,,,,,,,,3,-,-,-,3,-,1,-,6,-,4,-,4,-,8,-,12,-,12,-,26,-,7,-,11,-,9,-,11,-,6,-,6,-,5,-,12,-,3,-,3,-,6,-,12,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,0,0,1,5,2,2,\,\,\,\,1.726,\,2.351,1.245
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MO:Macao SAR",Q:S:BE:4R:F:I:A:A:TO1:A:MO,,,,,8,-,15,-,17,-,22,-,24,-,44,-,43,-,23,-,39,-,28,-,68,-,99,-,93,-,70,-,62,-,80,-,68,-,40,-,48,-,105,-,20,-,38,-,25,-,20,-,57,-,36,-,30,-,23,-,36,-,33,-,30,30,12,17,9,2,23,4,3,1,6,30,28,2,2,4,11,30,56,33,21,14,22,23,32,12,28,59,86,78,80,60,228,234,209,146,78,146,115,76,5,3,2,-,-,112,144,4,4,5,4,-,1,2,1,5,-,3,2,3,2,7,9,3
