BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Malta"
"Country: Malta"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MT:Malta",Q:S:AU:4R:U:X:A:A:TO1:A:MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,-,-,-,-,-,-,-,-,-,-,-,-,16,10,5,3,3,3,2,-,-,-,-,1,-,-,13,-,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.065,0.007,0.069,6.458,0.006
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MT:Malta",Q:S:US:4R:Q:C:A:A:TO1:A:MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29,-,-41,-66,-127,-188,-81,-72,-65,-42,-34,-7,-32,-96,-86,-85,-35,-37,-93,-57,-5,-60,-35,-13,-40,-130,-128,-105,-314,-361,-259,-307,-254,-78,-110,-86,-554,-279,-215,-112,-83,-129,-96,-114,-26,-3,-41,-28,-978,-495,-1376,-611,-1061,-957,-668,-1094,-668,-1848,-1456,-1365,-1739,-1707,-1660,-1672,-1405,-1432
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MT:Malta",Q:S:SE:4R:F:C:A:A:TO1:A:MT,,,,,,,,,,,,,,,,,,,2,-,6,-,7,-,11,-,23,-,16,-,15,-,13,-,15,-,4,-,1,-,6,-,4,-,5,-,4,-,3,-,6,-,5,-,5,-,4,-,7,-,4,-,4,-,15,21,19,22,21,24,27,14,17,16,16,21,20,21,15,15,32,34,29,35,68,71,131,90,114,116,99,87,96,75,66,102,29,45,93,66,84,82,79,95,138,138,130,145,125,155,123,131,122,182,199,205,204,161,123,100,\,\,\,\,91.106,\,87.887,183.542
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MT:Malta",Q:S:TW:4R:F:I:A:A:TO1:A:MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,10,5,-,-,2,2,2,7,8,8,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,54,52,51,80,81,85,82,79
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MT:Malta",Q:S:SE:4R:U:C:A:A:TO1:A:MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,91,114,116,99,87,96,75,66,102,24,35,84,58,76,78,73,88,131,135,126,140,120,149,117,125,117,177,192,200,199,156,118,95,82.77,89.168,102.126,88.61,87.221,62.074,81.597,177.4
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","MT:Malta",Q:S:BE:4R:U:C:A:A:TO1:B:MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,16,40,95,64,139,156,88,73,32,59,17,113,65,103,82,87,64,4,1,11,4,7,7,8,8,-,-,-,-,-,-,18,18,18,-,-,-,-,-,-,-,1
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","MT:Malta",Q:S:FR:4R:U:C:A:A:TO1:R:MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,134,194,216,137,142,224,259,292,216,163,122,113,305,188,258,257,296,266,496,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1027
"Q:Quarterly","S:Amounts outstanding / Stocks","NL:Netherlands","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MT:Malta",Q:S:NL:4R:F:C:A:A:TO1:A:MT,,,4,-,1,-,1,-,1,-,2,-,5,-,3,-,2,-,3,-,7,-,12,-,14,-,14,-,31,-,89,-,38,-,34,-,39,-,30,-,36,-,35,-,62,-,63,-,119,-,140,-,131,-,143,-,127,-,136,-,206,-,202,-,194,126,133,108,133,94,93,79,76,41,38,40,39,44,46,60,77,83,76,135,74,111,120,140,163,142,215,572,438,484,511,448,392,645,718,924,1059,738,759,824,804,823,771,737,731,732,660,594,849,789,633,666,654,732,733,811,923.997,740.416,1077.616,1392.938,1569.831,1734.351,1042.815,947.774
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","MT:Malta",Q:S:AU:4R:U:C:V:A:TO1:A:MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,-,-,-,-,-,-,-,-,2,7,-,-,-,-,3,2,1,-,-,15,22,7,-,9,6,8,4,1,3.129,0.509,0.905,0.945,1.596,0.286,-,1.161,1.462,3.52,7.466,7.721,1.303,2.087
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","MT:Malta",Q:S:IT:4R:U:C:A:A:TO1:R:MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,561,\,\,\,\,\,\,\,\,\,\,\,582.164,512.885,513.697,554.717,538.772,554.95,460.06,423.095
