BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Malaysia"
"Country: Malaysia"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MY:Malaysia",Q:S:SE:4R:U:C:A:A:TO1:A:MY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,6,51,49,56,64,63,70,90,86,87,85,9,8,7,40,41,39,40,37,42,34,22,21,45,14,14,13,18,19,26,104,41,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MY:Malaysia",Q:S:KR:4R:U:C:A:A:TO1:A:MY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258.989,646.181,874.462,828.534,1614.875,1003.696,1158.06,937.021
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MY:Malaysia",Q:S:SE:4R:F:C:A:A:TO1:A:MY,31,-,23,-,33,-,20,-,37,-,34,-,35,-,44,-,42,-,29,-,25,-,13,-,20,-,12,-,52,-,11,-,22,-,14,-,26,-,22,-,32,-,34,-,29,-,22,-,38,-,37,-,92,-,88,-,53,-,45,-,17,-,23,-,19,24,20,14,14,15,56,50,39,33,38,34,33,30,28,24,24,20,19,14,18,9,7,6,7,51,49,562,577,538,597,582,578,543,539,431,429,395,425,395,390,360,353,328,316,275,269,264,229,200,194,170,167,145,223,131,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","NL:Netherlands","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MY:Malaysia",Q:S:NL:4R:F:C:A:A:TO1:A:MY,20,-,25,-,167,-,148,-,164,-,154,-,160,-,147,-,111,-,72,-,63,-,73,-,134,-,144,-,180,-,156,-,197,-,204,-,428,-,489,-,456,-,623,-,468,-,470,-,462,-,615,-,1251,-,1690,-,1340,-,1261,-,1243,-,1310,-,1304,1434,1495,1507,1431,1386,1325,1296,1424,1704,1364,1274,1308,1482,1795,1307,1792,1895,1484,1416,2344,2623,2808,2332,1942,2492,2621,2554,2740,3996,4306,5361,4891,6638,6538,3302,2227,1802,1808,1910,2454,1999,989,1802,990,1637,845,491,578,570,534,431,550,1998,598,1274,990.194,1697.303,2060.992,1506.185,653.186,682.121,914.141,1068.766
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MY:Malaysia",Q:S:AU:4R:U:X:A:A:TO1:A:MY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,-,-,-,-,-,-,-,-,-,-,46,37,74,54,21,8,10,7,7,4,5,9,16,14,5,5,5,11,16.942,15.014,12.519,14.782,91.666,50.864,78.389,97.887,78.651,172.452,111.758,37.69,137.068,98.846
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MY:Malaysia",Q:S:KR:4R:Q:C:A:A:TO1:A:MY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.933,-20.953,-20.952,-18.958,-19.901,-19.903,-13.906,-14
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","MY:Malaysia",Q:S:DE:4R:U:C:A:A:TO1:O:MY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,-,-,\,\,\,\,\,\,\,\,\,\,\,\,123,125,10,12,43,11,49,327
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","MY:Malaysia",Q:S:BE:4R:F:B:A:A:LC1:A:MY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,-,2,2,2,2,2,2,44,66,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,23,29,31,34,35,30,29,30,0
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","MY:Malaysia",Q:S:JP:4R:U:C:A:A:TO1:R:MY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2668,2801,3197,3236,3039,3039,3608,3455,3320,3305,3163,3766,3913,4844,5668,5904,5657,5342,5106,5338,5483,5564,5696,5916,7011,7262,7052,7704,8482,8498,9478,9086,9712,9691,9551,9616.3,10706.5,11393.1,12897.5,11497.6,12592.3,12918.8,13030.7
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","MY:Malaysia",Q:S:AU:4R:F:B:A:A:LC1:A:MY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,2,9,10,21,20.585,26.573,26.523,27.908,29.736,28.144,25.869,21.634,26.015,27.568,35.477,37.26,37.743,28.855
