BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Mozambique"
"Country: Mozambique"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MZ:Mozambique",Q:S:SE:4R:U:C:A:A:TO1:A:MZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,-,\,-,-,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,49,\,\,\,\,\,70,77,102,102,94,98,\,\,\,\,77.673,\,77.266,90.996
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","MZ:Mozambique",Q:S:5A:4R:U:C:V:A:TO1:A:MZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,1,0,0,0,3,1,1,6,2,3,7,3,2,6,10,4,3,6,6,7,3,5,5,5,5,5,14,6.693,5.232,6.577,9.107,1.958,0.197,0.17,0.804
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MZ:Mozambique",Q:S:SE:4R:F:C:A:A:TO1:A:MZ,,,,,,,,,,,,,,,,,,,,,,,,,\,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,\,-,-,-,-,-,-,-,-,-,-,-,\,-,\,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,\,-,-,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,69,\,\,\,\,\,92,100,123,122,113,115,\,\,\,\,88.777,\,85.96,99.665
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","MZ:Mozambique",Q:S:5A:4R:U:C:A:A:TO1:F:MZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,25,29,68,103,96.9,154.1,178.1
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MZ:Mozambique",Q:S:FR:4R:U:C:A:A:TO1:A:MZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,172,183,164,195,192,189,185,201,194,199,185,209,193,176,159,154,153,158,162,163,\,\,172,184,181,171,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,231
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MZ:Mozambique",Q:S:US:4R:Q:C:A:A:TO1:A:MZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-1,1,-,-,\,1,-,-,-,-,-,-,-1,-,-,-,-,-,-,-,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-,-2,-1,-2,-2,-1,-2
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MZ:Mozambique",Q:S:ES:4R:U:X:A:A:TO1:A:MZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,\,\,\,\,\,\,\,\,\,\,\,\,0.114,0.083,0.063,0.081,0.066,0.419,1.045
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","MZ:Mozambique",Q:S:IT:4R:F:I:A:U:TO1:A:MZ,,,\,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,\,-,\,-,-,-,-,-,\,-,\,-,\,-,\,-,\,-,\,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,\,\,-,-,-,-,-,-,-,-,-,-,-,-,-,-,\,\,\,\,\,8,\,\,\,\,\,\,\,\,\,\,-,0.582,0.451,0.523,0.881,0.331,0.179,0.512,0.881
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MZ:Mozambique",Q:S:FR:4R:F:C:A:A:TO1:A:MZ,\,-,127,-,\,-,112,-,126,-,133,-,144,-,142,-,167,-,125,-,131,-,121,-,120,-,123,-,122,-,88,-,72,-,56,-,45,-,36,-,31,-,29,-,27,-,25,-,22,-,17,-,13,-,12,-,131,-,140,-,152,-,150,-,146,149,145,150,150,145,133,152,204,194,236,232,234,239,258,248,244,229,225,226,244,233,211,221,199,231,226,221,216,232,221,228,224,234,226,217,197,194,190,195,194,206,80,206,219,231,220,203,186,186,166,174,165,154,147,159,\,\,\,\,\,\,\,224
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","MZ:Mozambique",Q:S:BE:4R:F:I:A:A:TO1:A:MZ,,,,,1,-,1,-,1,-,1,-,1,-,1,-,1,-,1,-,2,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,4,-,6,-,8,-,7,-,7,-,7,-,6,-,8,5,-,-,-,-,-,-,-,-,3,5,7,8,19,19,19,27,27,26,30,25,23,23,21,22,20,20,18,19,21,21,20,20,18,18,16,16,14,14,3,3,3,3,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
