BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Netherlands"
"Country: Netherlands"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","FI:Finland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NL:Netherlands",Q:S:FI:4R:F:C:A:A:TO1:A:NL,,,,,,,366,-,807,234,799,270,631,267,277,271,253,301,394,301,1145,680,754,636,697,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1871,2050,1921,\,2518,2330,2157,2485,2243,2295,2225,1923,2058,2182,2188,1925,2045,1878,1658,1475,2487,1873
"Q:Quarterly","S:Amounts outstanding / Stocks","IE:Ireland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","NL:Netherlands",Q:S:IE:4R:U:C:A:A:TO1:O:NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,2448,2908,6290,6954,936,5772,1145,1017,488,838,839,830,729,782,553,647,579,647,945,756,639,654,650,441,468,431,455,472,459,672,781,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NL:Netherlands",Q:S:GR:4R:U:X:A:A:TO1:A:NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,\,\,\,\,\,\,\,\,\,\,\,-,-,-,-,-,10,1
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NL:Netherlands",Q:S:CH:4R:F:C:A:A:TO1:A:NL,,,,,,,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,40092.846,40654.271,42512.855,41727.75,39074.731,43001.323,37288.615,34956.754
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NL:Netherlands",Q:S:SE:4R:F:C:A:A:TO1:A:NL,,,,,,,1840,-,1809,1779,1872,1332,2040,1857,2275,3245,1660,1968,1993,1978,2299,2393,3040,2704,3540,3563,3844,4047,8184,7630,5517,5507,6311,8674,9344,7015,7749,9832,11497,11738,12730,10341,11853,10863,9887,9204,9299,9395,9298,9726,9095,11385,8943,10892,12157,11367,9740,10194,9966,11078,10686,10944,11590,12957,\,\,\,\,12207.211,\,10650.547,11378.862
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NL:Netherlands",Q:S:AU:4R:U:X:A:A:TO1:A:NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,258,343,410,356,356,430,456,544,641,625,2765,2947,3030,2794,2619,1509,1617,1998,1929,1879,1766,1892,1789,1760,2435,1843,1978,745,873.289,807.374,723.655,748.788,549.996,875.337,721.693,1378.37,889.987,839.775,1004.631,986.499,1045.563,1001.853
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NL:Netherlands",Q:S:CH:4R:F:I:A:A:TO1:A:NL,,,,,,,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,40092.846,40654.271,42512.855,41727.75,39074.731,43001.323,37288.615,34956.754
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","NL:Netherlands",Q:S:5A:4O:F:B:A:A:LC1:A:NL,,,,,,,58574,-,63466,55348,60170,60020,62229,60905,58162,62765,69264,67126,75912,75318,79351,73972,79240,80250,109096,100047,103066,105982,124682,133827,132855,141319,123380,130067,137225,146408,142595,161642,166992,170778,244683,267306,265119,238578,57731,53225,58846,65231,56963,73725,112316,112410,112755,108846,112753,159079,157261,170648,113828,140426,161218,121461,131673,109724,107752.884,122939.683,95012.134,82437.487,92283.598,72200.995,88057.274,87783.577
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NL:Netherlands",Q:S:KR:4R:Q:C:A:A:TO1:A:NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.45,-3.437,-3.411,-3.173,-3.04,-2.708,-2.803,-2.813
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","NL:Netherlands",Q:S:DE:4R:U:C:A:A:TO1:O:NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,7452,\,\,\,\,\,\,\,\,\,\,\,13176,13864,13817,15101,15116,13226,12996,13061
