BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Norway"
"Country: Norway"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","CA:Canada","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NO:Norway",Q:S:CA:4R:Q:C:A:A:TO1:A:NO,,,,,,,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-87,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-509.791,\,-145.799,-407.12
"Q:Quarterly","S:Amounts outstanding / Stocks","IE:Ireland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","NO:Norway",Q:S:IE:4R:U:C:A:A:TO1:O:NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,64,64,64,66,68,86,0,0,81,81,71,62,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,-,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","NO:Norway",Q:S:TW:4R:U:C:A:A:TO1:B:NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,115,117,114,134,110,90,75,53,47,74,53,85,116,243,111,89,143,140,135,150,133,103,112,123,140,126,130,110,175,181,191,167,133,135,78,42,74,75,74,73,66,63
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","NO:Norway",Q:S:CH:4R:U:C:A:A:TO1:B:NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NO:Norway",Q:S:CH:4R:F:C:A:A:TO1:A:NO,,,,,,,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,6386.353,6993.892,7281.159,6133.554,5583.235,5688.446,5143.906,5131.754
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NO:Norway",Q:S:SE:4R:F:C:A:A:TO1:A:NO,,,,,,,7890,-,11026,11165,9664,11590,12138,10873,10545,11116,13550,13338,18477,17785,17795,19370,20556,18246,19597,24874,25415,24492,59769,59213,59621,63189,62778,71059,80367,82747,85656,95009,107574,113900,122134,132472,142308,126326,111279,120178,128611,136001,140740,131612,124312,137052,139737,147495,153476,142662,137266,144123,138678,147083,150351,142795,142804,146311,140174.738,142369.455,144978.562,139675.858,124390.374,126414.207,138688.849,124508.731
"Q:Quarterly","S:Amounts outstanding / Stocks","FI:Finland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NO:Norway",Q:S:FI:4R:F:C:A:A:TO1:A:NO,,,,,,,713,-,914,994,586,641,453,1112,2088,3872,6343,8648,9699,12402,10434,10019,10617,10320,8255,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1100,1238,1098,1285,1252,1214,1260,1533,1516,1471,1607,1440,1593,1806,1867,1909,1986,1844,1804,1565,1589,1335
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NO:Norway",Q:S:CH:4R:F:I:A:A:TO1:A:NO,,,,,,,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,6386.353,6993.892,7281.159,6133.554,5583.235,5688.446,5143.906,5131.754
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NO:Norway",Q:S:AU:4R:U:X:A:A:TO1:A:NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,-,-,-,-,-,-,-,-,-,-,52,50,-,-,24,20,20,14,5,5,5,5,24,55,14,17,48,6,5.138,5.245,5.192,5.227,8.358,4.666,4.484,61.752,94.519,32.592,86.76,120.145,137.96,152.425
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","NO:Norway",Q:S:DE:4R:U:X:A:A:TO1:A:NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1907,\,\,\,\,\,\,\,\,\,\,\,1284,1162,1750,1485,1420,1580,1608,1491
