BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Serbia"
"Country: Serbia"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:SE:4R:U:W:A:A:TO1:A:RS,,,,,,,,\,-,-,\,\,\,\,\,\,3,\,\,\,\,\,2,1,1,1,1,1,\,\,\,\,2.088,\,2.13,2.044
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:AT:4R:U:W:A:A:TO1:A:RS,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,714.27,700.268,790.256,658.359,610.266,618.249,591.647,829.523
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:IT:4R:Q:C:A:A:TO1:A:RS,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-422,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:ES:4R:F:I:A:A:TO1:A:RS,0,8,9,9,10,12,11,10,9,8,8,9,9,9,8,9,5,10,10,9,9,8,7,7,8,7,7,7,7,5.562,5.784,5.162,4.722,4.17,4.101,4.077
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:AT:4R:U:C:V:A:TO1:A:RS,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,31.104,18.501,\,\,4.852,23.772,34.978
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","RS:Serbia",Q:S:AU:4R:U:C:A:A:TO1:R:RS,,,,,,,,,,,,,,,,,,,,,,,0.001,0.002,0.002,0.001,0.001,2.003,3.469,2.746,3.929,0.447,0.419,0.39,0.393,0.361
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:FR:4R:F:C:A:A:TO1:A:RS,755,1016,1077,1164,1595,1631,1457,1354,2058,1918,1933,1778,2245,2184,2059,2062,\,3163,3528,3693,3727,4112,3337,7993,9731,8633,8498,7959,\,\,\,\,\,\,\,4010
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","RS:Serbia",Q:S:5A:4R:U:C:A:A:TO1:B:RS,4021,5891,6306,6484,11579,11226,10292,9086,6737,4560,5162,5211,4711,3898,2768,2871,2503,2995,3110,2825,2991,2253,1691,1776,1687,2415,1611,1612,1557.865,1976.69,2163.591,1692.96,979.615,828.022,911.126,862.666
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:CH:4R:U:C:A:A:TO1:A:RS,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,-,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","RS:Serbia",Q:S:FR:4R:F:I:A:A:TO1:A:RS,281,414,458,584,1100,1059,916,1074,1724,1610,1653,1149,1353,\,1480,1358,2020,\,2704,2609,2695,2946,2286,2313,2438,2280,2326,2814,\,\,\,\,\,\,\,2457
