BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Sweden"
"Country: Sweden"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","SE:Sweden",Q:S:TW:4R:U:C:V:A:TO1:A:SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,1
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SE:Sweden",Q:S:JP:4R:Q:C:A:A:TO1:A:SE,,,,,,,306,-,63,403,122,179,35,183,494,304,165,179,76,35,49,-33,-157,-206,-701,43,25,230,-237,-256,-259,-241,-119,-200,216,105,-110,187,773,913,859,1117,613,1275,990,887,1044,1011,1030,573,583,1028,907,213,101,-31,88,338,-7,348,290,214,137,66,78.5,-42,-59.8,-128.5,424.3,465.5,446.2,484.6
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SE:Sweden",Q:S:GB:4R:F:C:A:A:TO1:A:SE,,,,,,,4768,-,7925,7991,7160,7063,7106,8695,8950,8870,8968,9592,9947,9451,8510,8717,8367,9814,10318,11101,10635,10637,16810,11834,12563,12803,11373,15345,15785,16711,18500,21647,18667,22837,20848,21197,17234,23385,14346,15435,14803,19705,15835,21523,20439,22038,17982,21166,16523,24304,16031,16486,14955,14903,16284,13819,16457,14807,15293,14924,15175,14542,13332,16256,13807,12890
"Q:Quarterly","S:Amounts outstanding / Stocks","GR:Greece","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","SE:Sweden",Q:S:GR:4R:U:C:A:A:TO1:F:SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,2
"Q:Quarterly","S:Amounts outstanding / Stocks","PA:Panama","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SE:Sweden",Q:S:PA:4R:F:I:A:A:TO1:A:SE,,,,,,,,,,,,,,,,,,,,,239,305,209,165,82,167,55,56,51,126,126,125,125,101,102,101,100,101,101,102,104,101,211,185,210,170,200,200,300,302,227,227,230,231,164,5,7,3,3,3,2,3,8,9,10,15,18,12,12,11,5,5
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SE:Sweden",Q:S:KR:4R:U:X:A:A:TO1:A:SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.693,244.687,244.693,236.134,241.002,242.511,118.53,117.39
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4B:Domestic Banks","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","SE:Sweden",Q:S:SE:4B:U:C:A:A:TO1:B:SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111359.998,115820.435,102424.608,94834.567,82149.596,80935.085,82018.121,76003.642
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4B:Domestic Banks","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SE:Sweden",Q:S:SE:4B:U:C:A:A:TO1:A:SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820984.779,841449.306,806532.724,762863.873,706682.432,663342.935,704642,695116.581
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SE:Sweden",Q:S:AU:4R:Q:C:A:A:TO1:A:SE,,,,,,,,,,,,,,,,,,,,,,,,,227,94,134,86,355,41,201,407,299,49,124,277,52,86,166,\,33,34,32,451,308,423,233,178,170,205,86,347,78,259,1011,865,676,818,808.52,752.339,1045.267,937.362,1178.019,692.709,689.765,484.356,937.279,171.381,242.939,216.99,250.014,96.475
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SE:Sweden",Q:S:BE:4R:F:C:A:A:TO1:A:SE,,,,,,,3469,-,2732,2976,2243,2137,2367,2265,2083,2553,1858,2510,1921,1967,1797,2068,2178,2689,2625,2496,1998,1900,1896,2163,1866,1670,2262,3493,1963,1650,3404,5231,3880,4104,3990,3779,3973,3591,2649,2262,2667,2093,1243,1247,1004,1147,1102,1055,1066,960,599,763,724,593,604,486,517,508,529,555,574,480,408,434,467,433
