BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Singapore"
"Country: Singapore"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","SG:Singapore","4B:Domestic Banks","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","SG:Singapore",Q:S:SG:4B:U:C:A:A:TO1:F:SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68048.8,59966.7,56060
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","SG:Singapore",Q:S:TW:4R:U:C:V:A:TO1:A:SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,26,26,32,31,57,83,111,170,107,236,249,307,250,110,103,111,125,365,154,95,52,87,148,148,105,125,79,74,55,105,105,73,83,119,119,106,85,82,113,134,124,216
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SG:Singapore",Q:S:GB:4R:F:C:A:A:TO1:A:SG,3632,-,4772,-,5258,-,5950,-,6373,-,7493,-,7134,-,7353,-,7631,-,7532,-,6732,-,6391,-,7000,-,8045,-,8552,-,7088,-,7441,-,8091,-,7937,-,19513,-,20749,-,21815,-,23811,-,28129,-,31185,-,31281,-,33637,-,37082,-,35489,-,31605,-,32571,-,30469,-,30165,32470,28876,31186,30665,29015,25654,30290,29185,29414,28637,29899,28227,29888,31843,32107,31481,38635,35577,40049,39415,41577,37694,43868,39978,41262,43954,43875,44937,45040,47632,54973,54329,67068,69755,70027,61063,58507,57244,62096,66978,68572,71807,79867,81876,91974,96042,92539,94044,97018,97759,102386,103020,106001,101132,111189,113913,123592,123555,124023,112794,107041,112807,107382
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SG:Singapore",Q:S:JP:4R:Q:C:A:A:TO1:A:SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16004,-,-10971,-13377,-12288,-9083,-16985,-16186,-10159,-9392,-9336,-7102,-7018,-5583,-5968,-6091,-6228,-5020,-5865,-6565,-7443,-7147,-9777,-10031,-10616,-10745,-9751,-8412,-9340,-9459,-12979,-10120,-14927,-14805,-14817,-18519,-20637,-20893,-15027,-13969,-19717,-17226,-10683,-9885,-10924,-18307,-14663,-13044,-16464,-16698,-13513,-19221,-12024,-11068,-9867,-8840,-9980,-10708,-12096.4,-10990.4,-11393.9,-10977.5,-11343.4,-11578.3,-11068.1,-11434.7
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SG:Singapore",Q:S:KR:4R:U:X:A:A:TO1:A:SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.273,3110.165,4608.397,4542.827,493.799,725.996,804.7,830.591
"Q:Quarterly","S:Amounts outstanding / Stocks","PA:Panama","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SG:Singapore",Q:S:PA:4R:F:I:A:A:TO1:A:SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,4,-,1,2,2,3,2,5,2,4,3,-,1,2,1,1,-,-,11,16,18,15,12,20,14,11,7,5,5
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SG:Singapore",Q:S:BE:4R:F:C:A:A:TO1:A:SG,143,-,317,-,759,-,794,-,836,-,839,-,986,-,1192,-,1398,-,1686,-,1245,-,1429,-,1944,-,1859,-,1852,-,2190,-,1858,-,3620,-,2856,-,3275,-,3980,-,4882,-,4972,-,6850,-,6424,-,7053,-,6698,-,8559,-,5868,-,3029,-,2249,-,2672,-,1883,2584,2112,2348,1776,2172,2140,2039,2687,2612,2565,2530,2814,1423,1985,2265,2252,2276,2390,2092,1986,2211,2709,3307,3687,4132,3777,4255,3266,3344,5630,5434,5276,7179,8648,7143,5076,4698,5659,5327,905,902,854,838,643,662,663,589,590,555,448,475,386,546,496,430,433,498,436,439,452,440,391,353
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SG:Singapore",Q:S:SE:4R:F:I:A:A:TO1:A:SG,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,4578,4710,4629,5636,5410,4394,4377.586,4337.607,4310.864,4365.853,3810.211,3076.547,3174.713,3246.785
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","SG:Singapore",Q:S:JP:4R:U:C:V:A:TO1:A:SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,99,125,119,79,86,120,152,111,194,157,256,534,303,408,578,455,395,506,492,396,534,617,525,500,481,688,692,707,550,525,1314,762,689,499,706.5,311.9,252.5,684.4,1037.4,749,469.4,642.6
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","SG:Singapore",Q:S:CH:4R:U:C:A:A:TO1:R:SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6454,7870,7660,8587,8949,8381,11662,11713,12342,14501,18628,18173,16732,16272,10299,9433,9877,10534,10671,10710,11178,11599,12420,14022,14519,14681,15273,15686,14003,15588,15065,16358,17253,18091,14443.384,14697.747,15499.616,15385.538,16649.352,16865.427,18083.569,15981.416
